Genome	Clade1	Clade2	Subclade	depth	latitude	longitude	type	reference	place	Completeness	Contamination	Genome_Size	est_Genome_Size	GC
AG-337-I02	V	V	V				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	79.44	0.02	1452096	1827915.408	29.02
AG-339-L04	I	Ib	Ib.2				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	39.2	0.68	613183	1564242.347	29.56
AG-339-N18	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	50.52	0.62	649510	1285649.248	29.36
AG-345-F03	I	Ib	NA				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	38.18	0.48	604738	1583913.043	28.58
AG-345-F21	II	IIa	IIa.B				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	85	0.02	974939	1146987.059	29.78
AG-345-L07	I	Ib	Ib.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	50.66	0.25	557698	1100864.587	29.32
AG-345-O09	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	77.69	0.01	912744	1174853.907	28.92
AG-349-C15	V	V	V				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Pacific Tropical Gyre Province	38.87	0.05	551494	1418816.568	30.13
AG-349-E10	V	V	V				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Pacific Tropical Gyre Province	68.18	0.17	902891	1324275.447	30.33
AG-349-L17	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Pacific Tropical Gyre Province	90.04	0.03	1216121	1350645.269	29.28
AG-349-L23	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Pacific Tropical Gyre Province	72.92	0	912480	1251343.939	29.86
AG-349-O05	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Pacific Tropical Gyre Province	87.42	0.59	1119353	1280431.251	29.17
AG-359-E06	III	IIIa	IIIa.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	79.55	0.07	842054	1058521.684	29.55
AG-359-O02	I	Ib	Ib.2				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	84.7	0.51	1098312	1296708.383	29.23
AG-365-D07	I	Ib	Ib.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	85.14	0	1050652	1234028.659	28.81
AG-365-O22	II	II	IIa.A.2				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	51.4	0	602930	1173015.564	29.78
AG-365-P18	V	V	V				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	54	0.02	823747	1525457.407	29.18
AG-390-A02	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	78.82	0.15	1079061	1369019.284	29.21
AG-390-A23	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	82.02	0.08	1066407	1300179.225	29.41
AG-390-C22	II	IIa	IIa.B				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	90.06	0.1	1040035	1154824.561	29.37
AG-390-D18	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	82.36	0.19	1218852	1479907.722	29.2
AG-390-L03	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	93.32	0.11	1352095	1448880.197	29.27
AG-390-M19	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	68.33	0.16	873216	1277939.412	29.65
AG-390-O04	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	88.62	0	1056881	1192598.736	28.57
AG-404-N13	I	Ib	Ib.2				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Pacific Tropical Gyre Province	83.42	0.64	1166071	1397831.455	28.57
AG-404-P07	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Pacific Tropical Gyre Province	78.9	0.02	937395	1188079.848	28.5
AG-404-P08	V	V	V				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Pacific Tropical Gyre Province	82.12	0.25	1235579	1504601.802	30.3
AG-410-B18	V	V	V				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	75.17	0.03	1065802	1417855.527	28.87
AG-410-D23	I	Ib	Ib.6				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	64.51	0.04	673399	1043867.617	27.9
AG-410-J13	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	21.01	0	278323	1324716.802	27.69
AG-410-N23	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	79.84	0.31	923408	1156573.146	28.5
AG-414-C04	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	68.8	0.02	828558	1204299.419	28.97
AG-414-E02	I	Ic	Ic.2				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	86.58	0.13	1142243	1319291.984	29.99
AG-414-J22	I	Ic	Ic.2				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	27.37	0	466341	1703839.971	30.11
AG-414-M23	I	Ib	Ib.3				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	87.62	0.01	1104608	1260680.21	28.68
AG-414-O11	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	92.93	0.01	1212678	1304937.049	29.71
AG-422-B15	IV	IV	IV				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	85.54	0.08	1093635	1278507.131	33.34
AG-422-C23	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	60.06	0.17	809608	1347998.668	28.66
AG-422-D23	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	94.67	0.11	1279565	1351605.577	29.29
AG-422-I02	II	IIa	IIa.B				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	67.72	0.03	769465	1136244.832	30.05
AG-422-M16	IV	IV	IV				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	45.66	0.03	727766	1593880.859	33.41
AG-422-N09	IV	IV	IV				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	84.9	0.03	1223742	1441392.226	32.98
AG-426-A02	I	Ib	Ib.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-Gulf Stream Province	67.77	0.33	770013	1136215.139	29.33
AG-426-E17	I	Ib	Ib.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-Gulf Stream Province	99.27	0.02	1151069	1159533.595	28.7
AG-426-G02	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-Gulf Stream Province	82.67	0.03	1039357	1257235.999	29.63
AG-426-G09	I	Ib	Ib.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-Gulf Stream Province	87.38	0	1162454	1330343.328	28.77
AG-426-I15	II	II	IIa.A.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-Gulf Stream Province	88.29	0.02	976624	1106154.717	30.06
AG-426-L23	II	II	IIa.A.2				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-Gulf Stream Province	83.93	0.05	987485	1176557.846	29.48
AG-426-M19	I	Ib	Ib.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-Gulf Stream Province	91.18	0.23	1256227	1377744.023	29.13
AG-426-P20	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-Gulf Stream Province	76.44	0.16	909565	1189907.117	28.86
AG-430-E20	I	Ia	Ia.3				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	91.86	0.02	1183991	1288908.121	29.81
AG-430-F16	I	Ib	Ib.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	92.82	0.01	1108048	1193759.966	29.49
AG-430-I06	II	II	IIa.A.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	77.58	0.01	924715	1191950.245	30.04
AG-430-L02	II	II	IIa.A.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	73.27	0.01	743757	1015090.76	29.96
AG-430-P08	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-N. Atlantic Subtropical Gyral Province (West)	83.81	0.05	1017047	1213515.094	29.35
AG-435-G05	II	II	IIa.A.2				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	57.89	0.2	708624	1224087.062	29.67
AG-435-N18	I	Ic	Ic.2				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	57.05	0.03	660486	1157731.814	29.61
AG-439-F23	I	Ib	Ib.2				SAG	"Berube et al., Sci. Data, 2018"	Trades-N. Atlantic Tropical Gyral Province (TRPG)	75.89	0.14	1084689	1429291.079	28.53
AG-447-E22	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Coastal-E. Africa Coastal Province	67.66	0.1	804683	1189303.872	28.94
AG-447-N18	I	Ia	Ia.4				SAG	"Berube et al., Sci. Data, 2018"	Coastal-E. Africa Coastal Province	94.71	0.05	1120369	1182946.891	29.49
AG-447-N21	I	Ib	Ib.2				SAG	"Berube et al., Sci. Data, 2018"	Coastal-E. Africa Coastal Province	88.29	0.17	1179292	1335702.798	28.29
AG-461-B04	IV	IV	IV				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	81.83	0.01	1103143	1348091.165	33.27
AG-464-B04	I	Ic	Ic.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	63.14	0.18	966640	1530947.102	29.44
AG-464-P07	I	Ic	Ic.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	83.16	0.08	1138562	1369122.174	29.75
AG-470-E16	III	IIIa	IIIa.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	76.07	0.05	968825	1273596.687	28.63
AG-470-G06	III	IIIa	IIIa.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	26.29	0.11	423104	1609372.385	29.51
AG-470-G21	I	Ib	Ib.1				SAG	"Berube et al., Sci. Data, 2018"	Westerlies-S. Pacific Subtropical Gyre Province	83.86	0.02	1113470	1327772.478	29.31
HIMB083	I	Ia	Ia.3				Pure_culture	"Brandon, master thesis, 2006"	Kaneohe Bay	100	0.06	1395997	1395997	29.15
HIMB140	I	Ia	Ia.3				Pure_culture	"Brandon, master thesis, 2006"	Kaneohe Bay	99.92	0.17	1437930	1439081.265	29.35
HIMB058	II	IIa	IIa.B				Pure_culture	"Brandon, master thesis, 2006; Grote et al., mBio, 2012"	Kaneohe Bay	98.16	0.07	1115049	1135950.489	29.87
HIMB114	III	IIIa	IIIa.1				Pure_culture	"Brandon, master thesis, 2006; Grote et al., mBio, 2012"	Kaneohe Bay	99.96	0.04	1237371	1237866.146	29.59
HIMB5	I	Ia	Ia.3				Pure_culture	"Brandon, master thesis, 2006; Grote et al., mBio, 2012"	Kaneohe Bay	100	0.26	1343202	1343202	28.63
HIMB59	V	V	V				Pure_culture	"Brandon, master thesis, 2006; Grote et al., mBio, 2012"	Kaneohe Bay	99.87	0.13	1410127	1411962.551	32.26
Baikal-G1	I	Ia	Ia.5				MAG	"Cabello-Yeves et al., Appl. Environ. Microbiol., 2018"	"Lake Baikal, East Siberia (fresh water)"	87.45	6.33	1144012	1308189.823	28.68
SAG-MED01	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	94.71	0.01	1167589	1232804.35	28.42
SAG-MED02	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	73.82	0.43	950594	1287718.775	29.61
SAG-MED03	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	50.65	0.02	724404	1430215.202	29.5
SAG-MED04	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	59.43	1.14	791325	1331524.483	29.88
SAG-MED05	II	IIa	IIa.B				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	87.18	0.26	969416	1111970.635	29.17
SAG-MED06	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	85.13	0.03	1218144	1430922.119	29.18
SAG-MED07	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	51.24	0.18	600824	1172568.306	29.23
SAG-MED08	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	86.33	1.43	1102959	1277608.016	29.69
SAG-MED09	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	57.59	0.95	689601	1197431.846	28.95
SAG-MED10	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	59.12	1.16	822734	1391633.965	29.52
SAG-MED11	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	90.39	0.05	1103870	1221230.225	28.65
SAG-MED12	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	81.28	0.04	953901	1173598.671	28.89
SAG-MED13	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	86.17	0	1014964	1177862.365	28.9
SAG-MED14	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	76.6	0.15	913709	1192831.593	29.69
SAG-MED15	I	Ib	Ib.5				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	94.71	0.06	1210916	1278551.367	28.88
SAG-MED16	I	Ib	Ib.2				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	62.37	0	902851	1447572.551	29.36
SAG-MED17	I	Ib	Ib.2				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	61.18	0.26	905425	1479936.254	29.55
SAG-MED18	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	52.75	0.11	612170	1160511.848	29.54
SAG-MED19	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	84.31	0.57	1012823	1201308.267	28.34
SAG-MED20	I	Ia	Ia.1				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	70.82	0.67	977285	1379956.227	28.86
SAG-MED21	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	46.16	0.82	584254	1265714.905	28.61
SAG-MED22	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	96.56	0	1191160	1233595.692	29.45
SAG-MED23	I	Ib	Ib.2				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	48.57	0.23	585571	1205622.812	29.13
SAG-MED24	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	38.55	0.33	517124	1341437.095	28.55
SAG-MED25	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	64.86	0.79	903312	1392710.453	28.95
SAG-MED27	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	45.45	0.05	633013	1392767.877	29.31
SAG-MED28	II	IIa	IIa.B				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	89.3	1.26	994863	1114068.309	29.58
SAG-MED29	II	IIa	IIa.B				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	80.17	0.4	951358	1186675.814	29.12
SAG-MED30	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	67.21	0.06	814902	1212471.358	27.8
SAG-MED31	V	V	V				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	53.98	0.54	940639	1742569.47	29.68
SAG-MED32	IV	IV	IV				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	64.18	0.09	760207	1184492.054	32.97
SAG-MED33	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	83.23	1.39	1087133	1306179.262	29.69
SAG-MED34	I	Ib	Ib.2				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	64.17	0.14	796940	1241919.9	29.57
SAG-MED35	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	49.08	0.62	659067	1342842.298	29.17
SAG-MED37	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	78.67	0.02	977632	1242699.886	28.81
SAG-MED38	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	64.93	0.57	837248	1289462.498	29.39
SAG-MED39	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	77.85	0.06	926793	1190485.549	28.45
SAG-MED41	II	IIa	IIa.B				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	59.88	0.05	680764	1136880.428	29.56
SAG-MED43	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	53.8	0	721839	1341708.178	28.9
SAG-MED44	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	49.21	0.05	600290	1219853.688	29.61
SAG-MED45	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	37.35	0.01	455649	1219943.775	29.29
SAG-MED46	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	56.26	0.78	865893	1539091.717	28.84
SAG-MED47	I	Ia	Ia.4				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	90.75	0.01	1131395	1246716.253	28.55
SAG-MED48	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	75.56	0.12	1073538	1420775.543	29.24
SAG-MED49	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	89.28	0.03	1167552	1307741.935	29.06
SAG-MED50	I	Ia	Ia.3				SAG	"Haro-Moreno et al., Environ. Microbiol., 2020"	Mediterranean Sea	86.36	0.05	1257069	1455614.868	29.21
MED-G39	I	Ia	Ia.3				MAG	"Haro-Moreno et al., Microbiome, 2018"	"Coast of Alicante, the western Mediterranean"	43.47	0	531293	1222206.119	30.52
MED-G40	II	II	IIa.A.2				MAG	"Haro-Moreno et al., Microbiome, 2018"	"Coast of Alicante, the western Mediterranean"	85.48	0.03	911758	1066633.131	29.61
MED-G41	I	Ia	Ia.4				MAG	"Haro-Moreno et al., Microbiome, 2018"	"Coast of Alicante, the western Mediterranean"	37.8	0	374801	991537.037	27.52
MED-G42	I	Ia	Ia.3				MAG	"Haro-Moreno et al., Microbiome, 2018"	"Coast of Alicante, the western Mediterranean"	72.07	0	830828	1152806.993	28.34
MED-G43	II	IIa	IIa.B				MAG	"Haro-Moreno et al., Microbiome, 2018"	"Coast of Alicante, the western Mediterranean"	47.51	0.03	421449	887074.3001	29.4
MED-G44	I	Ia	Ia.4				MAG	"Haro-Moreno et al., Microbiome, 2018"	"Coast of Alicante, the western Mediterranean"	41.97	0.02	505782	1205103.645	29.4
LSUCC0530	III	IIIb	IIIb				Pure_culture	"Henson et al., ISME J., 2018"	the southern Louisiana coast	99.88	0.03	1160202	1161595.915	29.02
BS14	III	IIIb	IIIb				MAG	"Hiraoka et al., Nat. Commun., 2019"	"Lake Biwa, Japan (fresh water)"	82.09	0.21	902418	1099303.204	29.37
CM1_200m.P13	III	NA	NA				MAG	"Hiraoka et al., Nucleic Acids Res., 2022"	"the northwest Pacific Ocean, Japan"	32.8	7.22	971488	2961853.659	30.04
CM1_200m.P5	III	NA	NA				MAG	"Hiraoka et al., Nucleic Acids Res., 2022"	"the northwest Pacific Ocean, Japan"	15.75	2.55	375675	2385238.095	30.62
CM1_5m.P16	IV	IV	IV				MAG	"Hiraoka et al., Nucleic Acids Res., 2022"	"the northwest Pacific Ocean, Japan"	95.35	0.63	1331769	1396716.308	33.1
CM1_5m.P24	V	V	V				MAG	"Hiraoka et al., Nucleic Acids Res., 2022"	"the northwest Pacific Ocean, Japan"	20.21	0.01	465843	2305012.37	27.05
CM1_5m.P30	V	V	V				MAG	"Hiraoka et al., Nucleic Acids Res., 2022"	"the northwest Pacific Ocean, Japan"	40.68	0.13	707698	1739670.6	31
CM1_5m.P7	III	NA	NA				MAG	"Hiraoka et al., Nucleic Acids Res., 2022"	"the northwest Pacific Ocean, Japan"	13.44	0.83	320066	2381443.452	30.52
CM1_5m.P70	V	V	V				MAG	"Hiraoka et al., Nucleic Acids Res., 2022"	"the northwest Pacific Ocean, Japan"	69.95	0.63	1353184	1934501.787	31.93
CM1_5m.P72	V	V	V				MAG	"Hiraoka et al., Nucleic Acids Res., 2022"	"the northwest Pacific Ocean, Japan"	44.53	1.39	615330	1381832.472	29.33
Ct9H_300m.P5	III	NA	NA				MAG	"Hiraoka et al., Nucleic Acids Res., 2022"	"the northwest Pacific Ocean, Japan"	15.66	0.49	317241	2025804.598	30.2
BACL20_MAG-120920-bin64	I	Ia	Ia.1				MAG	"Hugerth et al., Genome Biol., 2015"	"the coast of _land, Baltic Sea, Sweden"	72.13	8.03	1143837	1585799.251	30.86
BACL5_MAG-120705-bin12	I	Ia	Ia.5				MAG	"Hugerth et al., Genome Biol., 2015"	"the coast of _land, Baltic Sea, Sweden"	74.44	2.47	1056063	1418676.787	31.57
BACL5_MAG-120813-bin20	I	Ia	Ia.5				MAG	"Hugerth et al., Genome Biol., 2015"	"the coast of _land, Baltic Sea, Sweden"	66.04	1.64	851154	1288846.154	30.51
BACL5_MAG-120820-bin39	I	Ia	Ia.5				MAG	"Hugerth et al., Genome Biol., 2015"	"the coast of _land, Baltic Sea, Sweden"	91.62	5.63	1151850	1257203.667	29.34
BACL5_MAG-121015-bin10	I	Ia	Ia.5				MAG	"Hugerth et al., Genome Biol., 2015"	"the coast of _land, Baltic Sea, Sweden"	88.74	4.28	1276172	1438102.321	29.43
BACL5_MAG-121128-bin54	I	Ia	Ia.5				MAG	"Hugerth et al., Genome Biol., 2015"	"the coast of _land, Baltic Sea, Sweden"	79.96	1.28	1055524	1320065.033	29.8
RS39	I	Ia	Ia.4				Pure_culture	"Jimenez-Infante et al., FEMS Microbiol. Ecol., 2017"	Red Sea	99.99	0.01	1200090	1200210.021	29.21
RS40	I	Ib	Ib.1				Pure_culture	"Jimenez-Infante et al., FEMS Microbiol. Ecol., 2017"	Red Sea	99.96	0.14	1378905	1379456.783	29.43
LSUCC0261	III	IIIa	IIIa.2				Pure_culture	"Lanclos et al., ISME J., 2023"	"Calcasieu Jetties, Cameron, LA"	99.99	0	1270890	1271017.102	30.46
