Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
AG-359-D09	94.31	0.02	Neural Network (Specific Model)	11	0.967	124676	303.8633879781421	1203901	0.28	1281	19	201207	None
AG-359-F04	87.27	0.07	Neural Network (Specific Model)	11	0.964	78865	300.55739058629234	1129078	0.28	1211	32	209763	None
AG-359-G17	89.31	0.56	Neural Network (Specific Model)	11	0.97	68077	301.9488409272582	1164429	0.29	1251	32	92350	None
AG-359-G22	85.64	0.13	Neural Network (Specific Model)	11	0.961	50252	293.2225325884544	979437	0.29	1074	36	223634	None
AG-359-P18	91.84	0.0	Neural Network (Specific Model)	11	0.964	124167	298.1581676750216	1069946	0.29	1157	20	227861	None
AG-365-B19	94.84	0.01	Neural Network (Specific Model)	11	0.969	137478	309.14903403863843	1036885	0.3	1087	20	179370	None
AG-365-D07	85.14	0.0	Neural Network (Specific Model)	11	0.963	53323	303.6421524663677	1050652	0.29	1115	31	100971	None
AG-365-L04	85.92	0.04	Neural Network (Specific Model)	11	0.963	177202	301.9718437783833	1032038	0.28	1101	23	189560	None
AG-365-O14	86.01	0.04	Neural Network (Specific Model)	11	0.963	106298	295.28706083976004	1070742	0.29	1167	28	186236	None
AG-390-C19	91.69	0.04	Neural Network (Specific Model)	11	0.963	61019	300.3517628205128	1164792	0.29	1248	39	100162	None
AG-390-C22	90.06	0.1	Neural Network (Specific Model)	11	0.966	91652	301.8409703504043	1040035	0.29	1113	27	181952	None
AG-390-D02	87.47	0.16	Neural Network (Specific Model)	11	0.962	156301	297.9563392107473	1102506	0.29	1191	38	217774	None
AG-390-D15	90.71	0.0	Neural Network (Specific Model)	11	0.963	114242	298.3698175787728	1117043	0.29	1206	20	137540	None
AG-390-G11	86.58	0.21	Neural Network (Specific Model)	11	0.967	80660	301.98534798534797	1275792	0.29	1365	42	187271	None
AG-390-G13	87.7	0.62	Neural Network (Specific Model)	11	0.967	80230	297.6352148272957	1092491	0.28	1187	41	115208	None
AG-390-I15	87.85	0.05	Neural Network (Specific Model)	11	0.962	89877	299.8188524590164	1137165	0.3	1220	33	147414	None
AG-390-J13	85.95	0.03	Neural Network (Specific Model)	11	0.966	265442	295.9362445414847	1049158	0.29	1145	18	323223	None
AG-390-J21	88.43	0.31	Neural Network (Specific Model)	11	0.966	104319	297.65180824222034	1095547	0.3	1189	27	510260	None
AG-390-M02	86.19	0.01	Neural Network (Specific Model)	11	0.963	70865	292.71705069124425	986325	0.29	1085	41	169891	None
AG-390-M15	85.43	0.0	Neural Network (Specific Model)	11	0.964	222478	306.97519841269843	960392	0.29	1008	24	374602	None
AG-404-O18	86.83	0.07	Neural Network (Specific Model)	11	0.965	54157	294.2544642857143	1021389	0.28	1120	38	150711	None
AG-414-B08	89.84	0.09	Neural Network (Specific Model)	11	0.962	90878	297.17868852459014	1126983	0.29	1220	39	163654	None
AG-414-B15	87.78	0.07	Neural Network (Specific Model)	11	0.965	75122	297.49571836346337	968781	0.3	1051	25	211219	None
AG-422-B15	85.54	0.08	Gradient Boost (General Model)	11	0.96	53510	301.74290627687014	1093635	0.33	1163	36	180708	None
AG-422-B22	86.88	0.15	Neural Network (Specific Model)	11	0.964	123899	300.0507246376812	1156543	0.29	1242	25	178682	None
AG-422-C21	98.1	0.01	Gradient Boost (General Model)	11	0.966	254042	310.04801200300074	1280892	0.33	1333	10	541100	None
AG-422-G03	88.97	0.21	Neural Network (Specific Model)	11	0.967	53652	298.32411067193675	1167165	0.29	1265	41	173414	None
AG-422-K17	86.84	0.08	Neural Network (Specific Model)	11	0.968	76228	298.2015355086372	959014	0.3	1042	23	181295	None
AG-422-L15	92.47	0.0	Neural Network (Specific Model)	11	0.97	266864	300.6351471900089	1039215	0.3	1121	12	309238	None
AG-422-N15	88.32	0.0	Neural Network (Specific Model)	11	0.966	79845	292.96247818499126	1039097	0.29	1146	32	307252	None
AG-426-C04	86.84	0.22	Neural Network (Specific Model)	11	0.968	57765	300.06405693950177	1042481	0.28	1124	36	155431	None
AG-426-D09	95.64	0.02	Neural Network (Specific Model)	11	0.963	191110	303.13263665594855	1170751	0.29	1244	18	537790	None
AG-426-E13	85.89	0.03	Neural Network (Specific Model)	11	0.964	93729	306.002380952381	1195972	0.29	1260	26	201134	None
AG-426-E17	99.27	0.02	Neural Network (Specific Model)	11	0.965	966325	306.03294892915983	1151069	0.29	1214	5	966325	None
AG-426-F15	89.52	0.09	Neural Network (Specific Model)	11	0.963	404457	303.9430950728661	1360204	0.29	1441	13	494381	None
AG-426-G09	87.38	0.0	Neural Network (Specific Model)	11	0.965	63493	304.38961038961037	1162454	0.29	1232	38	136071	None
AG-426-I10	90.48	0.2	Neural Network (Specific Model)	11	0.962	92493	294.61088871096877	1144123	0.29	1249	30	136808	None
AG-426-I15	88.29	0.02	Neural Network (Specific Model)	11	0.965	170636	296.7909604519774	976624	0.3	1062	19	336766	None
AG-426-I21	90.53	0.01	Gradient Boost (General Model)	11	0.961	122682	310.19044006069805	1272694	0.33	1318	19	336904	None
AG-426-K09	91.88	0.4	Neural Network (Specific Model)	11	0.966	87545	304.8540870893812	1234982	0.29	1309	31	148696	None
AG-426-M05	86.93	0.15	Neural Network (Specific Model)	11	0.964	77256	296.27027027027026	1224332	0.29	1332	40	155656	None
AG-426-M19	91.18	0.23	Neural Network (Specific Model)	11	0.966	143263	300.7968865826538	1256227	0.29	1349	25	213323	None
AG-426-O05	95.2	0.0	Neural Network (Specific Model)	11	0.965	272252	303.13002806361084	1004637	0.31	1069	16	377479	None
AG-430-A11	92.7	0.01	Neural Network (Specific Model)	11	0.965	82518	301.0897239263804	1217768	0.28	1304	39	213566	None
AG-430-B09	95.39	0.1	Neural Network (Specific Model)	11	0.962	100191	301.4086886564763	1164300	0.28	1243	25	313560	None
AG-430-F03	92.63	0.33	Neural Network (Specific Model)	11	0.966	529217	305.44985941893157	1008767	0.3	1067	13	529217	None
AG-430-G11	90.33	0.04	Neural Network (Specific Model)	11	0.969	112280	302.2114147909968	1159775	0.29	1244	27	155286	None
AG-447-E19	87.23	0.03	Neural Network (Specific Model)	11	0.964	43202	298.5342146189736	1191749	0.29	1286	50	85813	None
AG-447-F10	87.88	0.09	Neural Network (Specific Model)	11	0.961	71491	304.3994638069705	1059663	0.29	1119	24	167084	None
AG-447-K09	96.56	0.06	Neural Network (Specific Model)	11	0.966	343266	300.4318181818182	1186992	0.29	1276	12	496960	None
AG-447-L03	90.12	0.11	Neural Network (Specific Model)	11	0.965	177648	308.13486590038315	1245792	0.29	1305	21	284009	None
AG-447-M05	95.69	0.12	Neural Network (Specific Model)	11	0.959	117422	302.84043272481404	1397586	0.29	1479	32	233852	None
AG-447-M10	88.29	0.12	Neural Network (Specific Model)	11	0.968	103210	301.2224958949097	1134158	0.29	1218	33	247329	None
AG-447-N08	97.66	0.05	Neural Network (Specific Model)	11	0.964	224720	299.9338061465721	1180510	0.29	1269	21	400559	None
AG-447-N18	94.71	0.05	Neural Network (Specific Model)	11	0.961	63648	293.84979591836736	1120369	0.29	1225	36	200714	None
AG-447-P22	97.7	0.04	Neural Network (Specific Model)	11	0.962	109503	301.2216666666667	1123103	0.29	1200	22	199423	None
AG-461-L09	94.0	0.01	Neural Network (Specific Model)	11	0.967	152316	303.0821401657875	1244271	0.3	1327	30	196416	None
AG-464-P13	85.18	0.05	Neural Network (Specific Model)	11	0.963	68003	301.3642857142857	1179665	0.28	1260	37	101043	None
AG-891-A05	88.15	0.07	Neural Network (Specific Model)	11	0.965	79925	300.08250572956456	1217377	0.29	1309	39	227191	None
AG-891-C15	88.01	0.05	Neural Network (Specific Model)	11	0.961	106358	302.50805152979063	1168899	0.3	1242	19	284656	None
AG-891-G02	90.22	0.14	Neural Network (Specific Model)	11	0.966	119226	297.8126361655773	1269935	0.29	1377	28	226371	None
AG-891-J07	97.32	0.18	Neural Network (Specific Model)	11	0.965	187997	301.8810810810811	1211589	0.29	1295	21	467901	None
AG-891-N03	91.34	0.12	Neural Network (Specific Model)	11	0.966	116710	302.3898832684825	1202930	0.29	1285	25	239204	None
AG-892-A22	95.11	0.1	Neural Network (Specific Model)	11	0.964	116907	304.46719367588935	1194572	0.29	1265	19	236446	None
AG-892-B11	95.91	0.06	Neural Network (Specific Model)	11	0.967	261666	309.2992700729927	1310922	0.29	1370	12	536333	None
AG-892-F02	90.85	0.06	Neural Network (Specific Model)	11	0.967	100042	302.29170024174056	1159649	0.29	1241	27	255250	None
AG-892-K05	90.29	0.0	Neural Network (Specific Model)	11	0.964	150726	300.64330637915543	1038353	0.3	1113	23	219023	None
AG-892-K09	86.72	0.02	Neural Network (Specific Model)	11	0.964	109262	303.3282511210762	1049273	0.29	1115	22	191836	None
AG-892-L05	87.65	0.03	Neural Network (Specific Model)	11	0.966	91303	298.5901027077498	990034	0.29	1071	34	157254	None
AG-893-F11	97.3	0.0	Neural Network (Specific Model)	11	0.963	953439	305.2253184713376	1190016	0.3	1256	4	953439	None
AG-893-I20	87.59	0.12	Neural Network (Specific Model)	11	0.967	210359	301.49520488230166	1069573	0.3	1147	27	388923	None
AG-893-K09	97.68	0.0	Neural Network (Specific Model)	11	0.964	311062	302.7892595606184	1153653	0.29	1229	9	317696	None
AG-893-L07	87.96	0.07	Neural Network (Specific Model)	11	0.966	338982	310.2884195193008	1318445	0.3	1373	17	409650	None
AG-893-L13	87.76	0.0	Neural Network (Specific Model)	11	0.968	84444	306.62325174825173	1084004	0.29	1144	26	327652	None
AG-893-M03	87.01	0.0	Neural Network (Specific Model)	11	0.962	190167	313.24457741211666	1302271	0.33	1337	17	321709	None
AG-893-M22	95.41	0.15	Neural Network (Specific Model)	11	0.966	158056	307.0808876163207	1328457	0.29	1397	21	435078	None
AG-893-N07	93.07	0.11	Neural Network (Specific Model)	11	0.966	90678	306.52981132075473	1257574	0.29	1325	31	271705	None
AG-893-P02	87.55	0.02	Neural Network (Specific Model)	11	0.969	116914	301.37424892703865	1082525	0.29	1165	24	208981	None
AG-893-P10	85.04	0.03	Neural Network (Specific Model)	11	0.962	102806	305.83594470046086	1031115	0.29	1085	32	179754	None
AG-894-A09	85.59	0.05	Neural Network (Specific Model)	11	0.966	163305	296.86545801526717	962553	0.29	1048	16	212939	None
AG-894-A11	85.36	0.1	Gradient Boost (General Model)	11	0.96	165963	306.9754098360656	1283612	0.33	1342	30	202774	None
AG-894-B07	91.8	0.02	Neural Network (Specific Model)	11	0.961	93894	302.1848808545604	1144149	0.29	1217	30	266173	None
AG-894-C14	98.85	0.06	Neural Network (Specific Model)	11	0.963	301448	300.8546153846154	1215180	0.3	1300	14	360229	None
AG-894-E10	90.33	0.11	Neural Network (Specific Model)	11	0.966	148280	301.41007751937985	1203965	0.29	1290	23	368650	None
AG-894-F15	94.82	0.11	Neural Network (Specific Model)	11	0.966	81887	302.41167551175135	1234373	0.29	1319	42	337376	None
AG-894-K14	90.47	0.01	Neural Network (Specific Model)	11	0.963	197167	299.6681338028169	1056516	0.29	1136	27	343533	None
AG-894-K15	85.11	0.08	Neural Network (Specific Model)	11	0.962	63816	296.71337579617835	1013316	0.29	1099	32	260250	None
AG-894-L13	92.11	0.0	Neural Network (Specific Model)	11	0.965	697776	301.84698996655516	1118671	0.29	1196	11	697776	None
AG-894-L19	92.03	0.01	Neural Network (Specific Model)	11	0.97	81986	304.1178369652946	1162101	0.29	1239	24	179619	None
AG-894-O09	91.62	0.03	Neural Network (Specific Model)	11	0.965	80859	303.05974842767296	1195365	0.29	1272	31	204200	None
AG-895-F17	89.61	0.07	Neural Network (Specific Model)	11	0.966	187615	302.58878504672896	1202919	0.29	1284	23	315551	None
AG-895-G15	86.68	0.01	Neural Network (Specific Model)	11	0.967	163014	302.82260869565215	1076799	0.28	1150	32	397407	None
AG-895-J19	90.0	0.01	Neural Network (Specific Model)	11	0.964	163536	303.3486556808326	1084956	0.3	1153	16	451347	None
AG-895-K10	87.78	0.01	Neural Network (Specific Model)	11	0.965	605495	304.66297872340425	1109734	0.29	1175	7	605495	None
AG-896-C18	90.05	0.01	Neural Network (Specific Model)	11	0.964	76763	296.53610875106205	1082154	0.29	1177	35	167192	None
AG-896-K10	91.13	0.12	Neural Network (Specific Model)	11	0.964	167042	302.5998307952623	1109826	0.3	1182	24	498020	None
AG-896-L20	85.97	0.15	Neural Network (Specific Model)	11	0.96	208074	299.98700173310226	1078158	0.29	1154	28	223594	None
AG-897-O16	86.39	0.15	Neural Network (Specific Model)	11	0.967	82024	303.7084988085782	1183021	0.29	1259	38	188850	None
AG-898-C07	87.36	0.03	Neural Network (Specific Model)	11	0.96	126852	299.64003294892916	1133988	0.29	1214	26	164479	None
AG-898-G21	85.14	0.1	Neural Network (Specific Model)	11	0.963	119221	306.31043046357615	1149198	0.29	1208	28	339861	None
AG-898-P13	86.36	0.09	Neural Network (Specific Model)	11	0.966	138507	297.05820105820106	1042781	0.29	1134	30	186709	None
AG-899-G02	86.51	0.0	Neural Network (Specific Model)	11	0.961	102778	295.9038095238095	966357	0.29	1050	26	179533	None
AG-899-J23	92.12	0.02	Neural Network (Specific Model)	11	0.963	133462	304.240376390077	1104271	0.29	1169	24	273902	None
AG-899-N21	87.75	0.01	Neural Network (Specific Model)	11	0.959	104509	293.262319939348	1206609	0.3	1319	37	159932	None
AG-900-K14	93.81	0.01	Gradient Boost (General Model)	11	0.959	243423	302.0454884414616	1263973	0.33	1341	18	295017	None
AG-900-M14	87.3	0.05	Neural Network (Specific Model)	11	0.956	177817	305.37566539923955	1256969	0.32	1315	23	299664	None
AG-901-G03	88.78	0.0	Gradient Boost (General Model)	11	0.961	111576	300.5086342229199	1192378	0.33	1274	29	235169	None
AG-901-I21	85.65	0.03	Neural Network (Specific Model)	11	0.966	256255	299.9760147601476	1006321	0.29	1084	18	264700	None
AG-910-G11	86.24	0.46	Neural Network (Specific Model)	11	0.964	72143	298.7514734774067	942715	0.3	1018	34	251721	None
AG-911-E02	94.56	0.06	Gradient Boost (General Model)	11	0.961	198078	309.4798136645963	1240899	0.33	1288	34	362254	None
AG-912-A14	86.54	0.06	Neural Network (Specific Model)	11	0.965	73612	308.493006993007	1093700	0.29	1144	36	181323	None
AG-912-D10	88.07	0.02	Neural Network (Specific Model)	11	0.966	167923	301.11725452812203	977418	0.3	1049	17	258375	None
AG-912-P19	86.52	0.06	Neural Network (Specific Model)	11	0.968	84482	301.5116514690983	918826	0.3	987	29	215402	None
AG-914-A09	86.61	0.07	Neural Network (Specific Model)	11	0.963	92585	301.4671179883946	967393	0.3	1034	25	132485	None
AG-914-B14	85.46	0.02	Neural Network (Specific Model)	11	0.966	96833	300.9620449264136	1203512	0.29	1291	39	220215	None
AG-914-J05	89.94	0.04	Neural Network (Specific Model)	11	0.965	135292	306.99908592321754	1040584	0.3	1094	17	312145	None
AG-914-L04	86.02	0.02	Neural Network (Specific Model)	11	0.965	95884	297.9619932432432	1093237	0.29	1184	49	213738	None
AG-914-L20	87.04	0.01	Neural Network (Specific Model)	11	0.966	127263	305.46526655896605	1170260	0.29	1238	22	200049	None
AG-915-G14	94.07	0.07	Neural Network (Specific Model)	11	0.967	143409	306.6652267818574	1317965	0.29	1389	27	366624	None
AG-916-A16	92.07	0.04	Neural Network (Specific Model)	11	0.963	62464	303.1875	1130222	0.29	1200	27	192374	None
AG-916-A21	86.38	0.0	Neural Network (Specific Model)	11	0.963	93472	301.47222222222223	1044250	0.29	1116	25	133158	None
AG-916-B06	89.69	0.55	Neural Network (Specific Model)	11	0.965	72404	301.8060413354531	1176935	0.29	1258	36	147800	None
AG-916-B15	85.85	0.2	Neural Network (Specific Model)	11	0.965	114099	304.2837632776935	1243303	0.3	1318	29	210185	None
AG-916-D16	87.26	0.03	Neural Network (Specific Model)	11	0.963	100062	294.4816472694718	1020762	0.3	1117	29	264275	None
AG-916-E19	92.41	0.01	Neural Network (Specific Model)	11	0.965	100056	301.31161048689137	1246502	0.29	1335	32	147879	None
AG-916-G09	87.0	0.15	Neural Network (Specific Model)	11	0.967	130771	306.64767616191904	1266004	0.3	1334	19	355070	None
AG-916-G19	94.48	0.02	Neural Network (Specific Model)	11	0.963	201226	299.89456342668865	1130393	0.29	1214	11	469734	None
AG-916-J11	87.77	0.0	Neural Network (Specific Model)	11	0.969	117465	298.7719298245614	1103182	0.29	1197	23	241751	None
AG-916-M15	85.54	0.01	Neural Network (Specific Model)	11	0.962	69062	295.00648824006487	1131288	0.3	1233	35	104976	None
AG-916-N14	92.62	0.08	Neural Network (Specific Model)	11	0.964	119732	299.3913994169096	1273736	0.29	1372	23	235559	None
AG-917-B07	95.78	0.05	Neural Network (Specific Model)	11	0.965	247391	299.865811965812	1086696	0.29	1170	19	298391	None
AG-917-K20	94.79	0.0	Neural Network (Specific Model)	11	0.966	173262	305.09099264705884	1027199	0.3	1088	11	472256	None
AG-917-M22	85.92	0.0	Neural Network (Specific Model)	11	0.961	56570	297.4506578947368	1126299	0.3	1216	38	221692	None
AG-918-M15	85.33	0.01	Neural Network (Specific Model)	11	0.965	109070	297.60093023255814	991549	0.3	1075	26	269113	None
AG-918-N23	93.23	0.02	Neural Network (Specific Model)	11	0.965	119740	299.89032258064515	1008182	0.29	1085	21	180054	None
AG-919-N17	86.07	0.01	Gradient Boost (General Model)	11	0.961	99061	300.39829787234044	1099060	0.33	1175	36	133513	None
AG-919-P09	87.55	0.07	Gradient Boost (General Model)	11	0.959	122746	302.3546798029557	1148886	0.33	1218	25	301332	None
AH-287-E17	85.22	0.11	Neural Network (Specific Model)	11	0.968	99090	300.8135888501742	1067408	0.3	1148	29	232742	None
AH-287-E19	89.3	0.01	Neural Network (Specific Model)	11	0.966	79597	299.64361191162345	965361	0.3	1041	37	120782	None
AH-287-F15	99.12	0.01	Gradient Boost (General Model)	11	0.961	271352	313.3185840707965	1323050	0.33	1356	15	410338	None
AH-321-I23	88.51	0.01	Neural Network (Specific Model)	11	0.969	74708	298.9068825910931	911088	0.3	988	28	92598	None
AH-324-N03	90.25	0.07	Neural Network (Specific Model)	11	0.963	117509	291.4375	1202212	0.3	1328	37	221818	None
BACL5_MAG-120820-bin39	91.62	5.63	Gradient Boost (General Model)	11	0.964	8535	264.51888809693514	1151850	0.29	1403	228	39080	None
BACL5_MAG-121015-bin10	88.74	4.28	Neural Network (Specific Model)	11	0.962	5849	254.37484510532838	1276172	0.29	1614	323	39895	None
Baikal-G1	87.45	6.33	Neural Network (Specific Model)	11	0.954	58977	300.0814144736842	1144012	0.29	1216	33	102287	None
CPC289	89.54	5.25	Neural Network (Specific Model)	11	0.962	61239	289.64375523889356	1073347	0.3	1193	31	206254	None
ETNP2013_S02_SV82_300m_MAG_01	84.01	3.11	Gradient Boost (General Model)	11	0.952	15926	285.537109375	918736	0.31	1024	101	59147	None
FZCC0015	99.86	0.13	Neural Network (Specific Model)	11	0.964	1364101	306.46164574616455	1364101	0.29	1434	1	1364101	None
GOM-A1	95.39	0.09	Neural Network (Specific Model)	11	0.963	84415	297.13384188626907	1330051	0.29	1442	73	176024	None
HIMB058	98.16	0.07	Neural Network (Specific Model)	11	0.963	38257	291.3519870235199	1115049	0.3	1233	59	92662	None
HIMB083	100.0	0.06	Neural Network (Specific Model)	11	0.963	1395997	306.6780354706685	1395997	0.29	1466	1	1395997	None
HIMB109	90.99	0.12	Neural Network (Specific Model)	11	0.965	135720	296.4594363791631	1075874	0.3	1171	14	275500	None
HIMB114	99.96	0.04	Neural Network (Specific Model)	11	0.965	1237371	301.78155706727136	1237371	0.3	1323	1	1237371	None
HIMB122	99.75	0.1	Neural Network (Specific Model)	11	0.965	1453515	309.21819380355964	1453515	0.29	1517	1	1453515	None
HIMB123	89.33	1.88	Neural Network (Specific Model)	11	0.966	69634	305.0512630014859	1271840	0.3	1346	41	126946	None
HIMB1321	99.9	0.01	Neural Network (Specific Model)	11	0.963	1320749	305.764917325665	1320749	0.29	1391	1	1320749	None
HIMB140	99.92	0.17	Neural Network (Specific Model)	11	0.966	1437930	308.23092236230923	1437930	0.29	1507	1	1437930	None
HIMB1402	99.03	0.04	Neural Network (Specific Model)	11	0.965	217910	302.2235481304694	1177245	0.3	1257	12	388004	None
HIMB1409	99.96	0.09	Neural Network (Specific Model)	11	0.966	178156	304.7692307692308	1313059	0.29	1391	20	411124	None
HIMB1412	99.99	0.01	Neural Network (Specific Model)	11	0.966	1297477	308.9108327192336	1297477	0.29	1357	1	1297477	None
HIMB1413	99.95	0.08	Neural Network (Specific Model)	11	0.965	1348413	305.1768421052632	1348413	0.29	1425	1	1348413	None
HIMB1420	99.99	0.01	Neural Network (Specific Model)	11	0.967	707660	311.7881417208966	1333725	0.29	1383	2	707660	None
HIMB1427	99.88	4.33	Neural Network (Specific Model)	11	0.967	108405	308.0929752066116	1383662	0.29	1452	27	223602	None
HIMB1430	98.58	0.45	Neural Network (Specific Model)	11	0.963	88786	299.2758178319435	1449252	0.3	1559	30	300323	None
HIMB1436	99.98	0.03	Neural Network (Specific Model)	11	0.965	738334	306.5196540880503	1208525	0.29	1272	3	738334	None
HIMB1491	99.97	0.08	Neural Network (Specific Model)	11	0.963	1467757	311.976897689769	1467757	0.3	1515	1	1467757	None
HIMB1495	99.75	0.08	Neural Network (Specific Model)	11	0.964	1424936	305.54777486910996	1448109	0.29	1528	2	1424936	None
HIMB1507	99.81	0.12	Neural Network (Specific Model)	11	0.965	1478826	309.7435064935065	1478826	0.29	1540	1	1478826	None
HIMB1509	99.79	0.14	Neural Network (Specific Model)	11	0.963	1424097	304.0890767230169	1452866	0.29	1538	2	1424097	None
HIMB1518	99.96	0.09	Neural Network (Specific Model)	11	0.964	1453237	310.4877402253148	1453237	0.29	1509	1	1453237	None
HIMB1526	99.86	0.1	Neural Network (Specific Model)	11	0.967	1429322	311.2122641509434	1429322	0.29	1484	1	1429322	None
HIMB1573	99.94	0.04	Neural Network (Specific Model)	11	0.964	1445467	304.74493132766514	1445467	0.29	1529	1	1445467	None
HIMB1623	99.91	0.6	Neural Network (Specific Model)	11	0.964	278558	310.4858831254104	1468005	0.29	1523	14	511039	None
HIMB1695	99.77	0.39	Neural Network (Specific Model)	11	0.963	1185658	306.1531772575251	1421593	0.29	1495	2	1185658	None
HIMB1709	99.95	0.59	Neural Network (Specific Model)	11	0.963	1168350	310.88761002031146	1426001	0.29	1477	2	1168350	None
HIMB1770	99.95	0.09	Neural Network (Specific Model)	11	0.964	1448694	311.11459027315124	1448694	0.29	1501	1	1448694	None
HIMB2304	81.32	0.15	Neural Network (Specific Model)	11	0.968	4192	268.80924855491327	1006776	0.31	1211	317	15142	None
HTCC1062	99.77	0.03	Neural Network (Specific Model)	11	0.961	1308759	310.99778106508876	1308759	0.3	1352	1	1308759	None
HTCC7217	99.86	0.02	Neural Network (Specific Model)	11	0.963	1433611	307.90460306871245	1433611	0.29	1499	1	1433611	None
HTCC8051	99.98	0.12	Neural Network (Specific Model)	11	0.963	1395018	307.00205058099795	1395018	0.29	1463	1	1395018	None
HTCC9022	99.01	0.1	Neural Network (Specific Model)	11	0.956	805404	307.82307147912246	1360964	0.3	1413	10	805404	None
HTCC9565	99.06	0.04	Neural Network (Specific Model)	11	0.958	763172	301.33382352941175	1279674	0.29	1360	3	763172	None
IMCC9063	100.0	1.69	Neural Network (Specific Model)	11	0.948	1284727	286.2331460674157	1284727	0.32	1424	1	1284727	None
LSUCC0261	99.99	0.0	Neural Network (Specific Model)	11	0.956	1270890	305.390977443609	1270890	0.3	1330	1	1270890	None
LSUCC0530	99.88	0.03	Neural Network (Specific Model)	11	0.957	1160202	301.4021121039805	1160202	0.29	1231	1	1160202	None
LSUCC0664	99.98	0.0	Neural Network (Specific Model)	11	0.963	1170396	300.13375796178343	1170396	0.3	1256	1	1170396	None
LSUCC0723	99.99	0.04	Neural Network (Specific Model)	11	0.961	1204848	295.93048128342247	1204848	0.29	1309	1	1204848	None
ME-17	98.8	0.01	Neural Network (Specific Model)	11	0.954	1059009	292.77209705372616	1059009	0.3	1154	1	1059009	None
ME-18	97.85	0.0	Neural Network (Specific Model)	11	0.955	1087980	296.5909479077711	1087980	0.3	1171	1	1087980	None
ME-20	99.17	0.0	Neural Network (Specific Model)	11	0.955	1078651	298.5888985255854	1078651	0.3	1153	1	1078651	None
ME-31	99.44	0.0	Neural Network (Specific Model)	11	0.957	1102656	299.35568760611204	1102656	0.29	1178	1	1102656	None
ME-33	99.31	0.0	Neural Network (Specific Model)	11	0.954	1112841	296.1711185308848	1112841	0.29	1198	1	1112841	None
MED-G40	85.48	0.03	Neural Network (Specific Model)	11	0.971	205872	303.99794661190964	911758	0.3	974	8	287187	None
MED602	99.63	6.34	Neural Network (Specific Model)	11	0.957	64415	274.609211126311	1879045	0.32	2193	60	293646	None
MED605	91.07	7.36	Neural Network (Specific Model)	11	0.96	33183	288.3864653243848	1605601	0.29	1788	73	82324	None
MKE-138	97.59	0.01	Neural Network (Specific Model)	11	0.957	1065806	298.09448818897636	1065806	0.3	1143	1	1065806	None
