genome	Clade1	type	Subclade	Family	Genus	Species	original_Subclade	original_Subgroup	original_Family	original_Genus	original_Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
Uisw_116	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_121	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_114	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_130	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_092	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_090	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_127	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_099_02	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
HTCC9565	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	yakuwasiensis	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	yakuwasiensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_134_02	I	isolate	NA	Pelagibacteraceae	NA	NA	Ia.1	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	821	551	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
AG-447-M05	I	SAG	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC7211	I	isolate	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC7214	I	isolate	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC7217	I	isolate	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1412	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	kukahii	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	kukahii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1420	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1427	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1463	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1564	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1520	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB5	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	heeiaensis	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	heeiaensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1321	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Littoralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1527	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Littoralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1505	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Littoralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1549	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Littoralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB4	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Littoralipelagibacter	koolauensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-390-G11	I	SAG	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Proprepelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	698	698	698	698	698	698	1	1	1	1	1	1	1	1	1	NA	NA	NA
AG-390-L03	I	SAG	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Proprepelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAG-MED06	I	SAG	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Proprepelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	698	698	698	698	698	698	1	1	1	1	1	1	1	1	1	NA	NA	NA
SAG-MED50	I	SAG	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Proprepelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC8051	I	isolate	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	yaqonii	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Proprepelagibacter	yaqonii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC9022	I	isolate	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Proprepelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAG-MED49	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Proprepelagibacter	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	694	694	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
AAA795-A20	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	aumoanae	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-333-A04	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	557	557	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
AG-447-M10	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	607	568	607	568	607	568	0.98	0.84	0.98	0.84	0.98	0.84	0.84	0.84	0.84	NA	NA	NA
AH-324-N03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-287-B07	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-324-F03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-287-E17	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	583	608	583	608	583	608	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	NA	NA	NA
AH-321-A17	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	583	605	583	605	583	605	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	NA	NA	NA
AH-324-J07	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-349-L17	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-G03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-912-L11	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	606	565	606	565	606	565	0.98	0.88	0.98	0.88	0.98	0.88	0.88	0.88	0.88	NA	NA	NA
