genome	bac120_taxon	bac120_parent_taxon	bac120_node	bac120_support	bac120_descendants	bac120_target_seeds	bac120_primary_seeds	scg165_taxon	scg165_parent_taxon	scg165_node	scg165_support	scg165_descendants	scg165_target_seeds	scg165_primary_seeds	rank	concordant_taxon	concordant_parent	dual_tree_support	assignment_confidence	decision
AG-337-E15	Cosmipelagibacteraceae	NA	1009	0.91	2	2	2	Cosmipelagibacteraceae	NA	1007	0.87	3	2	2	Family	Cosmipelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-337-G04	Pelagibacteraceae	NA	886	0.99	4	2	2	Pelagibacteraceae	NA	880	0.98	9	6	6	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-337-G11	Pelagibacteraceae	NA	762	1	10	8	8	Pelagibacteraceae	NA	768	1	10	8	8	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-343-E17	Cosmipelagibacteraceae	NA	1034	0.96	2	2	2	Cosmipelagibacteraceae	NA	1034	1	2	2	2	Family	Cosmipelagibacteraceae	NA	0.96	topology_high	topology_high
AG-349-I05	Pelagibacteraceae	NA	859	0.89	5	3	3	Pelagibacteraceae	NA	860	1	5	3	3	Family	Pelagibacteraceae	NA	0.89	topology_provisional	topology_provisional
AG-349-L17	Pelagibacteraceae	NA	607	0.98	3	2	2	Pelagibacteraceae	NA	568	0.84	3	2	2	Family	Pelagibacteraceae	NA	0.84	topology_provisional	topology_provisional
AG-349-O05	Pelagibacteraceae	NA	577	0.96	2	2	2	Pelagibacteraceae	NA	576	0.87	5	5	5	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-359-B05	Pelagibacteraceae	NA	942	1	2	2	2	Pelagibacteraceae	NA	941	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-359-C09	Pelagibacteraceae	NA	667	0.98	17	17	13	Pelagibacteraceae	NA	666	1	12	12	9	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-359-D09	Pelagibacteraceae	NA	772	1	3	3	3	Pelagibacteraceae	NA	805	1	3	3	3	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-359-F04	Pelagibacteraceae	NA	758	0.93	57	38	38	Pelagibacteraceae	NA	744	1	71	42	42	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-359-G17	Pelagibacteraceae	NA	933	0.87	3	3	3	Pelagibacteraceae	NA	913	0.9	5	5	5	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-359-G22	Pelagibacteraceae	NA	736	1	3	2	2	Pelagibacteraceae	NA	737	1	4	3	3	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-359-M21	Pelagibacteraceae	NA	679	0.98	2	2	2	Pelagibacteraceae	NA	670	1	2	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-359-O11	Pelagibacteraceae	NA	945	1	2	2	2	Pelagibacteraceae	NA	944	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-359-P18	Pelagibacteraceae	NA	707	0.99	38	23	23	Pelagibacteraceae	NA	717	1	98	60	60	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-365-B19	Cosmipelagibacteraceae	NA	1035	0.85	4	2	2	Cosmipelagibacteraceae	NA	1032	0.99	7	4	4	Family	Cosmipelagibacteraceae	NA	0.85	topology_provisional	topology_provisional
AG-365-D07	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	546	1	441	284	278	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-365-L04	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-365-O14	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-390-C17	Pelagibacteraceae	NA	623	0.99	2	2	2	Pelagibacteraceae	NA	612	0.99	3	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-390-C19	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	546	1	441	284	278	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-390-C22	Cosmipelagibacteraceae	NA	1020	1	5	3	3	Cosmipelagibacteraceae	NA	1020	1	5	3	3	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-390-D02	Pelagibacteraceae	NA	749	0.57	4	2	2	Pelagibacteraceae	NA	749	1	7	4	4	Family	Pelagibacteraceae	NA	0.57	topology_provisional	topology_provisional
AG-390-D15	Pelagibacteraceae	NA	749	0.57	4	2	2	Pelagibacteraceae	NA	754	0.99	2	2	2	Family	Pelagibacteraceae	NA	0.57	topology_provisional	topology_provisional
AG-390-E04	Pelagibacteraceae	NA	759	0.94	46	34	34	Pelagibacteraceae	NA	802	1	10	4	4	Family	Pelagibacteraceae	NA	0.94	topology_provisional	topology_provisional
AG-390-G11	Pelagibacteraceae	NA	698	1	4	2	2	Pelagibacteraceae	NA	698	1	4	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-390-G13	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-390-G23	Pelagibacteraceae	NA	570	1	2	2	2	Pelagibacteraceae	NA	578	0.87	2	2	2	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-390-I15	Pelagibacteraceae	NA	664	0.99	28	28	24	Pelagibacteraceae	NA	690	0.98	4	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-390-J13	Pelagibacteraceae	NA	749	0.57	4	2	2	Pelagibacteraceae	NA	749	1	7	4	4	Family	Pelagibacteraceae	NA	0.57	topology_provisional	topology_provisional
AG-390-J21	Pelagibacteraceae	NA	788	0.93	4	3	3	Pelagibacteraceae	NA	782	0.99	3	2	2	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-390-L03	Pelagibacteraceae	NA	698	1	4	2	2	Pelagibacteraceae	NA	698	1	4	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-390-M02	Pelagibacteraceae	NA	744	0.98	71	42	42	Pelagibacteraceae	NA	749	1	7	4	4	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-390-M07	Pelagibacteraceae	NA	744	0.98	71	42	42	Pelagibacteraceae	NA	746	0.83	18	8	8	Family	Pelagibacteraceae	NA	0.83	topology_provisional	topology_provisional
AG-390-M14	Pelagibacteraceae	NA	573	0.69	3	3	3	Pelagibacteraceae	NA	579	1	2	2	2	Family	Pelagibacteraceae	NA	0.69	topology_provisional	topology_provisional
AG-390-M15	Cosmipelagibacteraceae	NA	1023	1	2	2	2	Cosmipelagibacteraceae	NA	1023	1	2	2	2	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-390-O04	Pelagibacteraceae	NA	707	0.99	38	23	23	Pelagibacteraceae	NA	706	1	109	65	65	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-404-B04	Pelagibacteraceae	NA	874	1	90	59	58	Pelagibacteraceae	NA	873	0.8	90	59	58	Family	Pelagibacteraceae	NA	0.8	topology_provisional	topology_provisional
AG-404-J20	Pelagibacteraceae	NA	874	1	90	59	58	Pelagibacteraceae	NA	873	0.8	90	59	58	Family	Pelagibacteraceae	NA	0.8	topology_provisional	topology_provisional
AG-404-O05	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-404-O18	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-404-P13	Pelagibacteraceae	NA	886	0.99	4	2	2	Pelagibacteraceae	NA	877	1	12	7	7	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-410-K05	Pelagibacteraceae	NA	758	0.93	57	38	38	Pelagibacteraceae	NA	744	1	71	42	42	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-410-L19	Pelagibacteraceae	NA	760	0.82	16	11	11	Pelagibacteraceae	NA	802	1	10	4	4	Family	Pelagibacteraceae	NA	0.82	topology_provisional	topology_provisional
AG-410-O02	Pelagibacteraceae	NA	581	0.98	3	3	3	Pelagibacteraceae	NA	601	0.99	2	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-414-B08	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	547	1	416	269	264	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-414-B15	Cosmipelagibacteraceae	NA	1034	0.96	2	2	2	Cosmipelagibacteraceae	NA	1034	1	2	2	2	Family	Cosmipelagibacteraceae	NA	0.96	topology_high	topology_high
AG-414-L04	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-414-M23	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	546	1	441	284	278	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-414-O09	Pelagibacteraceae	NA	891	0.95	4	3	3	Pelagibacteraceae	NA	883	1	4	3	3	Family	Pelagibacteraceae	NA	0.95	topology_high	topology_high
AG-414-O11	Pelagibacteraceae	NA	671	0.9	5	5	4	Pelagibacteraceae	NA	676	0.99	2	2	1	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-422-A21	Cosmipelagibacteraceae	NA	1035	0.85	4	2	2	Cosmipelagibacteraceae	NA	1036	0.99	3	2	2	Family	Cosmipelagibacteraceae	NA	0.85	topology_provisional	topology_provisional
AG-422-B22	Pelagibacteraceae	NA	565	0.67	8	6	6	Pelagibacteraceae	NA	602	1	3	3	3	Family	Pelagibacteraceae	NA	0.67	topology_provisional	topology_provisional
AG-422-C13	Pelagibacteraceae	NA	759	0.94	46	34	34	Pelagibacteraceae	NA	802	1	10	4	4	Family	Pelagibacteraceae	NA	0.94	topology_provisional	topology_provisional
AG-422-C20	Pelagibacteraceae	NA	560	0.94	47	35	35	Pelagibacteraceae	NA	566	0.88	5	4	4	Family	Pelagibacteraceae	NA	0.88	topology_provisional	topology_provisional
AG-422-D23	Pelagibacteraceae	NA	596	0.85	3	3	3	Pelagibacteraceae	NA	578	0.87	2	2	2	Family	Pelagibacteraceae	NA	0.85	topology_provisional	topology_provisional
AG-422-E09	Pelagibacteraceae	NA	599	0.71	3	2	2	Pelagibacteraceae	NA	583	0.89	5	3	3	Family	Pelagibacteraceae	NA	0.71	topology_provisional	topology_provisional
AG-422-F15	Cosmipelagibacteraceae	NA	999	0.99	2	2	2	Cosmipelagibacteraceae	NA	998	1	2	2	2	Family	Cosmipelagibacteraceae	NA	0.99	topology_high	topology_high
AG-422-G03	Pelagibacteraceae	NA	607	0.98	3	2	2	Pelagibacteraceae	NA	568	0.84	3	2	2	Family	Pelagibacteraceae	NA	0.84	topology_provisional	topology_provisional
AG-422-K17	Cosmipelagibacteraceae	NA	1003	1	18	11	11	Cosmipelagibacteraceae	NA	1007	0.87	3	2	2	Family	Cosmipelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-422-L15	Cosmipelagibacteraceae	NA	1026	1	4	3	3	Cosmipelagibacteraceae	NA	1027	1	3	2	2	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-422-N14	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	546	1	441	284	278	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-422-N15	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-426-C04	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	547	1	416	269	264	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-426-D09	Pelagibacteraceae	NA	736	1	3	2	2	Pelagibacteraceae	NA	739	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-426-E13	Pelagibacteraceae	NA	915	0.68	7	5	5	Pelagibacteraceae	NA	920	0.87	4	3	3	Family	Pelagibacteraceae	NA	0.68	topology_provisional	topology_provisional
AG-426-E17	Pelagibacteraceae	NA	971	0.98	2	2	1	Pelagibacteraceae	NA	970	1	3	3	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-426-F15	Pelagibacteraceae	NA	880	0.99	15	10	10	Pelagibacteraceae	NA	891	0.83	5	5	5	Family	Pelagibacteraceae	NA	0.83	topology_provisional	topology_provisional
AG-426-G09	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	546	1	441	284	278	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-426-I10	Pelagibacteraceae	NA	758	0.93	57	38	38	Pelagibacteraceae	NA	744	1	71	42	42	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-426-I15	Cosmipelagibacteraceae	NA	1035	0.85	4	2	2	Cosmipelagibacteraceae	NA	1036	0.99	3	2	2	Family	Cosmipelagibacteraceae	NA	0.85	topology_provisional	topology_provisional
AG-426-K09	Pelagibacteraceae	NA	875	1	80	54	53	Pelagibacteraceae	NA	889	0.9	10	7	7	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-426-M05	Pelagibacteraceae	NA	590	0.86	2	2	2	Pelagibacteraceae	NA	601	0.99	2	2	2	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-426-M19	Pelagibacteraceae	NA	934	0.92	2	2	2	Pelagibacteraceae	NA	915	1	2	2	2	Family	Pelagibacteraceae	NA	0.92	topology_provisional	topology_provisional
AG-426-O05	Cosmipelagibacteraceae	NA	1035	0.85	4	2	2	Cosmipelagibacteraceae	NA	1036	0.99	3	2	2	Family	Cosmipelagibacteraceae	NA	0.85	topology_provisional	topology_provisional
AG-426-P08	Pelagibacteraceae	NA	707	0.99	38	23	23	Pelagibacteraceae	NA	706	1	109	65	65	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-430-A11	Pelagibacteraceae	NA	555	1	150	128	124	Pelagibacteraceae	NA	555	1	150	128	124	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-430-B09	Pelagibacteraceae	NA	551	1	294	207	203	Pelagibacteraceae	NA	551	1	294	207	203	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-430-E20	Pelagibacteraceae	NA	686	0.9	2	2	2	Pelagibacteraceae	NA	683	0.9	2	2	2	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-430-F03	Cosmipelagibacteraceae	NA	1031	1	8	5	5	Cosmipelagibacteraceae	NA	1031	0.99	8	5	5	Family	Cosmipelagibacteraceae	NA	0.99	topology_high	topology_high
AG-430-F16	Pelagibacteraceae	NA	983	0.86	2	2	2	Pelagibacteraceae	NA	983	1	2	2	2	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-430-G11	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-430-I18	Pelagibacteraceae	NA	860	0.98	4	2	2	Pelagibacteraceae	NA	861	1	4	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-430-J04	Pelagibacteraceae	NA	981	0.82	6	4	4	Pelagibacteraceae	NA	980	1	7	5	5	Family	Pelagibacteraceae	NA	0.82	topology_provisional	topology_provisional
AG-430-J21	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	547	1	416	269	264	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-430-K07	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-439-B12	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	547	1	416	269	264	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-439-C08	Cosmipelagibacteraceae	NA	1032	0.88	7	4	4	Cosmipelagibacteraceae	NA	1032	0.99	7	4	4	Family	Cosmipelagibacteraceae	NA	0.88	topology_provisional	topology_provisional
AG-439-C18	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-439-E23	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	547	1	416	269	264	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-439-G19	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	547	1	416	269	264	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-439-O15	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	546	1	441	284	278	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-447-B22	Pelagibacteraceae	NA	741	1	4	3	3	Pelagibacteraceae	NA	741	0.94	4	3	3	Family	Pelagibacteraceae	NA	0.94	topology_provisional	topology_provisional
AG-447-C08	Pelagibacteraceae	NA	574	1	2	2	2	Pelagibacteraceae	NA	573	0.96	2	2	2	Family	Pelagibacteraceae	NA	0.96	topology_high	topology_high
AG-447-E19	Pelagibacteraceae	NA	602	0.98	3	2	2	Pelagibacteraceae	NA	588	0.87	2	2	2	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-447-F10	Pelagibacteraceae	NA	729	0.99	2	2	2	Pelagibacteraceae	NA	733	1	2	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-447-K09	Pelagibacteraceae	NA	760	0.82	16	11	11	Pelagibacteraceae	NA	802	1	10	4	4	Family	Pelagibacteraceae	NA	0.82	topology_provisional	topology_provisional
AG-447-K11	Pelagibacteraceae	NA	623	0.99	2	2	2	Pelagibacteraceae	NA	612	0.99	3	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-447-L03	Pelagibacteraceae	NA	565	0.67	8	6	6	Pelagibacteraceae	NA	562	0.88	14	9	9	Family	Pelagibacteraceae	NA	0.67	topology_provisional	topology_provisional
AG-447-L10	Pelagibacteraceae	NA	595	0.96	5	4	4	Pelagibacteraceae	NA	599	0.99	7	6	6	Family	Pelagibacteraceae	NA	0.96	topology_high	topology_high
AG-447-L14	Pelagibacteraceae	NA	758	0.93	57	38	38	Pelagibacteraceae	NA	744	1	71	42	42	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-447-M05	Pelagibacteraceae	NA	702	1	3	3	3	Pelagibacteraceae	NA	701	1	4	4	4	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-447-M10	Pelagibacteraceae	NA	607	0.98	3	2	2	Pelagibacteraceae	NA	568	0.84	3	2	2	Family	Pelagibacteraceae	NA	0.84	topology_provisional	topology_provisional
AG-447-N08	Pelagibacteraceae	NA	744	0.98	71	42	42	Pelagibacteraceae	NA	744	1	71	42	42	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-447-N18	Pelagibacteraceae	NA	788	0.93	4	3	3	Pelagibacteraceae	NA	784	0.98	4	4	4	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-447-N21	Pelagibacteraceae	NA	875	1	80	54	53	Pelagibacteraceae	NA	873	0.8	90	59	58	Family	Pelagibacteraceae	NA	0.8	topology_provisional	topology_provisional
AG-447-O23	Pelagibacteraceae	NA	707	0.99	38	23	23	Pelagibacteraceae	NA	706	1	109	65	65	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-447-P03	Pelagibacteraceae	NA	560	0.94	47	35	35	Pelagibacteraceae	NA	593	1	6	3	3	Family	Pelagibacteraceae	NA	0.94	topology_provisional	topology_provisional
AG-447-P22	Pelagibacteraceae	NA	736	1	3	2	2	Pelagibacteraceae	NA	737	1	4	3	3	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-453-G04	Cosmipelagibacteraceae	NA	999	0.99	2	2	2	Cosmipelagibacteraceae	NA	1001	1	2	2	2	Family	Cosmipelagibacteraceae	NA	0.99	topology_high	topology_high
AG-453-K22	Pelagibacteraceae	NA	982	0.84	4	3	3	Pelagibacteraceae	NA	980	1	7	5	5	Family	Pelagibacteraceae	NA	0.84	topology_provisional	topology_provisional
AG-457-B14	Pelagibacteraceae	NA	663	0.99	31	29	25	Pelagibacteraceae	NA	690	0.98	4	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-461-E04	Cosmipelagibacteraceae	NA	1020	1	5	3	3	Cosmipelagibacteraceae	NA	1020	1	5	3	3	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-461-L09	Pelagibacteraceae	NA	889	0.99	2	2	2	Pelagibacteraceae	NA	887	1	2	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-461-M18	Pelagibacteraceae	NA	972	1	9	7	7	Pelagibacteraceae	NA	972	1	9	7	7	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-464-P13	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-470-D02	Pelagibacteraceae	NA	663	0.99	31	29	25	Pelagibacteraceae	NA	690	0.98	4	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-891-A05	Pelagibacteraceae	NA	582	0.99	2	2	2	Pelagibacteraceae	NA	603	1	2	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-891-C15	Pelagibacteraceae	NA	800	0.95	3	3	3	Pelagibacteraceae	NA	797	1	2	2	2	Family	Pelagibacteraceae	NA	0.95	topology_high	topology_high
AG-891-E06	Pelagibacteraceae	NA	971	0.98	2	2	1	Pelagibacteraceae	NA	971	1	2	2	1	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-891-G02	Pelagibacteraceae	NA	610	1	53	52	52	Pelagibacteraceae	NA	612	0.99	3	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-891-I18	Pelagibacteraceae	NA	595	0.96	5	4	4	Pelagibacteraceae	NA	588	0.87	2	2	2	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-891-J07	Pelagibacteraceae	NA	663	0.99	31	29	25	Pelagibacteraceae	NA	690	0.98	4	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-891-N03	Pelagibacteraceae	NA	906	0.91	4	2	2	Pelagibacteraceae	NA	927	0.87	8	2	2	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-891-O15	Cosmipelagibacteraceae	NA	998	0.98	3	3	3	Cosmipelagibacteraceae	NA	1002	1	2	2	2	Family	Cosmipelagibacteraceae	NA	0.98	topology_high	topology_high
AG-892-A22	Pelagibacteraceae	NA	574	1	2	2	2	Pelagibacteraceae	NA	598	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-892-B11	Pelagibacteraceae	NA	942	1	2	2	2	Pelagibacteraceae	NA	941	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-892-C18	Pelagibacteraceae	NA	758	0.93	57	38	38	Pelagibacteraceae	NA	744	1	71	42	42	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
