genome_id	genome_size_bp	gc_percent	n_contigs	n50	min_contig_length	max_contig_length	n_proteins	median_protein_length	mean_protein_length	p95_protein_length	max_protein_length	COG_coverage	KO_coverage	Pfam_coverage	any_annotation_coverage	completeness	contamination	completeness_model	translation_table	coding_density	checkm2_contig_n50	checkm2_average_gene_length	checkm2_genome_size	checkm2_gc_content	checkm2_total_coding_sequences	checkm2_total_contigs	checkm2_max_contig_length	checkm2_notes	quality_class	clade_1	clade_2	subclade	subgroup	Order	Family	Genus	Species	reference	type_strain_Freel_2024	genome_type	depth	latitude	longitude	depth_cat	latitude_cat	longhurst_code	description	habitat_type	waterbody_name	habitat_source
AG-325-L05	1042160	28.66	30	64364	2060	198845	1116	264	293.7983870967742	619.5	1387	86.55913978494624	58.15412186379928	86.64874551971326	89.96415770609319	88.57	0.03	Neural Network (Specific Model)	11	0.961	64364	292.30104712041884	1042160	0.29	1146	30	198845	None	Medium completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	14	-23.46	-88.77	0-100m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-333-A04	1317451	29.15	37	84566	2180	172360	1375	277	299.8756363636364	633.3	1390	87.34545454545454	58.763636363636365	89.16363636363637	91.56363636363636	91.3	0.17	Neural Network (Specific Model)	11	0.961	84566	299.89660056657226	1317451	0.29	1412	37	172360	None	High completeness	I	Ia	Ia.3.V	Ia.3.V	Pelagibacterales	Pelagibacteraceae	Xanthipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	112	-23.46	-88.77	100-200m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-333-D08	1005538	28.96	42	53413	2091	164811	1063	260	293.7977422389464	641	1501	85.98306679209784	58.04327375352775	85.70084666039511	89.46378174976482	86.29	0.13	Neural Network (Specific Model)	11	0.961	53413	292.5176470588235	1005538	0.29	1105	42	164811	None	Medium completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	112	-23.46	-88.77	100-200m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-333-K06	1006550	28.58	33	62895	2015	184788	1058	266	299.3185255198488	638.15	1499	87.42911153119093	61.15311909262759	87.90170132325142	90.83175803402646	86.49	0	Neural Network (Specific Model)	11	0.964	62895	296.70448307410794	1006550	0.29	1093	33	184788	None	Medium completeness	I	Ib	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	112	-23.46	-88.77	100-200m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-333-N15	993623	28.32	51	47380	2019	122347	1019	270	302.51128557409226	646.3999999999996	1501	85.7703631010795	58.783120706575076	86.45731108930323	89.30323846908735	87.2	0.06	Neural Network (Specific Model)	11	0.962	47380	301.0885122410546	993623	0.28	1062	51	122347	None	Medium completeness	I	Ia	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	112	-23.46	-88.77	100-200m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-337-C09	1208622	29.17	44	43061	2049	125919	1262	281.5	300.1323296354992	623	1387	87.00475435816165	56.49762282091918	87.71790808240888	90.88748019017433	85.07	0.22	Neural Network (Specific Model)	11	0.965	43061	299.86538461538464	1208622	0.29	1300	44	125919	None	Medium completeness	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-337-C19	1027347	28.85	40	53121	2188	142529	1103	261	294.9827742520399	647	1499	85.675430643699	57.93291024478694	87.1260199456029	89.57388939256573	85.39	0.34	Neural Network (Specific Model)	11	0.967	53121	292.22163588390504	1027347	0.29	1137	40	142529	None	Medium completeness	I	Ib	Ib.2.b	Ib.2.N10	Pelagibacterales	Pelagibacteraceae	Fususpelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-337-D16	1204976	29.03	38	70078	2054	274521	1241	275	306.2796132151491	676	1498	87.51007252215955	57.77598710717163	87.67123287671232	90.97502014504431	88.21	1.39	Neural Network (Specific Model)	11	0.965	70078	306.18518518518516	1204976	0.29	1269	38	274521	None	Medium completeness	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-337-D17	1061156	29.26	27	64266	2037	142378	1128	261	295.86524822695037	635.5999999999995	1501	87.7659574468085	59.663120567375884	89.71631205673759	92.5531914893617	89.12	0.04	Neural Network (Specific Model)	11	0.96	64266	295.15238095238095	1061156	0.29	1155	27	142378	None	Medium completeness	I	Ia	Ia.4	Ia.4.N5	Pelagibacterales	Pelagibacteraceae	Tantilluspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-337-E15	1014038	29.6	30	86409	2305	221179	1068	264.5	300.42790262172286	674.65	1498	88.57677902621724	62.546816479400746	90.2621722846442	92.60299625468164	86.59	0	Neural Network (Specific Model)	11	0.969	86409	298.90363636363634	1014038	0.3	1100	30	221179	None	Medium completeness	II	IIa	IIa.B	IIa.B	Pelagibacterales	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-337-G04	1330070	29.39	23	111674	2710	160141	1376	286	307.9011627906977	640.5	1498	88.59011627906976	59.81104651162791	89.60755813953489	92.58720930232558	96.41	0.04	Neural Network (Specific Model)	11	0.965	111674	306.1597717546362	1330070	0.29	1402	23	160141	None	High completeness	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-337-G06	1270863	33.46	20	142625	2184	250344	1304	273	306.17714723926383	662.1999999999989	2390	88.65030674846625	60.966257668711656	90.03067484662577	92.25460122699386	93.19	0.01	Gradient Boost (General Model)	11	0.96	142625	309.04245640636844	1270863	0.33	1319	20	250344	None	High completeness	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-337-G11	1059717	29.56	34	53392	2019	112533	1156	254	288.34256055363323	647.25	1619	86.50519031141869	59.2560553633218	87.71626297577855	90.57093425605537	86.29	0	Neural Network (Specific Model)	11	0.963	53392	290.67148936170213	1059717	0.3	1175	34	112533	None	Medium completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-343-E17	985420	29.58	26	98647	2069	195711	1030	270.5	301.0543689320388	642	1498	87.57281553398059	59.22330097087378	88.54368932038835	92.03883495145631	86.06	0.02	Neural Network (Specific Model)	11	0.963	98647	301.33903133903135	985420	0.3	1053	26	195711	None	Medium completeness	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	180	-26.25	-103.96	100-200m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean
AG-349-I05	1139341	29.26	20	193889	2400	265544	1184	268	306.93918918918916	679.8499999999999	2101	87.16216216216216	59.71283783783784	87.75337837837837	91.63851351351352	92.82	0.1	Neural Network (Specific Model)	11	0.966	193889	305.7641196013289	1139341	0.29	1204	20	265544	None	High completeness	I	Ib	Ib.5	Ib.N11	Pelagibacterales	Pelagibacteraceae	Rubeuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	5	23.75	-158	0-100m	northern_temperate	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	North Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NPTG; inferred waterbody North Pacific Ocean
AG-349-L17	1216121	29.28	25	90568	2746	142309	1264	277	304.21677215189874	645.2499999999995	1501	87.9746835443038	59.01898734177215	89.47784810126582	92.48417721518987	90.04	0.03	Neural Network (Specific Model)	11	0.963	90568	305.1293842556508	1216121	0.29	1283	25	142309	None	High completeness	I	Ia	Ia.3.V	Ia.3.V	Pelagibacterales	Pelagibacteraceae	Xanthipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	5	23.75	-158	0-100m	northern_temperate	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	North Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NPTG; inferred waterbody North Pacific Ocean
AG-349-O05	1119353	29.17	37	50134	2149	134192	1180	271.5	299.48644067796613	651.0999999999999	1501	88.64406779661017	59.57627118644068	88.89830508474577	92.37288135593221	87.42	0.59	Neural Network (Specific Model)	11	0.965	50134	298.82382133995037	1119353	0.29	1209	37	134192	None	Medium completeness	I	Ia	Ia.3.V	Ia.3.V	Pelagibacterales	Pelagibacteraceae	Xanthipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	5	23.75	-158	0-100m	northern_temperate	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	North Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NPTG; inferred waterbody North Pacific Ocean
AG-359-B05	1119711	29	33	71261	2304	141631	1174	271	301.7231686541738	647.0999999999995	1388	89.01192504258944	59.71039182282794	90.3747870528109	93.10051107325383	87.05	0.13	Neural Network (Specific Model)	11	0.969	71261	301.3297342192691	1119711	0.29	1204	33	141631	None	Medium completeness	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-359-C09	1130529	29.82	26	89615	2393	208001	1185	269	299.55021097046415	631.5999999999999	1500	88.60759493670885	62.36286919831223	90.46413502109705	93.08016877637131	92.14	0	Neural Network (Specific Model)	11	0.959	89615	299.53471074380167	1130529	0.3	1210	26	208001	None	High completeness	I	Ia	Ia.3.VII	Ia.3.VII	Pelagibacterales	Pelagibacteraceae	Angustipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-359-D09	1203901	28.31	19	124676	2073	201207	1262	270	304.9278922345483	680.8000000000002	1627	87.40095087163233	59.19175911251982	87.5594294770206	90.88748019017433	94.31	0.02	Neural Network (Specific Model)	11	0.967	124676	303.8633879781421	1203901	0.28	1281	19	201207	None	High completeness	I	Ia	Ia.4	Ia.4.N4	Pelagibacterales	Pelagibacteraceae	Punctumpelagibacter	variabilis	Pachiadaki et al., (2019)	TRUE	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-359-F04	1129078	28.48	32	78865	2252	209763	1182	264.5	300.22673434856176	674.7500000000011	1501	86.97123519458545	59.81387478849408	88.3248730964467	91.0321489001692	87.27	0.07	Neural Network (Specific Model)	11	0.964	78865	300.55739058629234	1129078	0.28	1211	32	209763	None	Medium completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-359-G17	1164429	28.95	32	68077	2230	92350	1230	270	300.53089430894306	640.55	1378	88.53658536585365	59.430894308943095	89.34959349593497	92.27642276422763	89.31	0.56	Neural Network (Specific Model)	11	0.97	68077	301.9488409272582	1164429	0.29	1251	32	92350	None	Medium completeness	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-359-G22	979437	29.22	36	50252	2113	223634	1039	262	295.3282001924928	637.3999999999996	1697	86.62175168431185	58.51780558229066	87.58421559191531	90.56785370548604	85.64	0.13	Neural Network (Specific Model)	11	0.961	50252	293.2225325884544	979437	0.29	1074	36	223634	None	Medium completeness	I	Ia	Ia.4	Ia.4.N5	Pelagibacterales	Pelagibacteraceae	Tantilluspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-359-M21	1171498	29.95	17	312185	2590	319629	1257	263	295.70007955449483	625.2000000000003	1500	87.03261734287987	59.98408910103421	88.38504375497216	90.9307875894988	85.32	0.01	Neural Network (Specific Model)	11	0.961	312185	295.83490566037733	1171498	0.3	1272	17	319629	None	Medium completeness	I	Ia	Ia.3.VII	Ia.3.VII	Pelagibacterales	Pelagibacteraceae	Angustipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-359-O11	1140979	29.19	28	97415	2194	171667	1175	273	306.41872340425533	676.3	1498	88.51063829787233	59.31914893617021	89.70212765957447	92.76595744680851	85.83	0.23	Neural Network (Specific Model)	11	0.965	97415	305.6985049833887	1140979	0.29	1204	28	171667	None	Medium completeness	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-359-P18	1069946	29.22	20	124167	3348	227861	1135	267	298.33568281938324	626.4999999999998	1389	88.54625550660793	61.4977973568282	89.95594713656388	92.51101321585902	91.84	0	Neural Network (Specific Model)	11	0.964	124167	298.1581676750216	1069946	0.29	1157	20	227861	None	High completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-365-B19	1036885	29.52	20	137478	2813	179370	1070	279	308.0140186915888	646.1999999999998	1499	89.81308411214954	61.6822429906542	91.02803738317758	93.92523364485982	94.84	0.01	Neural Network (Specific Model)	11	0.969	137478	309.14903403863843	1036885	0.3	1087	20	179370	None	High completeness	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	100	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-365-D07	1050652	28.81	31	53323	2635	100971	1081	270	304.7567067530065	675	1498	88.43663274745606	60.6845513413506	89.08418131359852	92.50693802035153	85.14	0	Neural Network (Specific Model)	11	0.963	53323	303.6421524663677	1050652	0.29	1115	31	100971	None	Medium completeness	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	100	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-365-L04	1032038	28.13	23	177202	2475	189560	1083	269	301.2816251154201	651	1501	88.08864265927978	61.21883656509696	89.01200369344414	91.78208679593722	85.92	0.04	Neural Network (Specific Model)	11	0.963	177202	301.9718437783833	1032038	0.28	1101	23	189560	None	Medium completeness	I	Ia	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	100	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-365-O14	1070742	28.7	28	106298	2119	186236	1142	263.5	296.94045534150615	652.8500000000001	1621	86.95271453590193	58.49387040280211	87.39054290718039	91.06830122591944	86.01	0.04	Neural Network (Specific Model)	11	0.963	106298	295.28706083976004	1070742	0.29	1167	28	186236	None	Medium completeness	I	Ia	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	100	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
