genome	Clade1	type	Subclade	Family	Genus	Species	original_Subclade	original_Subgroup	original_Family	original_Genus	original_Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_SAR11_165_crown_node	Subclade_SAR11_165_crown_node	Genus_SAR11_165_crown_node	Family_SAR11_165_crown_support	Subclade_SAR11_165_crown_support	Genus_SAR11_165_crown_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
Uisw_101	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_104	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_106	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_094	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_136	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_113	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_116	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_121	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_114	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_130	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_092	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_090	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_127	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
Uisw_099_02	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	822	822	822	0.97	0.97	0.97	NA	NA	NA
HTCC9565	I	isolate	Ia.1.I	Pelagibacteraceae	Pelagibacter	yakuwasiensis	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	yakuwasiensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_134_02	I	isolate	NA	Pelagibacteraceae	NA	NA	NA	NA	Pelagibacteraceae	NA	NA	NA	SAR11_165 crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	551	NA	NA	1	NA	NA	NA	NA	NA
AG-447-M05	I	SAG	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC7211	I	isolate	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC7214	I	isolate	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC7217	I	isolate	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1412	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	kukahii	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	kukahii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1420	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1427	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1463	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1564	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1520	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB5	I	isolate	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	heeiaensis	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	heeiaensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1321	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1527	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1505	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1549	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB4	I	isolate	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Ia.3.III	Ia.3.III	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-390-G11	I	SAG	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	698	698	698	1	1	1	NA	NA	NA
AG-390-L03	I	SAG	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAG-MED06	I	SAG	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	698	698	698	1	1	1	NA	NA	NA
SAG-MED50	I	SAG	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC8051	I	isolate	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	yaqonii	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	yaqonii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC9022	I	isolate	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Accedentipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAG-MED49	I	SAG	NA	Pelagibacteraceae	NA	NA	NA	NA	Pelagibacteraceae	NA	NA	NA	SAR11_165 crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	694	NA	NA	1	NA	NA	NA	NA	NA
AAA795-A20	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	aumoanae	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	aumoanae	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-333-A04	I	SAG	NA	Pelagibacteraceae	NA	NA	NA	NA	Pelagibacteraceae	NA	NA	NA	SAR11_165 crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	557	NA	NA	1	NA	NA	NA	NA	NA
AG-447-M10	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	563	563	563	1	1	1	NA	NA	NA
AH-324-N03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-287-B07	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-324-F03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-287-E17	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	608	608	608	0.99	0.99	0.99	NA	NA	NA
AH-321-A17	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	605	605	605	0.99	0.99	0.99	NA	NA	NA
AH-324-J07	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-349-L17	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-G03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-912-L11	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	563	563	563	1	1	1	NA	NA	NA
HIMB1456	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-C20	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-P03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	593	593	593	1	1	1	NA	NA	NA
AG-917-J06	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	563	563	563	1	1	1	NA	NA	NA
AG-447-E19	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-913-F03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	SAR11_165 crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	560	560	560	0.99	0.99	0.99	NA	NA	NA
AG-896-O18	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-P23	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-D23	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-895-F17	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
