genome	rank	taxon	parent_taxon	crown_node	crown_support	crown_descendants	target_seeds	primary_seeds	assignment_confidence	decision
AG-439-C18	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-439-E23	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-439-G19	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-439-O15	Family	Pelagibacteraceae	NA	546	1	441	284	278	topology_high	topology_high
AG-447-B22	Family	Pelagibacteraceae	NA	717	1	98	60	60	topology_high	topology_high
AG-447-C08	Family	Pelagibacteraceae	NA	573	0.96	2	2	2	topology_high	topology_high
AG-447-E19	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-447-F10	Family	Pelagibacteraceae	NA	733	1	2	2	2	topology_high	topology_high
AG-447-K09	Family	Pelagibacteraceae	NA	802	1	10	4	4	topology_high	topology_high
AG-447-K11	Family	Pelagibacteraceae	NA	612	0.99	3	2	2	topology_high	topology_high
AG-447-L03	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-447-L10	Family	Pelagibacteraceae	NA	599	0.99	7	6	6	topology_high	topology_high
AG-447-L14	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-447-M05	Family	Pelagibacteraceae	NA	701	1	4	4	4	topology_high	topology_high
AG-447-M10	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
AG-447-N08	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-447-N18	Family	Pelagibacteraceae	NA	784	0.98	4	4	4	topology_high	topology_high
AG-447-N21	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-447-O23	Family	Pelagibacteraceae	NA	706	1	109	65	65	topology_high	topology_high
AG-447-P03	Family	Pelagibacteraceae	NA	593	1	6	3	3	topology_high	topology_high
AG-447-P22	Family	Pelagibacteraceae	NA	737	1	4	3	3	topology_high	topology_high
AG-453-G04	Family	Cosmipelagibacteraceae	NA	1001	1	2	2	2	topology_high	topology_high
AG-453-K22	Family	Pelagibacteraceae	NA	980	1	7	5	5	topology_high	topology_high
AG-457-B14	Family	Pelagibacteraceae	NA	690	0.98	4	2	2	topology_high	topology_high
AG-461-E04	Family	Cosmipelagibacteraceae	NA	1020	1	5	3	3	topology_high	topology_high
AG-461-L09	Family	Pelagibacteraceae	NA	887	1	2	2	2	topology_high	topology_high
AG-461-M18	Family	Pelagibacteraceae	NA	972	1	9	7	7	topology_high	topology_high
AG-464-P13	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-470-D02	Family	Pelagibacteraceae	NA	690	0.98	4	2	2	topology_high	topology_high
AG-891-A05	Family	Pelagibacteraceae	NA	603	1	2	2	2	topology_high	topology_high
AG-891-C15	Family	Pelagibacteraceae	NA	797	1	2	2	2	topology_high	topology_high
AG-891-E06	Family	Pelagibacteraceae	NA	971	1	2	2	1	topology_high	topology_high
AG-891-G02	Family	Pelagibacteraceae	NA	612	0.99	3	2	2	topology_high	topology_high
AG-891-I18	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-891-J07	Family	Pelagibacteraceae	NA	690	0.98	4	2	2	topology_high	topology_high
AG-891-N03	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-891-O15	Family	Cosmipelagibacteraceae	NA	1002	1	2	2	2	topology_high	topology_high
AG-892-A22	Family	Pelagibacteraceae	NA	598	1	2	2	2	topology_high	topology_high
AG-892-B11	Family	Pelagibacteraceae	NA	941	1	2	2	2	topology_high	topology_high
AG-892-C18	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-892-E08	Family	Pelagibacteraceae	NA	678	1	2	2	1	topology_high	topology_high
AG-892-F02	Family	Pelagibacteraceae	NA	593	1	6	3	3	topology_high	topology_high
AG-892-F15	Family	Pelagibacteraceae	NA	910	0.99	3	3	3	topology_high	topology_high
AG-892-J03	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-892-K05	Family	Pelagibacteraceae	NA	774	1	2	2	2	topology_high	topology_high
AG-892-K09	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-892-L05	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-892-L17	Family	Pelagibacteraceae	NA	593	1	6	3	3	topology_high	topology_high
AG-893-F11	Family	Pelagibacteraceae	NA	770	1	8	7	7	topology_high	topology_high
AG-893-I20	Family	Pelagibacteraceae	NA	735	1	3	2	2	topology_high	topology_high
AG-893-J08	Family	Pelagibacteraceae	NA	900	1	45	31	30	topology_high	topology_high
AG-893-K09	Family	Pelagibacteraceae	NA	975	1	2	2	2	topology_high	topology_high
AG-893-L07	Family	Pelagibacteraceae	NA	885	1	2	2	2	topology_high	topology_high
AG-893-L13	Family	Pelagibacteraceae	NA	959	1	2	2	2	topology_high	topology_high
AG-893-M22	Family	Pelagibacteraceae	NA	925	1	3	2	2	topology_high	topology_high
AG-893-N07	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-893-P02	Family	Pelagibacteraceae	NA	957	1	3	2	2	topology_high	topology_high
AG-893-P10	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-894-A03	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-894-A09	Family	Fontibacteriaceae	NA	1042	1	12	8	8	topology_high	topology_high
AG-894-B06	Family	Pelagibacteraceae	NA	916	1	2	2	2	topology_high	topology_high
AG-894-B07	Family	Pelagibacteraceae	NA	795	1	5	5	5	topology_high	topology_high
AG-894-C14	Family	Pelagibacteraceae	NA	685	1	3	3	3	topology_high	topology_high
AG-894-E10	Family	Pelagibacteraceae	NA	940	1	3	3	3	topology_high	topology_high
AG-894-F15	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-894-K14	Family	Pelagibacteraceae	NA	730	1	2	2	2	topology_high	topology_high
AG-894-K15	Family	Pelagibacteraceae	NA	768	1	10	8	8	topology_high	topology_high
AG-894-L13	Family	Pelagibacteraceae	NA	776	1	2	2	2	topology_high	topology_high
AG-894-L17	Family	Pelagibacteraceae	NA	887	1	2	2	2	topology_high	topology_high
AG-894-L19	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-894-O09	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-894-P23	Family	Pelagibacteraceae	NA	593	1	6	3	3	topology_high	topology_high
AG-895-F17	Family	Pelagibacteraceae	NA	579	1	2	2	2	topology_high	topology_high
AG-895-G15	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-895-J19	Family	Pelagibacteraceae	NA	776	1	2	2	2	topology_high	topology_high
AG-895-K10	Family	Pelagibacteraceae	NA	761	1	2	2	2	topology_high	topology_high
AG-896-C18	Family	Pelagibacteraceae	NA	802	1	10	4	4	topology_high	topology_high
AG-896-F06	Family	Pelagibacteraceae	NA	881	0.99	8	5	5	topology_high	topology_high
AG-896-G07	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-896-K10	Family	Pelagibacteraceae	NA	797	1	2	2	2	topology_high	topology_high
AG-896-L20	Family	Pelagibacteraceae	NA	735	1	3	2	2	topology_high	topology_high
AG-896-O18	Family	Pelagibacteraceae	NA	598	1	2	2	2	topology_high	topology_high
AG-897-G09	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-897-G15	Family	Pelagibacteraceae	NA	730	1	2	2	2	topology_high	topology_high
AG-897-O16	Family	Pelagibacteraceae	NA	908	0.99	2	2	2	topology_high	topology_high
AG-898-C07	Family	Pelagibacteraceae	NA	624	0.98	2	2	2	topology_high	topology_high
AG-898-G21	Family	Pelagibacteraceae	NA	911	1	2	2	2	topology_high	topology_high
AG-898-P13	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-899-A06	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-899-B09	Family	Pelagibacteraceae	NA	949	1	4	2	2	topology_high	topology_high
AG-899-D19	Family	Pelagibacteraceae	NA	949	1	4	2	2	topology_high	topology_high
AG-899-E14	Family	Cosmipelagibacteraceae	NA	1013	0.98	7	4	4	topology_high	topology_high
AG-899-G02	Family	Pelagibacteraceae	NA	772	1	5	4	4	topology_high	topology_high
AG-899-J02	Family	Pelagibacteraceae	NA	662	1	32	30	26	topology_high	topology_high
AG-899-J23	Family	Pelagibacteraceae	NA	727	1	5	5	5	topology_high	topology_high
AG-899-M07	Family	Pelagibacteraceae	NA	762	1	2	2	2	topology_high	topology_high
AG-899-M19	Family	Pelagibacteraceae	NA	959	1	2	2	2	topology_high	topology_high
AG-899-N21	Family	Pelagibacteraceae	NA	678	1	2	2	1	topology_high	topology_high
AG-899-O04	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-900-G16	Family	Pelagibacteraceae	NA	925	1	3	2	2	topology_high	topology_high
AG-900-I13	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-900-I19	Family	Pelagibacteraceae	NA	937	1	2	2	2	topology_high	topology_high
AG-900-K21	Family	Pelagibacteraceae	NA	775	1	2	2	2	topology_high	topology_high
AG-901-I06	Family	Pelagibacteraceae	NA	876	1	23	15	15	topology_high	topology_high
AG-901-I21	Family	Pelagibacteraceae	NA	975	1	2	2	2	topology_high	topology_high
AG-903-C11	Family	Pelagibacteraceae	NA	916	1	2	2	2	topology_high	topology_high
AG-903-D02	Family	Pelagibacteraceae	NA	681	1	4	4	4	topology_high	topology_high
AG-903-F09	Family	Pelagibacteraceae	NA	782	0.99	3	2	2	topology_high	topology_high
AG-903-K07	Family	Pelagibacteraceae	NA	983	1	2	2	2	topology_high	topology_high
AG-903-L07	Family	Pelagibacteraceae	NA	893	1	2	2	2	topology_high	topology_high
AG-903-M21	Family	Cosmipelagibacteraceae	NA	1019	1	2	2	2	topology_high	topology_high
AG-903-O08	Family	Pelagibacteraceae	NA	789	1	3	3	3	topology_high	topology_high
AG-904-F11	Family	Cosmipelagibacteraceae	NA	1027	1	3	2	2	topology_high	topology_high
AG-904-F17	Family	Pelagibacteraceae	NA	679	1	2	2	2	topology_high	topology_high
AG-904-K03	Family	Pelagibacteraceae	NA	885	1	2	2	2	topology_high	topology_high
AG-905-A07	Family	Pelagibacteraceae	NA	762	1	2	2	2	topology_high	topology_high
AG-905-E10	Family	Pelagibacteraceae	NA	767	1	36	30	30	topology_high	topology_high
AG-905-E11	Family	Pelagibacteraceae	NA	876	1	23	15	15	topology_high	topology_high
AG-905-G04	Family	Pelagibacteraceae	NA	767	1	36	30	30	topology_high	topology_high
AG-905-M05	Family	Pelagibacteraceae	NA	957	1	3	2	2	topology_high	topology_high
AG-905-O08	Family	Pelagibacteraceae	NA	893	1	2	2	2	topology_high	topology_high
AG-907-B09	Family	Fontibacteriaceae	NA	1042	1	12	8	8	topology_high	topology_high
AG-907-C04	Family	Pelagibacteraceae	NA	733	1	2	2	2	topology_high	topology_high
AG-907-E04	Family	Pelagibacteraceae	NA	985	1	2	2	2	topology_high	topology_high
AG-907-F09	Family	Pelagibacteraceae	NA	877	1	12	7	7	topology_high	topology_high
AG-908-C18	Family	Pelagibacteraceae	NA	585	1	3	2	2	topology_high	topology_high
AG-908-F18	Family	Pelagibacteraceae	NA	883	1	4	3	3	topology_high	topology_high
AG-908-F20	Family	Pelagibacteraceae	NA	775	1	2	2	2	topology_high	topology_high
AG-908-L09	Family	Pelagibacteraceae	NA	942	1	2	2	2	topology_high	topology_high
AG-909-A17	Family	Pelagibacteraceae	NA	973	1	8	6	6	topology_high	topology_high
AG-909-F14	Family	Pelagibacteraceae	NA	917	1	2	2	2	topology_high	topology_high
AG-909-G08	Family	Pelagibacteraceae	NA	725	1	13	11	11	topology_high	topology_high
AG-909-J05	Family	Pelagibacteraceae	NA	732	1	6	4	4	topology_high	topology_high
AG-910-B05	Family	Pelagibacteraceae	NA	739	1	2	2	2	topology_high	topology_high
AG-910-G11	Family	Cosmipelagibacteraceae	NA	998	1	2	2	2	topology_high	topology_high
AG-911-E04	Family	Pelagibacteraceae	NA	723	1	19	15	15	topology_high	topology_high
AG-911-G03	Family	Pelagibacteraceae	NA	667	0.99	11	11	8	topology_high	topology_high
AG-911-G13	Family	Cosmipelagibacteraceae	NA	1017	0.98	3	3	3	topology_high	topology_high
AG-911-N14	Family	Pelagibacteraceae	NA	861	1	4	2	2	topology_high	topology_high
AG-912-A14	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-912-C08	Family	Pelagibacteraceae	NA	774	1	2	2	2	topology_high	topology_high
AG-912-D10	Family	Cosmipelagibacteraceae	NA	1024	1	6	4	4	topology_high	topology_high
AG-912-F16	Family	Pelagibacteraceae	NA	681	1	4	4	4	topology_high	topology_high
AG-912-I02	Family	Pelagibacteraceae	NA	917	1	2	2	2	topology_high	topology_high
AG-912-L11	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
AG-912-P19	Family	Cosmipelagibacteraceae	NA	1011	1	2	2	2	topology_high	topology_high
AG-913-A04	Family	Pelagibacteraceae	NA	667	0.99	11	11	8	topology_high	topology_high
AG-913-C02	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-913-C03	Family	Pelagibacteraceae	NA	672	1	2	2	2	topology_high	topology_high
AG-913-F03	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-913-G10	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-913-I06	Family	Cosmipelagibacteraceae	NA	1006	0.98	8	5	5	topology_high	topology_high
AG-913-I09	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-913-I14	Family	Cosmipelagibacteraceae	NA	1013	0.98	7	4	4	topology_high	topology_high
AG-913-L03	Family	Pelagibacteraceae	NA	599	0.99	7	6	6	topology_high	topology_high
AG-913-M13	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-913-N09	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-913-O18	Family	Pelagibacteraceae	NA	876	1	23	15	15	topology_high	topology_high
AG-914-A09	Family	Pelagibacteraceae	NA	985	1	2	2	2	topology_high	topology_high
AG-914-B14	Family	Pelagibacteraceae	NA	603	1	2	2	2	topology_high	topology_high
AG-914-I16	Family	Cosmipelagibacteraceae	NA	1013	0.98	7	4	4	topology_high	topology_high
AG-914-J05	Family	Cosmipelagibacteraceae	NA	1018	1	2	2	2	topology_high	topology_high
AG-914-L04	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-914-L20	Family	Pelagibacteraceae	NA	861	1	4	2	2	topology_high	topology_high
AG-914-N11	Family	Cosmipelagibacteraceae	NA	1006	0.98	8	5	5	topology_high	topology_high
AG-914-P23	Family	Pelagibacteraceae	NA	676	0.99	2	2	1	topology_high	topology_high
AG-915-G13	Family	Pelagibacteraceae	NA	876	1	23	15	15	topology_high	topology_high
AG-915-G14	Family	Pelagibacteraceae	NA	944	1	2	2	2	topology_high	topology_high
AG-915-K13	Family	Pelagibacteraceae	NA	679	1	2	2	2	topology_high	topology_high
AG-916-A16	Family	Pelagibacteraceae	NA	735	1	3	2	2	topology_high	topology_high
AG-916-A21	Family	Pelagibacteraceae	NA	971	1	2	2	1	topology_high	topology_high
AG-916-B06	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-916-B15	Family	Pelagibacteraceae	NA	881	0.99	8	5	5	topology_high	topology_high
AG-916-D16	Family	Cosmipelagibacteraceae	NA	1025	1	5	3	3	topology_high	topology_high
AG-916-E17	Family	Cosmipelagibacteraceae	NA	1011	1	2	2	2	topology_high	topology_high
AG-916-E19	Family	Pelagibacteraceae	NA	915	1	2	2	2	topology_high	topology_high
AG-916-G03	Family	Cosmipelagibacteraceae	NA	987	1	52	36	36	topology_high	topology_high
AG-916-G09	Family	Pelagibacteraceae	NA	894	1	2	2	2	topology_high	topology_high
AG-916-G19	Family	Pelagibacteraceae	NA	754	0.99	2	2	2	topology_high	topology_high
AG-916-J11	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-916-L11	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-916-M15	Family	Pelagibacteraceae	NA	688	1	2	2	2	topology_high	topology_high
AG-916-N14	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-916-O13	Family	Pelagibacteraceae	NA	982	0.96	3	3	3	topology_high	topology_high
AG-916-O20	Family	Pelagibacteraceae	NA	876	1	23	15	15	topology_high	topology_high
AG-917-B07	Family	Pelagibacteraceae	NA	977	1	2	2	2	topology_high	topology_high
AG-917-C08	Family	Pelagibacteraceae	NA	672	1	2	2	2	topology_high	topology_high
AG-917-C11	Family	Pelagibacteraceae	NA	667	0.99	11	11	8	topology_high	topology_high
AG-917-D03	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-917-D09	Family	Pelagibacteraceae	NA	949	1	4	2	2	topology_high	topology_high
AG-917-D14	Family	Pelagibacteraceae	NA	942	1	2	2	2	topology_high	topology_high
AG-917-D23	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-917-E05	Family	Pelagibacteraceae	NA	952	1	2	2	2	topology_high	topology_high
AG-917-E14	Family	Cosmipelagibacteraceae	NA	1013	0.98	7	4	4	topology_high	topology_high
