cluster	number of genomes	final representative	accession	genomes in cluster
cluster_000036	1	GCA_902521005.1_AG-333-K06	GCA_902521005.1	GCA_902521005.1_AG-333-K06
cluster_000037	1	GCA_902624315.1_AH-287-G05	GCA_902624315.1	GCA_902624315.1_AH-287-G05
cluster_000038	1	GCA_902523185.1_AG-895-E15	GCA_902523185.1	GCA_902523185.1_AG-895-E15
cluster_000039	1	GCA_902618855.1_AG-892-L05	GCA_902618855.1	GCA_902618855.1_AG-892-L05
cluster_000040	1	GCA_902551985.1_AG-903-L07	GCA_902551985.1	GCA_902551985.1_AG-903-L07
cluster_000041	1	GCA_902559505.1_AG-390-O04	GCA_902559505.1	GCA_902559505.1_AG-390-O04
cluster_000042	1	GCA_902572345.1_AG-422-F15	GCA_902572345.1	GCA_902572345.1_AG-422-F15
cluster_000043	1	GCA_902615975.1_AG-892-A22	GCA_902615975.1	GCA_902615975.1_AG-892-A22
cluster_000044	1	GCA_902581445.1_AG-911-K15	GCA_902581445.1	GCA_902581445.1_AG-911-K15
cluster_000045	1	GCA_902567235.1_AG-414-B08	GCA_902567235.1	GCA_902567235.1_AG-414-B08
cluster_000046	1	HIMB1444	HIMB1444	HIMB1444
cluster_000047	1	GCA_902616675.1_AG-919-K20	GCA_902616675.1	GCA_902616675.1_AG-919-K20
cluster_000048	1	GCA_902557155.1_AG-390-G23	GCA_902557155.1	GCA_902557155.1_AG-390-G23
cluster_000049	1	GCA_902613855.1_AG-891-J07	GCA_902613855.1	GCA_902613855.1_AG-891-J07
cluster_000050	1	GCA_902629575.1_AH-324-K07	GCA_902629575.1	GCA_902629575.1_AH-324-K07
cluster_000051	1	HTCC8051	HTCC8051	HTCC8051
cluster_000052	1	GCA_902576735.1_AG-910-M21	GCA_902576735.1	GCA_902576735.1_AG-910-M21
cluster_000053	1	GCA_902626575.1_AH-321-D13	GCA_902626575.1	GCA_902626575.1_AH-321-D13
cluster_000054	1	HIMB1420	HIMB1420	HIMB1420
cluster_000056	1	GCA_902588965.1_AG-439-C18	GCA_902588965.1	GCA_902588965.1_AG-439-C18
cluster_000057	1	HIMB58	HIMB58	HIMB58
cluster_000058	1	HIMB1436	HIMB1436	HIMB1436
cluster_000059	1	GCA_902575095.1_AG-910-G11	GCA_902575095.1	GCA_902575095.1_AG-910-G11
cluster_000061	1	GCA_902595125.1_AG-447-N08	GCA_902595125.1	GCA_902595125.1_AG-447-N08
cluster_000062	1	GCA_902627805.1_AH-321-M13	GCA_902627805.1	GCA_902627805.1_AH-321-M13
cluster_000063	1	GCA_902579985.1_AG-430-B09	GCA_902579985.1	GCA_902579985.1_AG-430-B09
cluster_000064	1	GCA_902613755.1_AG-891-I18	GCA_902613755.1	GCA_902613755.1_AG-891-I18
cluster_000065	1	GCA_902533445.1_AG-898-C07	GCA_902533445.1	GCA_902533445.1_AG-898-C07
cluster_000066	1	HIMB2187	HIMB2187	HIMB2187
cluster_000068	1	HIMB123	HIMB123	HIMB123
cluster_000069	1	GCA_902564565.1_AG-404-P20	GCA_902564565.1	GCA_902564565.1_AG-404-P20
cluster_000070	1	GCA_902593445.1_AG-447-E19	GCA_902593445.1	GCA_902593445.1_AG-447-E19
cluster_000071	1	GCA_902592445.1_AG-914-P22	GCA_902592445.1	GCA_902592445.1_AG-914-P22
cluster_000072	1	HIMB1685	HIMB1685	HIMB1685
cluster_000073	1	GCA_902532525.1_AG-897-O16	GCA_902532525.1	GCA_902532525.1_AG-897-O16
cluster_000074	1	GCA_902543485.1_AG-900-I13	GCA_902543485.1	GCA_902543485.1_AG-900-I13
cluster_000075	1	GCA_902616145.1_AG-919-I13	GCA_902616145.1	GCA_902616145.1_AG-919-I13
cluster_000076	1	GCA_902537055.1_AG-899-A06	GCA_902537055.1	GCA_902537055.1_AG-899-A06
cluster_000077	1	GCA_902579115.1_AG-911-G13	GCA_902579115.1	GCA_902579115.1_AG-911-G13
cluster_000078	1	HIMB2250	HIMB2250	HIMB2250
cluster_000079	1	GCA_902524535.1_AG-895-K10	GCA_902524535.1	GCA_902524535.1_AG-895-K10
cluster_000080	1	GCA_902580675.1_AG-430-F16	GCA_902580675.1	GCA_902580675.1_AG-430-F16
cluster_000081	1	GCA_902539445.1_AG-899-J23	GCA_902539445.1	GCA_902539445.1_AG-899-J23
cluster_000083	1	GCA_902581585.1_AG-911-J19	GCA_902581585.1	GCA_902581585.1_AG-911-J19
cluster_000084	1	GCA_902634305.1_AG-439-B12	GCA_902634305.1	GCA_902634305.1_AG-439-B12
cluster_000085	1	GCA_902615445.1_AG-919-F03	GCA_902615445.1	GCA_902615445.1_AG-919-F03
cluster_000086	1	GCA_902565935.1_AG-410-K05	GCA_902565935.1	GCA_902565935.1_AG-410-K05
cluster_000087	1	GCA_902578255.1_AG-911-D18	GCA_902578255.1	GCA_902578255.1_AG-911-D18
cluster_000088	1	GCA_902515705.1_AG-325-E20	GCA_902515705.1	GCA_902515705.1_AG-325-E20
cluster_000089	1	GCA_902574695.1_AG-422-N15	GCA_902574695.1	GCA_902574695.1_AG-422-N15
cluster_000090	1	GCA_902610315.1_AG-917-M15	GCA_902610315.1	GCA_902610315.1_AG-917-M15
cluster_000091	1	GCA_902592985.1_AG-447-E07	GCA_902592985.1	GCA_902592985.1_AG-447-E07
cluster_000092	1	GCA_902532195.1_AG-343-K02	GCA_902532195.1	GCA_902532195.1_AG-343-K02
cluster_000093	1	GCA_902543375.1_AG-359-P18	GCA_902543375.1	GCA_902543375.1_AG-359-P18
cluster_000094	1	GCA_902633985.1_AG-426-M05	GCA_902633985.1	GCA_902633985.1_AG-426-M05
cluster_000097	1	GCA_902569805.1_AG-414-M23	GCA_902569805.1	GCA_902569805.1_AG-414-M23
cluster_000098	1	GCA_902606115.1_AG-461-M18	GCA_902606115.1	GCA_902606115.1_AG-461-M18
cluster_000099	1	GCA_902580275.1_AG-911-N14	GCA_902580275.1	GCA_902580275.1_AG-911-N14
cluster_000101	1	GCA_902596925.1_AG-447-P22	GCA_902596925.1	GCA_902596925.1_AG-447-P22
cluster_000103	1	GCA_902629935.1_AH-324-N03	GCA_902629935.1	GCA_902629935.1_AH-324-N03
cluster_000104	1	GCA_014653385.1_SAG-MED50	GCA_014653385.1	GCA_014653385.1_SAG-MED50
cluster_000105	1	GCA_014653355.1_SAG-MED47	GCA_014653355.1	GCA_014653355.1_SAG-MED47
cluster_000106	1	GCA_014654165.1_SAG-MED13	GCA_014654165.1	GCA_014654165.1_SAG-MED13
cluster_000107	1	HIMB2305	HIMB2305	HIMB2305
cluster_000108	1	GCA_902518835.1_AG-333-D08	GCA_902518835.1	GCA_902518835.1_AG-333-D08
cluster_000110	1	GCA_902573465.1_AG-910-B05	GCA_902573465.1	GCA_902573465.1_AG-910-B05
cluster_000112	1	GCA_902623495.1_AG-893-N07	GCA_902623495.1	GCA_902623495.1_AG-893-N07
cluster_000113	1	GCA_902518155.1_AG-894-B07	GCA_902518155.1	GCA_902518155.1_AG-894-B07
cluster_000114	1	GCA_902535255.1_AG-349-C11	GCA_902535255.1	GCA_902535255.1_AG-349-C11
cluster_000115	1	GCA_902543155.1_AG-359-O02	GCA_902543155.1	GCA_902543155.1_AG-359-O02
cluster_000116	1	GCA_902571375.1_AG-422-C13	GCA_902571375.1	GCA_902571375.1_AG-422-C13
cluster_000117	1	HIMB1427	HIMB1427	HIMB1427
cluster_000118	1	GCA_902543575.1_AG-900-I19	GCA_902543575.1	GCA_902543575.1_AG-900-I19
cluster_000119	1	HIMB1412	HIMB1412	HIMB1412
cluster_000120	1	NP1	NP1	NP1
cluster_000123	1	GCA_902592375.1_AG-447-C08	GCA_902592375.1	GCA_902592375.1_AG-447-C08
cluster_000124	1	GCA_902612345.1_AG-891-D10	GCA_902612345.1	GCA_902612345.1_AG-891-D10
cluster_000125	1	GCA_902570125.1_AG-414-O09	GCA_902570125.1	GCA_902570125.1_AG-414-O09
cluster_000126	1	GCA_902586125.1_AG-913-B21	GCA_902586125.1	GCA_902586125.1_AG-913-B21
cluster_000127	1	GCA_902582315.1_AG-430-I18	GCA_902582315.1	GCA_902582315.1_AG-430-I18
cluster_000128	1	GCA_902590915.1_AG-914-G22	GCA_902590915.1	GCA_902590915.1_AG-914-G22
cluster_000129	1	GCA_902520335.1_AG-894-K14	GCA_902520335.1	GCA_902520335.1_AG-894-K14
cluster_000130	1	HIMB1456	HIMB1456	HIMB1456
cluster_000131	1	GCA_902552805.1_AG-903-O08	GCA_902552805.1	GCA_902552805.1_AG-903-O08
cluster_000132	1	GCA_902613915.1_AG-918-N23	GCA_902613915.1	GCA_902613915.1_AG-918-N23
cluster_000133	1	GCA_902517615.1_AG-333-A04	GCA_902517615.1	GCA_902517615.1_AG-333-A04
cluster_000134	1	GCA_902595885.1_AG-447-O14	GCA_902595885.1	GCA_902595885.1_AG-447-O14
cluster_000135	1	GCA_902540235.1_AG-899-M07	GCA_902540235.1	GCA_902540235.1_AG-899-M07
cluster_000136	1	GCA_902538845.1_AG-349-O05	GCA_902538845.1	GCA_902538845.1_AG-349-O05
cluster_000137	1	GCA_902571095.1_AG-422-B23	GCA_902571095.1	GCA_902571095.1_AG-422-B23
cluster_000138	1	GCA_902599625.1_AG-916-O13	GCA_902599625.1	GCA_902599625.1_AG-916-O13
cluster_000140	1	GCA_902526645.1_AG-896-C18	GCA_902526645.1	GCA_902526645.1_AG-896-C18
cluster_000141	1	GCA_902614835.1_AG-919-C22	GCA_902614835.1	GCA_902614835.1_AG-919-C22
cluster_000142	1	GCA_902628965.1_AH-324-F03	GCA_902628965.1	GCA_902628965.1_AH-324-F03
cluster_000143	1	GCA_902611405.1_AG-891-A05	GCA_902611405.1	GCA_902611405.1_AG-891-A05
cluster_000145	1	GCA_902614355.1_AG-891-L02	GCA_902614355.1	GCA_902614355.1_AG-891-L02
cluster_000146	1	GCA_902555275.1_AG-904-G21	GCA_902555275.1	GCA_902555275.1_AG-904-G21
cluster_000147	1	GCA_902562205.1_AG-907-E04	GCA_902562205.1	GCA_902562205.1_AG-907-E04
cluster_000148	1	GCA_902560625.1_AG-404-B04	GCA_902560625.1	GCA_902560625.1_AG-404-B04
cluster_000149	1	GCA_001179925.1_SCGC-AAA795-D22	GCA_001179925.1	GCA_001179925.1_SCGC-AAA795-D22
cluster_000150	1	GCA_902613545.1_AG-918-M15	GCA_902613545.1	GCA_902613545.1_AG-918-M15
cluster_000151	1	GCA_902622245.1_AG-893-J08	GCA_902622245.1	GCA_902622245.1_AG-893-J08
cluster_000152	1	GCA_902581795.1_AG-430-F03	GCA_902581795.1	GCA_902581795.1_AG-430-F03
cluster_000153	1	GCA_902617625.1_AG-919-O02	GCA_902617625.1	GCA_902617625.1_AG-919-O02
cluster_000154	1	GCA_902562875.1_AG-404-J20	GCA_902562875.1	GCA_902562875.1_AG-404-J20
cluster_000157	1	GCA_902627565.1_AH-321-K15	GCA_902627565.1	GCA_902627565.1_AH-321-K15
cluster_000158	1	GCA_902605035.1_AG-461-E04	GCA_902605035.1	GCA_902605035.1_AG-461-E04
cluster_000159	1	GCA_902623395.1_AH-287-C13	GCA_902623395.1	GCA_902623395.1_AH-287-C13
cluster_000160	1	GCA_902558545.1_AG-390-L16	GCA_902558545.1	GCA_902558545.1_AG-390-L16
cluster_000161	1	GCA_902564385.1_AG-907-M07	GCA_902564385.1	GCA_902564385.1_AG-907-M07
cluster_000162	1	GCA_902533775.1_AG-898-D09	GCA_902533775.1	GCA_902533775.1_AG-898-D09
cluster_000163	1	GCA_902632445.1_AH-326-M23	GCA_902632445.1	GCA_902632445.1_AH-326-M23
cluster_000164	1	GCA_902594335.1_AG-915-K07	GCA_902594335.1	GCA_902594335.1_AG-915-K07
cluster_000165	1	GCA_902567495.1_AG-414-B15	GCA_902567495.1	GCA_902567495.1_AG-414-B15
cluster_000166	1	GCA_000513075.1_ASM51307v1	GCA_000513075.1	GCA_000513075.1_ASM51307v1
cluster_000169	1	GCA_902598125.1_AG-453-G04	GCA_902598125.1	GCA_902598125.1_AG-453-G04
cluster_000170	1	GCA_902525625.1_AG-337-G11	GCA_902525625.1	GCA_902525625.1_AG-337-G11
cluster_000171	1	GCA_902611265.1_AG-918-B06	GCA_902611265.1	GCA_902611265.1_AG-918-B06
cluster_000172	1	GCA_902625035.1_AH-287-J18	GCA_902625035.1	GCA_902625035.1_AH-287-J18
cluster_000173	1	GCA_902587755.1_AG-913-L03	GCA_902587755.1	GCA_902587755.1_AG-913-L03
cluster_000174	1	GCA_902573235.1_AG-422-J03	GCA_902573235.1	GCA_902573235.1_AG-422-J03
cluster_000176	1	GCA_902591755.1_AG-914-M14	GCA_902591755.1	GCA_902591755.1_AG-914-M14
cluster_000177	1	GCA_902569405.1_AG-414-L04	GCA_902569405.1	GCA_902569405.1_AG-414-L04
cluster_000179	1	GCA_902590505.1_AG-914-J05	GCA_902590505.1	GCA_902590505.1_AG-914-J05
cluster_000180	1	GCA_902621345.1_AG-893-F11	GCA_902621345.1	GCA_902621345.1_AG-893-F11
cluster_000181	1	GCA_902558835.1_AG-390-M14	GCA_902558835.1	GCA_902558835.1_AG-390-M14
cluster_000182	1	GCA_902618205.1_AG-892-J03	GCA_902618205.1	GCA_902618205.1_AG-892-J03
cluster_000183	1	GCA_902529645.1_AG-896-O18	GCA_902529645.1	GCA_902529645.1_AG-896-O18
cluster_000184	1	GCA_902582155.1_AG-912-D10	GCA_902582155.1	GCA_902582155.1_AG-912-D10
cluster_000185	1	GCA_902515095.1_AG-325-C18	GCA_902515095.1	GCA_902515095.1_AG-325-C18
cluster_000186	1	GCA_902547535.1_AG-901-I06	GCA_902547535.1	GCA_902547535.1_AG-901-I06
cluster_000187	1	GCA_902531175.1_AG-897-G09	GCA_902531175.1	GCA_902531175.1_AG-897-G09
cluster_000188	1	GCA_902537795.1_AG-349-L17	GCA_902537795.1	GCA_902537795.1_AG-349-L17
cluster_000189	1	HIMB5	HIMB5	HIMB5
cluster_000191	1	GCA_902555825.1_AG-390-D18	GCA_902555825.1	GCA_902555825.1_AG-390-D18
cluster_000192	1	GCA_014654265.1_SAG-MED11	GCA_014654265.1	GCA_014654265.1_SAG-MED11
cluster_000193	1	GCA_902573425.1_AG-422-J20	GCA_902573425.1	GCA_902573425.1_AG-422-J20
cluster_000195	1	GCA_902609855.1_AG-917-K20	GCA_902609855.1	GCA_902609855.1_AG-917-K20
cluster_000197	1	GCA_902524545.1_AG-337-D17	GCA_902524545.1	GCA_902524545.1_AG-337-D17
cluster_000198	1	GCA_902578155.1_AG-426-L23	GCA_902578155.1	GCA_902578155.1_AG-426-L23
cluster_000199	1	GCA_902597895.1_AG-916-I17	GCA_902597895.1	GCA_902597895.1_AG-916-I17
cluster_000201	1	GCA_902597175.1_AG-916-E17	GCA_902597175.1	GCA_902597175.1_AG-916-E17
cluster_000202	1	GCA_902509665.1_AG-313-A04	GCA_902509665.1	GCA_902509665.1_AG-313-A04
cluster_000203	1	GCA_902571425.1_AG-422-C20	GCA_902571425.1	GCA_902571425.1_AG-422-C20
cluster_000204	1	GCA_902609685.1_AG-917-K06	GCA_902609685.1	GCA_902609685.1_AG-917-K06
cluster_000205	1	GCA_902627735.1_AH-321-L23	GCA_902627735.1	GCA_902627735.1_AH-321-L23
cluster_000206	1	GCA_902517495.1_AG-325-P23	GCA_902517495.1	GCA_902517495.1_AG-325-P23
cluster_000207	1	GCA_902628195.1_AH-321-P04	GCA_902628195.1	GCA_902628195.1_AH-321-P04
cluster_000208	1	GCA_902557215.1_AG-905-A07	GCA_902557215.1	GCA_902557215.1_AG-905-A07
cluster_000209	1	GCA_902580895.1_AG-911-G06	GCA_902580895.1	GCA_902580895.1_AG-911-G06
cluster_000210	1	FZCC0015	FZCC0015	FZCC0015
cluster_000211	1	GCA_902619675.1_AG-920-I07	GCA_902619675.1	GCA_902619675.1_AG-920-I07
cluster_000212	1	GCA_902562645.1_AG-907-F09	GCA_902562645.1	GCA_902562645.1_AG-907-F09
cluster_000213	1	GCA_902634485.1_AG-439-C22	GCA_902634485.1	GCA_902634485.1_AG-439-C22
cluster_000215	1	GCA_902594675.1_AG-915-G13	GCA_902594675.1	GCA_902594675.1_AG-915-G13
cluster_000216	1	GCA_902539745.1_AG-359-B04	GCA_902539745.1	GCA_902539745.1_AG-359-B04
cluster_000220	1	GCA_902516465.1_AG-325-L02	GCA_902516465.1	GCA_902516465.1_AG-325-L02
cluster_000221	1	GCA_902591045.1_AG-439-O05	GCA_902591045.1	GCA_902591045.1_AG-439-O05
cluster_000222	1	GCA_902589725.1_AG-914-B14	GCA_902589725.1	GCA_902589725.1_AG-914-B14
cluster_000223	1	GCA_902587515.1_AG-913-I14	GCA_902587515.1	GCA_902587515.1_AG-913-I14
cluster_000224	1	GCA_902574035.1_AG-422-L15	GCA_902574035.1	GCA_902574035.1_AG-422-L15
cluster_000225	1	GCA_902582345.1_AG-430-G14	GCA_902582345.1	GCA_902582345.1_AG-430-G14
cluster_000226	1	GCA_902588835.1_AG-914-A09	GCA_902588835.1	GCA_902588835.1_AG-914-A09
cluster_000227	1	GCA_902583295.1_AG-430-K19	GCA_902583295.1	GCA_902583295.1_AG-430-K19
cluster_000228	1	GCA_902567685.1_AG-414-D07	GCA_902567685.1	GCA_902567685.1_AG-414-D07
cluster_000230	1	HTCC9022	HTCC9022	HTCC9022
cluster_000231	1	GCA_902524595.1_AG-337-D16	GCA_902524595.1	GCA_902524595.1_AG-337-D16
cluster_000232	1	GCA_902536385.1_AG-349-F22	GCA_902536385.1	GCA_902536385.1_AG-349-F22
cluster_000233	1	GCA_902629285.1_AH-324-J07	GCA_902629285.1	GCA_902629285.1_AH-324-J07
cluster_000234	1	GCA_902629585.1_AH-324-K11	GCA_902629585.1	GCA_902629585.1_AH-324-K11
cluster_000235	1	GCA_902539165.1_AG-899-J02	GCA_902539165.1	GCA_902539165.1_AG-899-J02
cluster_000236	1	GCA_902525645.1_AG-337-G06	GCA_902525645.1	GCA_902525645.1_AG-337-G06
cluster_000237	1	GCA_902618455.1_AG-920-C09	GCA_902618455.1	GCA_902618455.1_AG-920-C09
cluster_000239	1	GCA_902634455.1_AG-439-I19	GCA_902634455.1	GCA_902634455.1_AG-439-I19
cluster_000240	1	GCA_902598735.1_AG-916-L09	GCA_902598735.1	GCA_902598735.1_AG-916-L09
cluster_000241	1	GCA_902578885.1_AG-426-M19	GCA_902578885.1	GCA_902578885.1_AG-426-M19
cluster_000242	1	GCA_902524235.1_AG-337-C19	GCA_902524235.1	GCA_902524235.1_AG-337-C19
cluster_000243	1	GCA_902524955.1_AG-895-L23	GCA_902524955.1	GCA_902524955.1_AG-895-L23
cluster_000245	1	HIMB1483	HIMB1483	HIMB1483
cluster_000246	1	GCA_902594915.1_AG-447-L14	GCA_902594915.1	GCA_902594915.1_AG-447-L14
cluster_000247	1	GCA_902558255.1_AG-390-L03	GCA_902558255.1	GCA_902558255.1_AG-390-L03
cluster_000248	1	GCA_902578315.1_AG-911-E05	GCA_902578315.1	GCA_902578315.1_AG-911-E05
cluster_000250	1	GCA_902636025.1_AG-916-B11	GCA_902636025.1	GCA_902636025.1_AG-916-B11
cluster_000251	1	GCA_902555665.1_AG-390-D05	GCA_902555665.1	GCA_902555665.1_AG-390-D05
cluster_000252	1	GCA_902620525.1_AG-920-L07	GCA_902620525.1	GCA_902620525.1_AG-920-L07
cluster_000253	1	GCA_902578115.1_AG-426-L15	GCA_902578115.1	GCA_902578115.1_AG-426-L15
cluster_000254	1	GCA_902577075.1_AG-426-F15	GCA_902577075.1	GCA_902577075.1_AG-426-F15
cluster_000255	1	GCA_014653835.1_SAG-MED28	GCA_014653835.1	GCA_014653835.1_SAG-MED28
cluster_000256	1	GCA_902577615.1_AG-426-I15	GCA_902577615.1	GCA_902577615.1_AG-426-I15
cluster_000257	1	GCA_014654455.1_SAG-MED01	GCA_014654455.1	GCA_014654455.1_SAG-MED01
cluster_000258	1	GCA_902601315.1_AG-917-E05	GCA_902601315.1	GCA_902601315.1_AG-917-E05
cluster_000259	1	HIMB1520	HIMB1520	HIMB1520
cluster_000260	1	GCA_014653365.1_SAG-MED49	GCA_014653365.1	GCA_014653365.1_SAG-MED49
cluster_000261	1	GCA_902541315.1_AG-359-G18	GCA_902541315.1	GCA_902541315.1_AG-359-G18
cluster_000262	1	GCA_902625715.1_AH-287-O09	GCA_902625715.1	GCA_902625715.1_AH-287-O09
cluster_000263	1	GCA_902626645.1_AH-321-D17	GCA_902626645.1	GCA_902626645.1_AH-321-D17
cluster_000264	1	GCA_902615715.1_AG-919-F21	GCA_902615715.1	GCA_902615715.1_AG-919-F21
cluster_000265	1	GCA_902595535.1_AG-447-M05	GCA_902595535.1	GCA_902595535.1_AG-447-M05
cluster_000266	1	GCA_000513055.1_ASM51305v1	GCA_000513055.1	GCA_000513055.1_ASM51305v1
cluster_000267	1	GCA_902524945.1_AG-337-E15	GCA_902524945.1	GCA_902524945.1_AG-337-E15
cluster_000268	1	GCA_902583585.1_AG-912-J06	GCA_902583585.1	GCA_902583585.1_AG-912-J06
cluster_000269	1	GCA_902572515.1_AG-422-G03	GCA_902572515.1	GCA_902572515.1_AG-422-G03
cluster_000270	1	GCA_902582665.1_AG-430-I06	GCA_902582665.1	GCA_902582665.1_AG-430-I06
cluster_000271	1	HTCC7214	HTCC7214	HTCC7214
cluster_000272	1	GCA_902557775.1_AG-905-B19	GCA_902557775.1	GCA_902557775.1_AG-905-B19
cluster_000273	1	GCA_014654065.1_SAG-MED15	GCA_014654065.1	GCA_014654065.1_SAG-MED15
cluster_000275	1	GCA_902552345.1_AG-903-M21	GCA_902552345.1	GCA_902552345.1_AG-903-M21
cluster_000276	1	GCA_902564295.1_AG-404-P01	GCA_902564295.1	GCA_902564295.1_AG-404-P01
cluster_000277	1	GCA_902564245.1_AG-404-O18	GCA_902564245.1	GCA_902564245.1_AG-404-O18
cluster_000278	1	GCA_902615435.1_AG-891-O15	GCA_902615435.1	GCA_902615435.1_AG-891-O15
cluster_000279	1	GCA_902599665.1_AG-916-O20	GCA_902599665.1	GCA_902599665.1_AG-916-O20
cluster_000280	1	HIMB1695	HIMB1695	HIMB1695
cluster_000281	1	GCA_902582385.1_AG-430-J07	GCA_902582385.1	GCA_902582385.1_AG-430-J07
cluster_000282	1	GCA_902578775.1_AG-426-P08	GCA_902578775.1	GCA_902578775.1_AG-426-P08
cluster_000283	1	HIMB1413	HIMB1413	HIMB1413
cluster_000284	1	GCA_902550805.1_AG-365-C14	GCA_902550805.1	GCA_902550805.1_AG-365-C14
cluster_000285	1	HIMB2226	HIMB2226	HIMB2226
cluster_000286	1	GCA_902624045.1_AH-287-E09	GCA_902624045.1	GCA_902624045.1_AH-287-E09
cluster_000287	1	GCA_902616645.1_AG-892-C18	GCA_902616645.1	GCA_902616645.1_AG-892-C18
cluster_000288	1	GCA_902541285.1_AG-359-G17	GCA_902541285.1	GCA_902541285.1_AG-359-G17
cluster_000289	1	HIMB2201	HIMB2201	HIMB2201
cluster_000290	1	GCA_902521805.1_AG-333-M03	GCA_902521805.1	GCA_902521805.1_AG-333-M03
cluster_000292	1	GCA_902595245.1_AG-447-N18	GCA_902595245.1	GCA_902595245.1_AG-447-N18
cluster_000293	1	GCA_902571845.1_AG-422-D23	GCA_902571845.1	GCA_902571845.1_AG-422-D23
cluster_000294	1	GCA_902620585.1_AG-920-L18	GCA_902620585.1	GCA_902620585.1_AG-920-L18
cluster_000295	1	HIMB2304	HIMB2304	HIMB2304
cluster_000296	1	GCA_902594235.1_AG-447-K09	GCA_902594235.1	GCA_902594235.1_AG-447-K09
cluster_000297	1	GCA_902525935.1_AG-337-I10	GCA_902525935.1	GCA_902525935.1_AG-337-I10
cluster_000298	1	GCA_902555435.1_AG-390-C17	GCA_902555435.1	GCA_902555435.1_AG-390-C17
cluster_000299	1	GCA_902535465.1_AG-349-D08	GCA_902535465.1	GCA_902535465.1_AG-349-D08
cluster_000300	1	GCA_902612605.1_AG-918-G22	GCA_902612605.1	GCA_902612605.1_AG-918-G22
cluster_000301	1	GCA_902551755.1_AG-903-K07	GCA_902551755.1	GCA_902551755.1_AG-903-K07
cluster_000302	1	GCA_902560815.1_AG-404-C02	GCA_902560815.1	GCA_902560815.1_AG-404-C02
cluster_000303	1	GCA_902519945.1_AG-894-I19	GCA_902519945.1	GCA_902519945.1_AG-894-I19
cluster_000304	1	GCA_902582165.1_AG-912-D17	GCA_902582165.1	GCA_902582165.1_AG-912-D17
cluster_000305	1	GCA_902608975.1_AG-470-D16	GCA_902608975.1	GCA_902608975.1_AG-470-D16
cluster_000306	1	GCA_902623975.1_AG-893-P10	GCA_902623975.1	GCA_902623975.1_AG-893-P10
cluster_000307	1	GCA_902610655.1_AG-470-L20	GCA_902610655.1	GCA_902610655.1_AG-470-L20
cluster_000308	1	HIMB1437	HIMB1437	HIMB1437
cluster_000309	1	GCA_014654415.1_SAG-MED05	GCA_014654415.1	GCA_014654415.1_SAG-MED05
cluster_000310	1	GCA_902584995.1_AG-912-M06	GCA_902584995.1	GCA_902584995.1_AG-912-M06
cluster_000311	1	GCA_902624195.1_AH-287-E19	GCA_902624195.1	GCA_902624195.1_AH-287-E19
cluster_000313	1	GCA_902557385.1_AG-390-I22	GCA_902557385.1	GCA_902557385.1_AG-390-I22
cluster_000315	1	IMCC9063	IMCC9063	IMCC9063
cluster_000316	1	GCA_902599335.1_AG-916-N14	GCA_902599335.1	GCA_902599335.1_AG-916-N14
cluster_000317	1	HIMB1835	HIMB1835	HIMB1835
cluster_000318	1	GCA_902576375.1_AG-426-D09	GCA_902576375.1	GCA_902576375.1_AG-426-D09
cluster_000319	1	GCA_902536765.1_AG-349-I05	GCA_902536765.1	GCA_902536765.1_AG-349-I05
