Orthogroup	gene_id	Accession_number	db_source	pident	alnlen	qcovhsp	scovhsp	evalue	bitscore
OG0000032	NP1_00873	A0A6H1Q2S0	TrEMBL	100	234	100	100	5.979999999999999e-174	486
OG0000033	HTCC9565_00508	A0ABX1SZT5	TrEMBL	100	194	100	100	1.09e-138	394
OG0000034	HTCC1002_00852	Q1V1I7	TrEMBL	100	408	100	100	1.2e-297	814
OG0000035	NP1_01286	A0A6H1Q4V7	TrEMBL	100	251	100	100	1.9899999999999995e-176	494
OG0000036	HTCC9565_00415	A0ABX1SZK8	TrEMBL	100	311	100	100	1.74e-216	600
OG0000037	HTCC9565_01018	A0ABX1T4R9	TrEMBL	100	346	100	100	5.67e-251	691
OG0000038	HTCC9565_00099	A0ABX1T0K6	TrEMBL	100	359	100	100	1.18e-245	678
OG0000039	HTCC1002_00994	Q1V145	TrEMBL	100	345	100	100	2.74e-262	719
OG0000040	NP1_01032	A0A6H1Q3S4	TrEMBL	100	368	100	100	6.739999999999999e-261	717
OG0000041	HTCC9565_00144	A0ABX1T0Q0	TrEMBL	100	638	100	100	0	1248
OG0000042	HTCC9565_00938	A0ABX1T2H2	TrEMBL	100	111	100	100	1.4399999999999998e-69	213
OG0000043	HTCC9565_00775	A0ABX1T309	TrEMBL	100	239	100	100	6.3999999999999996e-167	469
OG0000044	NP1_00456	A0A6H1Q1A5	TrEMBL	100	331	100	100	1.3099999999999996e-237	655
OG0000045	NP1_00358	A0A6H1Q307	TrEMBL	100	299	100	100	1.6299999999999996e-224	620
OG0000046	NP1_00341	A0A6H1Q0P7	TrEMBL	100	258	100	100	4.03e-184	514
OG0000047	NP1_01344	A0A6H1Q3N6	TrEMBL	100	478	100	100	0	954
OG0000048	HTCC9565_01027	A0ABX1T497	TrEMBL	100	273	100	100	2.65e-201	559
OG0000049	HTCC9565_00075	A0ABX1T2P9	TrEMBL	100	922	100	100	0	1851
OG0000050	HTCC9565_00074	A0ABX1T1K5	TrEMBL	100	552	100	100	0	1115
OG0000051	NP1_01330	A0A6H1Q5F0	TrEMBL	100	260	100	100	4.9e-186	519
OG0000052	HTCC9565_00092	A0ABX1T022	TrEMBL	100	436	100	100	2.31e-291	800
OG0000053	HTCC1002_00460	Q1V2L7	TrEMBL	100	127	100	100	2.25e-85	254
OG0000054	HTCC9565_01307	A0ABX1T208	TrEMBL	100	531	100	100	0	1091
OG0000055	NP1_00746	A0A6H1Q433	TrEMBL	100	388	100	100	4.71e-278	763
OG0000056	HTCC9565_00242	A0ABX1SZ34	TrEMBL	100	343	100	100	2.19e-242	669
OG0000057	HTCC9565_00122	A0ABX1T054	TrEMBL	100	275	100	100	3.93e-204	566
OG0000058	NP1_00690	A0A6H1Q1N3	TrEMBL	100	249	100	100	2.9399999999999996e-177	496
OG0000059	HTCC9565_00220	A0ABX1T2I5	TrEMBL	100	355	100	100	8.759999999999999e-255	701
OG0000060	NP1_00691	A0A6H1Q1X7	TrEMBL	100	210	100	100	1.6599999999999999e-150	425
OG0000061	ETNP2013_S02_SV82_300m_MAG_01_00319	A0A381S281	TrEMBL	100	261	100	100	5.9299999999999985e-183	511
OG0000062	HTCC9565_00225	A0ABX1SZ22	TrEMBL	100	248	100	100	3.9899999999999994e-170	478
OG0000063	HTCC1002_00503	Q1V2H4	TrEMBL	100	591	100	98.7	0	1176
OG0000064	HTCC1002_01021	Q4FP05	TrEMBL	100	445	100	100	0	881
OG0000065	HTCC9565_00802	A0ABX1T228	TrEMBL	100	235	100	100	5.059999999999999e-162	456
OG0000066	NP1_01096	A0A6H1Q306	TrEMBL	100	294	100	100	1.9999999999999998e-202	563
OG0000067	NP1_01292	A0A6H1Q5M6	TrEMBL	100	471	100	100	0	895
OG0000068	NP1_00352	A0A6H1Q299	TrEMBL	100	499	100	100	0	937
OG0000069	HTCC9565_00170	A0ABX1T0N3	TrEMBL	100	662	100	100	0	1307
OG0000070	HTCC1062_00939	Q4FM44	TrEMBL	100	7317	100	100	0	12322
OG0000071	HTCC1062_01344	Q4FL01	TrEMBL	100	740	100	100	0	1450
OG0000072	HTCC1062_01302	Q4FL44	TrEMBL	100	358	100	100	4.2599999999999996e-268	735
OG0000073	HTCC9565_00096	A0ABX1T280	TrEMBL	100	256	100	100	1.1399999999999998e-173	488
OG0000074	HTCC1013_00688	Q4FP19	TrEMBL	100	542	100	100	0	1108
OG0000075	NP1_00714	A0A6H1Q235	TrEMBL	100	328	100	100	1.37e-242	668
OG0000076	HTCC9565_00836	A0ABX1T369	TrEMBL	100	196	100	100	9.65e-134	382
OG0000077	HTCC9565_00287	A0ABX1SZ79	TrEMBL	100	284	100	100	1.3199999999999999e-211	586
OG0000078	HTCC1062_01299	Q4FL47	TrEMBL	100	388	100	100	5.35e-284	778
OG0000079	HTCC1002_01008	Q1V131	TrEMBL	100	498	100	100	0	997
OG0000080	HTCC9565_00964	A0ABX1T118	TrEMBL	100	814	100	100	0	1650
OG0000081	HTCC9565_00702	A0ABX1T0D7	TrEMBL	100	291	100	100	2.2099999999999998e-218	603
OG0000082	HTCC9565_00909	A0ABX1T3Y8	TrEMBL	100	296	100	100	2e-203	566
OG0000083	NP1_00928	A0A6H1Q3G8	TrEMBL	100	443	100	100	1.33e-305	837
OG0000084	HTCC1062_01260	Q4FL86	TrEMBL	100	323	100	100	2.82e-228	631
OG0000085	HTCC9565_01316	A0ABX1T3I7	TrEMBL	100	388	100	100	2.8799999999999997e-288	788
OG0000086	NP1_00411	A0A6H1Q1A0	TrEMBL	100	346	100	100	5.2799999999999994e-256	703
OG0000087	AG-899-O02_00632	A4GJL5	TrEMBL	100	248	100	100	5.5e-177	495
OG0000088	HTCC9565_00400	A0ABX1SZI7	TrEMBL	100	353	100	100	1.03e-261	718
OG0000089	NP1_00025	A0A6H1Q1S0	TrEMBL	100	278	100	100	2.6799999999999993e-183	514
OG0000090	HTCC1002_01046	Q1V0Z3	TrEMBL	100	291	100	100	3.4899999999999997e-206	573
OG0000091	HTCC1002_00979	Q1V160	TrEMBL	100	88	100	100	3.5899999999999996e-48	157
OG0000092	NP1_01044	A0A6H1Q2K8	TrEMBL	100	386	100	100	1.32e-267	736
OG0000093	HTCC1002_00734	Q4FN84	TrEMBL	100	436	100	97.1	0	868
OG0000094	HTCC1062_00278	Q4FNY9	TrEMBL	100	387	100	100	2.28e-289	791
OG0000095	NP1_01055	A0A6H1Q488	TrEMBL	100	158	100	100	1.6999999999999998e-113	327
OG0000096	HTCC1002_00251	Q4FLV2	TrEMBL	100	442	100	100	0	875
OG0000097	HTCC1062_01277	Q4FL69	TrEMBL	100	452	100	100	0	936
OG0000098	NP1_00262	A0A6H1Q0S7	TrEMBL	100	371	100	100	1.79e-262	722
OG0000099	HTCC9565_00350	A0ABX1SZD5	TrEMBL	100	396	100	100	1.59e-280	769
OG0000100	HTCC1002_00005	Q1UZX6	TrEMBL	100	296	100	100	4.989999999999999e-213	590
OG0000101	HTCC9565_00118	A0ABX1SYR4	TrEMBL	100	225	100	100	2.2499999999999998e-160	451
OG0000102	HTCC9565_00586	A0ABX1T1H8	TrEMBL	100	147	100	100	2.1199999999999998e-104	303
OG0000103	NP1_00824	A0A6H1Q201	TrEMBL	100	685	100	100	0	1339
OG0000104	HTCC9565_00572	A0ABX1T1E5	TrEMBL	100	309	100	100	3.509999999999999e-215	597
OG0000105	HTCC9565_00555	A0ABX1T3Z1	TrEMBL	100	198	100	100	2.19e-140	399
OG0000106	HTCC1002_00568	Q1V2A9	TrEMBL	100	245	100	100	2.14e-168	473
OG0000107	HTCC9565_01348	A0ABX1T563	TrEMBL	100	406	100	100	1.23e-289	793
OG0000108	HTCC1002_01283	Q1V0A8	TrEMBL	100	588	100	100	0	1184
OG0000109	HTCC1002_01322	Q1V069	TrEMBL	100	362	100	100	4.4e-263	723
OG0000110	HTCC8051_00392	A0A382V8F2	TrEMBL	100	23	9.2	100	2.97e-5	50.4
OG0000111	NP1_00747	A0A6H1Q300	TrEMBL	100	270	100	100	1.0199999999999998e-183	514
OG0000112	HTCC9565_00117	A0ABX1SYR5	TrEMBL	100	264	100	100	1.2899999999999995e-183	513
OG0000113	HTCC9565_00590	A0ABX1T2I3	TrEMBL	100	298	100	100	5.589999999999999e-211	585
OG0000114	HTCC9565_00530	A0ABX1T2C1	TrEMBL	100	591	100	100	0	1186
OG0000115	HTCC1002_00599	Q1V277	TrEMBL	100	253	100	100	1.1999999999999999e-178	500
OG0000116	NP1_01016	A0A6H1Q2S8	TrEMBL	100	385	100	100	5.29e-278	762
OG0000117	NP1_00481	A0A6H1Q1C8	TrEMBL	100	406	100	100	5.09e-298	815
OG0000118	HTCC9565_00436	A0ABX1T113	TrEMBL	100	195	100	100	1.2699999999999999e-133	381
OG0000119	HTCC1002_00473	Q1V2K4	TrEMBL	100	448	100	100	0	917
OG0000120	HTCC1062_00800	Q4FMI1	TrEMBL	100	192	100	100	9.689999999999999e-132	376
OG0000121	NP1_01092	A0A6H1Q3Y4	TrEMBL	100	1040	100	100	0	1923
OG0000122	HTCC9565_00635	A0ABX1T2N4	TrEMBL	100	203	100	100	1.4199999999999997e-143	407
OG0000123	HTCC1002_00525	Q1V2F2	TrEMBL	100	302	100	100	4.47e-219	606
OG0000124	HTCC1002_01361	Q4FL33	Swiss-Prot	100	314	100	100	1.3099999999999998e-238	650
OG0000125	NP1_01261	A0A6H1Q360	TrEMBL	100	948	100	100	0	1804
OG0000126	HTCC9565_00886	A0ABX1T0U3	TrEMBL	100	445	100	100	0	895
OG0000127	HTCC1013_00690	Q4FP21	Swiss-Prot	100	369	100	100	4.4800000000000004e-276	749
OG0000128	NP1_00670	A0A6H1Q1L2	TrEMBL	100	366	100	100	7.02e-262	720
OG0000129	HTCC9565_01191	A0ABX1T4R8	TrEMBL	100	855	100	100	0	1625
OG0000130	HTCC9565_01168	A0ABX1T1N7	TrEMBL	100	168	100	100	6.029999999999999e-112	324
OG0000131	HTCC1062_00828	Q4FMF3	TrEMBL	100	155	100	100	6.199999999999999e-110	318
OG0000132	HTCC1002_00912	Q4FNP9	Swiss-Prot	100	647	100	100	0	1206
OG0000133	HTCC1002_00886	Q1V1F3	TrEMBL	100	403	100	100	9.74e-290	793
OG0000134	HTCC9565_00151	A0ABX1T2X0	TrEMBL	100	297	100	100	3.2099999999999998e-205	571
OG0000135	NP1_01142	A0A6H1Q356	TrEMBL	100	271	100	100	1.9299999999999998e-193	539
OG0000136	HTCC1002_01161	Q1V0M7	TrEMBL	100	485	100	100	0	974
OG0000137	HTCC1062_00461	Q4FNG0	Swiss-Prot	100	310	100	100	4.639999999999999e-221	605
OG0000138	NP1_00523	A0A6H1Q177	TrEMBL	100	794	100	100	0	1473
OG0000139	NP1_01143	A0A6H1Q588	TrEMBL	100	544	100	100	0	1109
OG0000140	NP1_01066	A0A6H1Q2X5	TrEMBL	100	372	100	100	4.32e-275	754
OG0000141	HTCC1062_00112	Q4FPF6	TrEMBL	100	356	100	100	5.79e-265	727
OG0000142	NP1_00850	A0A6H1Q2Q0	TrEMBL	100	141	100	100	1.6399999999999998e-96	283
OG0000143	HTCC9565_00801	A0ABX1T237	TrEMBL	100	264	100	100	3.039999999999999e-182	510
OG0000144	HTCC1002_01068	Q4FP52	Swiss-Prot	100	360	100	100	9.399999999999998e-253	690
OG0000145	HTCC9565_00437	A0ABX1T2M6	TrEMBL	100	277	100	100	2.3499999999999998e-197	549
OG0000146	HTCC9565_00046	A0ABX1T013	TrEMBL	100	210	100	100	2.2599999999999996e-148	420
OG0000147	HTCC1013_00759	Q1V0T8	TrEMBL	100	176	100	100	3.32e-122	351
OG0000148	HTCC9565_01381	A0ABX1T5T9	TrEMBL	100	184	100	100	3.3e-135	384
OG0000149	HTCC9565_00703	A0ABX1T0B8	TrEMBL	100	194	100	100	6.02e-127	364
OG0000150	HTCC1062_00611	Q1V209	TrEMBL	100	180	100	100	1.51e-120	347
OG0000151	HTCC9565_00990	A0ABX1T160	TrEMBL	100	374	100	100	4.09e-265	729
OG0000152	NP1_00976	A0A6H1Q409	TrEMBL	100	281	100	100	1.3e-196	548
OG0000153	HTCC9565_00161	A0ABX1SYV9	TrEMBL	100	269	100	100	3.9399999999999994e-176	495
OG0000154	NP1_00896	A0A6H1Q4J0	TrEMBL	100	455	100	100	0	885
OG0000155	HTCC9565_00993	A0ABX1T172	TrEMBL	100	229	100	100	1.2099999999999998e-166	468
OG0000156	HTCC9565_00300	A0ABX1T100	TrEMBL	100	242	100	100	2.5899999999999996e-163	460
OG0000157	HTCC1002_00819	Q1V1L8	TrEMBL	100	172	100	100	1.5299999999999998e-116	336
OG0000158	HTCC1062_00464	Q4FNF7	TrEMBL	100	309	100	100	1.6399999999999997e-229	633
OG0000159	HTCC1016_00663	Q4FMP3	TrEMBL	100	141	100	100	4.87e-89	264
OG0000160	HTCC1062_01089	Q4FLQ1	TrEMBL	100	863	100	100	0	1662
OG0000161	HTCC1002_00767	Q1V1R6	TrEMBL	100	189	100	100	2.1199999999999998e-129	370
OG0000162	HTCC9565_00256	A0ABX1SZ52	TrEMBL	100	856	100	100	0	1660
OG0000163	HTCC1002_00941	Q4FNS7	TrEMBL	100	223	100	100	7.529999999999999e-158	445
OG0000164	HTCC9565_00311	A0ABX1T3A7	TrEMBL	100	246	100	100	1.9e-167	471
OG0000165	HTCC9565_00489	A0ABX1T1K6	TrEMBL	100	168	100	100	1.32e-115	333
OG0000166	HTCC9565_00129	A0ABX1T0N6	TrEMBL	100	631	100	100	0	1286
OG0000167	HTCC9565_01015	A0ABX1T496	TrEMBL	100	695	100	100	0	1379
OG0000168	HTCC9565_00657	A0ABX1T076	TrEMBL	100	262	100	100	2.0999999999999997e-197	548
OG0000169	NP1_00764	A0A6H1Q1V3	TrEMBL	100	107	100	100	2e-74	224
OG0000170	HTCC1002_01359	Q1V031	TrEMBL	100	116	100	100	3.46e-77	232
OG0000171	HTCC9565_00259	A0ABX1SZ55	TrEMBL	100	203	100	100	1.31e-139	397
OG0000172	HTCC1062_00331	Q4FNT7	Swiss-Prot	100	251	100	100	1.4e-181	501
OG0000173	HTCC1002_00965	Q1V174	TrEMBL	100	602	100	100	0	1155
OG0000174	HTCC1002_00863	Q4FNJ9	TrEMBL	100	188	100	100	2.06e-140	398
OG0000175	HTCC1002_00814	Q1V1M3	TrEMBL	100	385	100	100	1.2500000000000001e-276	759
OG0000176	HTCC1062_00044	Q4FPQ7	TrEMBL	100	1074	100	100	0	2090
OG0000177	HTCC9565_00645	A0ABX1T473	TrEMBL	100	105	100	100	2.3800000000000002e-63	196
OG0000178	HTCC1002_00876	Q1V1G3	TrEMBL	100	522	100	100	0	997
OG0000179	NP1_00858	A0A6H1Q233	TrEMBL	100	198	100	100	2.6499999999999995e-132	378
OG0000180	HTCC9565_00307	A0ABX1SZA5	TrEMBL	100	275	100	100	3.0199999999999993e-183	513
OG0000181	HTCC9565_00622	A0ABX1T055	TrEMBL	100	418	100	100	2.3499999999999997e-300	822
OG0000182	HTCC1002_00820	Q1V1L7	TrEMBL	100	586	100	100	0	1125
OG0000183	HTCC9565_00611	A0ABX1T047	TrEMBL	100	487	100	100	0	959
OG0000184	HTCC1002_00915	Q1V1C3	TrEMBL	100	217	100	100	1.86e-155	438
OG0000185	NP1_00968	A0A6H1Q4A8	TrEMBL	100	680	100	100	0	1362
OG0000186	HTCC1002_00004	Q1UZX7	TrEMBL	100	333	100	100	3.0899999999999993e-237	655
OG0000187	HTCC9565_00305	A0ABX1T140	TrEMBL	100	288	100	100	1.2099999999999999e-200	558
OG0000188	HTCC9565_00468	A0ABX1T2Q8	TrEMBL	100	357	100	100	4.35e-256	704
OG0000189	HTCC9565_00882	A0ABX1T4D2	TrEMBL	100	594	100	100	0	1179
OG0000190	HTCC1002_01121	Q1V0R7	TrEMBL	100	554	100	100	0	1012
OG0000191	HTCC9565_00165	A0ABX1T1T4	TrEMBL	100	241	100	100	1.1899999999999998e-163	461
OG0000192	HTCC9565_00363	A0ABX1T164	TrEMBL	100	218	100	100	1.2099999999999998e-156	441
OG0000193	HTCC9565_00321	A0ABX1SZB0	TrEMBL	100	602	100	100	0	1071
OG0000194	HTCC9565_00719	A0ABX1T0D1	TrEMBL	100	397	100	100	1.56e-292	800
OG0000195	HTCC9565_00748	A0ABX1T2B9	TrEMBL	100	676	100	100	0	1316
OG0000196	HTCC9565_00624	A0ABX1T1Z9	TrEMBL	100	267	100	100	8.779999999999999e-188	524
OG0000197	HTCC1002_00675	Q1V202	TrEMBL	100	268	100	100	1.6599999999999997e-197	549
OG0000198	HTCC1002_00672	Q1V205	TrEMBL	100	224	100	100	3.2799999999999994e-148	421
OG0000199	HTCC1062_00015	Q4FPM1	TrEMBL	100	678	100	100	0	1339
OG0000200	HTCC9565_00361	A0ABX1T0T3	TrEMBL	100	177	100	100	5.709999999999999e-119	343
OG0000201	HTCC9565_00488	A0ABX1SZS1	TrEMBL	100	395	100	100	3.3699999999999997e-286	784
OG0000202	HTCC9565_00688	A0ABX1T0A6	TrEMBL	100	169	100	100	3.5e-125	358
OG0000203	HTCC1002_00842	Q1V1J6	TrEMBL	100	479	100	100	0	964
OG0000204	NP1_00760	A0A6H1Q3E8	TrEMBL	100	410	100	100	5.559999999999999e-304	830
OG0000205	HTCC1002_00669	Q4FN21	Swiss-Prot	100	446	100	100	4.919999999999999e-222	619
OG0000206	HTCC9565_00428	A0ABX1T1F2	TrEMBL	100	623	100	100	0	1232
OG0000207	NP1_00804	A0A6H1Q3J4	TrEMBL	100	558	100	100	0	1097
OG0000208	NP1_01097	A0A6H1Q4Q0	TrEMBL	100	211	100	100	1.65e-146	415
OG0000209	HTCC1002_01268	Q1V0C2	TrEMBL	100	564	100	100	0	1117
OG0000210	NP1_00797	A0A6H1Q1Y0	TrEMBL	100	185	100	100	3.69e-128	367
OG0000211	NP1_00745	A0A6H1Q227	TrEMBL	100	309	100	100	6.329999999999999e-218	604
OG0000212	HTCC1002_00765	Q1V1R8	TrEMBL	100	276	100	100	1.86e-198	552
OG0000213	HTCC1002_00661	Q1V216	TrEMBL	100	430	100	100	1.34e-305	853
OG0000214	HTCC1002_00952	Q4FNT8	TrEMBL	100	101	100	100	9.89e-61	189
OG0000215	NP1_00834	A0A6H1Q2E6	TrEMBL	100	355	100	100	1.21e-261	718
OG0000216	HTCC9565_00272	A0ABX1SZ64	TrEMBL	100	914	100	100	0	1865
OG0000217	HTCC9565_01256	A0ABX1T4C5	TrEMBL	100	149	100	100	8.259999999999999e-103	300
OG0000218	HTCC9565_01241	A0ABX1T4A4	TrEMBL	100	275	100	100	1.3599999999999998e-195	545
OG0000219	HTCC9565_00091	A0ABX1T056	TrEMBL	100	164	100	100	7.099999999999999e-109	316
OG0000220	NP1_00912	A0A6H1Q2I1	TrEMBL	100	258	100	100	5.269999999999999e-180	504
OG0000221	ETNP2013_S02_SV82_300m_MAG_01_00941	A0A381SFH9	TrEMBL	100	137	100	100	9.96e-87	258
OG0000222	HTCC9565_00451	A0ABX1T128	TrEMBL	100	121	100	100	3.39e-84	250
OG0000223	HTCC9565_00370	A0ABX1SZG0	TrEMBL	100	370	100	100	1.2499999999999998e-257	709
OG0000224	ETNP2013_S02_SV82_300m_MAG_01_00074	A0A381TB95	TrEMBL	100	235	100	100	7.49e-164	461
OG0000225	ETNP2013_S02_SV82_300m_MAG_01_00067	A0A381T5Y3	TrEMBL	100	164	100	100	5.379999999999999e-104	304
OG0000226	HTCC9565_00469	A0ABX1T1I0	TrEMBL	100	307	100	100	2.8799999999999997e-213	592
OG0000227	HTCC9565_00368	A0ABX1T199	TrEMBL	100	404	100	100	2.38e-286	785
OG0000228	HTCC1002_01182	Q1V0K6	TrEMBL	100	419	100	100	6.34e-305	846
OG0000229	HTCC9565_00974	A0ABX1T153	TrEMBL	100	334	100	100	8.559999999999999e-240	661
OG0000230	NP1_01056	A0A6H1Q2W6	TrEMBL	100	379	100	100	6.4699999999999996e-260	716
OG0000231	HTCC9565_00275	A0ABX1SZ69	TrEMBL	100	110	100	100	1.98e-71	217
OG0000232	HTCC9565_00405	A0ABX1T0Z6	TrEMBL	100	761	100	100	0	1475
OG0000233	HTCC1062_00446	Q4FNH4	Swiss-Prot	100	802	100	100	0	1552
OG0000234	HTCC1062_00451	Q4FNH0	TrEMBL	100	426	100	100	3.7e-292	801
OG0000235	HTCC1013_00179	Q4FMM3	TrEMBL	100	468	100	100	0	954
OG0000236	HTCC1002_00640	Q1V236	TrEMBL	100	255	100	100	1.6299999999999997e-177	497
OG0000237	HTCC1013_00540	Q1V1F2	TrEMBL	100	261	100	100	8.419999999999998e-183	511
OG0000238	HTCC1002_00643	Q1V233	TrEMBL	100	434	100	100	0	887
OG0000239	HTCC1002_00785	Q1V1P8	TrEMBL	100	309	100	100	4.6499999999999996e-220	609
OG0000240	HTCC9565_01337	A0ABX1T250	TrEMBL	100	362	100	100	1.6499999999999999e-226	630
OG0000241	HTCC9565_00573	A0ABX1T316	TrEMBL	100	924	100	100	0	1772
OG0000242	HTCC1002_01060	Q1V0X9	TrEMBL	100	416	100	100	2.62e-296	811
OG0000243	HTCC9565_00154	A0ABX1T1U4	TrEMBL	100	443	100	100	4.64e-305	838
OG0000244	NP1_00875	A0A6H1Q2E5	TrEMBL	100	401	100	100	4.54e-278	764
OG0000245	HTCC9565_00340	A0ABX1SZC6	TrEMBL	100	638	100	100	0	1289
OG0000246	HTCC1013_01097	Q4FL81	TrEMBL	100	810	100	100	0	1674
OG0000247	HTCC9565_00691	A0ABX1T4B8	TrEMBL	100	357	100	100	1.85e-257	708
OG0000248	HTCC9565_00706	A0ABX1T4D3	TrEMBL	100	250	100	100	1.0199999999999999e-173	487
OG0000249	HTCC1002_01025	Q4FP09	TrEMBL	100	305	100	100	2.3599999999999997e-211	587
OG0000250	HTCC9565_00501	A0ABX1T3A3	TrEMBL	100	173	100	100	1.5299999999999999e-121	349
OG0000251	HTCC1002_01183	Q1V0K5	TrEMBL	100	259	100	100	3.7299999999999995e-185	517
OG0000252	HTCC9565_00644	A0ABX1T346	TrEMBL	100	561	100	100	0	1062
OG0000253	HTCC9565_00443	A0ABX1T1G7	TrEMBL	100	173	100	100	2.7799999999999997e-99	293
OG0000254	HTCC9565_00471	A0ABX1T373	TrEMBL	100	361	100	100	1.75e-248	686
OG0000255	HTCC9565_00125	A0ABX1T1B6	TrEMBL	100	208	100	100	3.1100000000000004e-154	434
OG0000256	HTCC1013_01227	Q4FPM5	TrEMBL	100	344	100	100	1.8899999999999997e-248	684
OG0000257	HTCC1013_00601	Q4FNT4	Swiss-Prot	100	196	100	100	2.38e-139	389
OG0000258	HTCC1062_00392	Q4FNM6	Swiss-Prot	100	690	100	100	0	1315
OG0000259	HTCC9565_00371	A0ABX1SZG3	TrEMBL	100	470	100	100	0	902
OG0000260	HTCC1062_00432	Q4FNI8	TrEMBL	100	1012	100	100	0	1977
OG0000261	NP1_00716	A0A6H1Q3A2	TrEMBL	100	238	100	100	2.07e-167	470
OG0000262	HTCC1062_01335	Q4FL10	TrEMBL	100	889	100	100	0	1773
OG0000263	HTCC1002_00286	Q1UZ51	TrEMBL	100	683	100	100	0	1326
OG0000264	HTCC1002_01092	Q1V0U6	TrEMBL	100	199	100	100	3.25e-147	416
OG0000265	NP1_01267	A0A6H1Q3X1	TrEMBL	100	465	100	100	0	913
OG0000266	NP1_01151	A0A6H1Q2W1	TrEMBL	100	141	100	100	8.769999999999998e-101	294
OG0000267	HTCC1002_00197	Q4FLP9	TrEMBL	100	153	100	100	1.12e-102	300
OG0000268	NP1_01072	A0A6H1Q3W3	TrEMBL	100	525	100	100	0	1050
OG0000269	HTCC9565_00888	A0ABX1T0U6	TrEMBL	100	149	100	100	9.28e-100	292
OG0000270	HTCC9565_00406	A0ABX1T0Y4	TrEMBL	100	197	100	100	1.12e-128	369
OG0000271	ETNP2013_S02_SV82_300m_MAG_01_00380	A0A381QV90	TrEMBL	100	158	100	100	6.93e-113	326
OG0000272	HTCC9565_00339	A0ABX1SZC7	TrEMBL	100	181	100	100	1.02e-123	355
OG0000273	HTCC1062_00286	Q4FNY1	TrEMBL	100	236	100	100	4.01e-164	462
OG0000274	HTCC1002_00722	Q4FN72	TrEMBL	100	163	100	100	1.9599999999999998e-110	320
OG0000275	ETNP2013_S02_SV82_300m_MAG_01_00542	A0A381SQB2	TrEMBL	100	381	100	100	2.4999999999999997e-274	753
OG0000276	NP1_01085	A0A6H1Q4B9	TrEMBL	100	428	100	100	2.49e-305	840
