Orthogroup	gene_id	Accession_number	pident
OG0000093	HTCC1062_00823	Q4FMF8	91.6
OG0000094	HTCC1062_00351	Q4FNR7	92.4
OG0000095	HTCC1062_00344	Q4FNS4	92.5
OG0000096	HTCC1062_00737	Q4FMP4	97.1
OG0000097	HTCC1062_00201	Q4FP66	93
OG0000098	HTCC1062_00049	Q4FPP9	95.5
OG0000099	HTCC1062_00369	Q1V1C6	91.4
OG0000100	HTCC1062_00761	Q4FMM0	97.1
OG0000101	HTCC1062_00190	Q4FP77	89.4
OG0000102	HTCC1062_00217	Q4FP50	97.3
OG0000103	HTCC1062_00991	Q1UZ45	92.4
OG0000104	HTCC1062_00029	Q4FPK1	92.3
OG0000105	HTCC1062_01012	Q4FLX5	92.4
OG0000106	HTCC1062_00619	Q1V217	93.5
OG0000107	HTCC1062_00215	Q4FP52	93.3
OG0000108	HTCC1062_00396	Q4FNM2	95.4
OG0000109	HTCC1062_01162	Q4FLI3	92.6
OG0000110	HTCC1062_01214	Q1UZT8	93.9
OG0000111	HTCC1062_00112	Q4FPF6	98.5
OG0000112	HTCC1062_00137	Q4FPD1	98.2
OG0000113	HTCC1062_00575	Q4FN55	100
OG0000114	HTCC1062_00343	Q1V199	95.9
OG0000115	HTCC1062_00130	Q4FPD8	98.3
OG0000116	HTCC1062_00923	Q4FM61	97.8
OG0000117	HTCC1062_00103	Q4FPG5	100
OG0000118	HTCC1062_01166	Q4FLH9	94.5
OG0000119	HTCC1062_00183	Q1V0T8	95.8
OG0000120	HTCC1062_00088	Q1V0J2	90.5
OG0000121	HTCC1062_00508	Q4FNB8	96.3
OG0000122	HTCC1062_00511	Q4FNB5	95.3
OG0000123	HTCC1062_00738	Q4FMP3	91
OG0000124	HTCC1062_00133	Q4FPD5	100
OG0000125	HTCC1062_00609	Q1V207	90.1
OG0000126	HTCC1062_00611	Q1V209	93.3
OG0000127	HTCC1062_00945	Q4FM38	96
OG0000128	HTCC1062_00383	Q1V1E1	94.2
OG0000129	HTCC1062_00306	Q4FNW1	94.6
OG0000130	HTCC1062_00493	Q4FND3	96.5
OG0000131	HTCC1062_00341	Q4FNS7	96.6
OG0000132	HTCC1062_00460	Q4FNG1	94.2
OG0000133	HTCC1062_01089	Q4FLQ1	94.4
OG0000134	HTCC1062_00521	Q4FNA5	94.2
OG0000135	HTCC1062_00518	Q1V1S1	94.4
OG0000136	HTCC1062_00462	Q4FNF9	92.5
OG0000137	HTCC1062_00464	Q4FNF7	99.2
OG0000138	HTCC1062_00466	Q4FNF5	95.2
OG0000139	HTCC1062_00292	Q4FNX5	93.8
OG0000140	HTCC1062_00474	Q4FNE8	90.5
OG0000141	HTCC1062_00044	Q4FPQ7	94.7
OG0000142	HTCC1062_00494	Q4FND2	93.4
OG0000143	HTCC1062_00517	A0A9D7ZMR5	89.4
OG0000144	HTCC1062_00422	Q1V1H9	92.2
OG0000145	HTCC1062_00673	Q4FMV8	91.5
OG0000146	HTCC1062_00733	Q4FMP8	95.9
OG0000147	HTCC1062_00492	Q4FND4	97.5
OG0000148	HTCC1062_00605	Q4FN26	91.1
OG0000149	HTCC1062_00406	Q1V1G3	92.9
OG0000150	HTCC1062_00467	Q4FNF4	97.3
OG0000151	HTCC1062_00311	Q4FNV6	95.1
OG0000152	HTCC1062_00469	Q4FNF2	93.2
OG0000153	HTCC1062_00017	Q4FPL3	94.3
OG0000154	HTCC1062_00100	Q4FPG8	95.6
OG0000155	HTCC1062_00163	Q4FPA5	90.9
OG0000156	HTCC1062_00513	Q1V1R6	94
OG0000157	HTCC1062_00604	Q4FN27	98.6
OG0000158	HTCC1062_00607	Q4FN24	91.3
OG0000159	HTCC1062_00366	Q4FNQ2	97.5
OG0000160	HTCC1062_00250	Q4FP17	94.2
OG0000161	HTCC1062_01163	Q4FLI2	97.9
OG0000162	HIMB5_01414	J9YZ43	88.8
OG0000163	HTCC1062_00043	Q4FPQ8	96.9
OG0000164	HTCC1062_00496	Q4FND0	93.3
OG0000165	HTCC1062_00610	Q4FN21	97.2
OG0000166	HTCC1062_00365	Q4FNQ3	93.6
OG0000167	HTCC1062_00418	Q1V1H5	96.6
OG0000168	HTCC1062_00419	Q1V1H6	100
OG0000169	HTCC1062_00420	Q1V1H7	93
OG0000170	HTCC1062_00424	Q1V1I0	95.3
OG0000171	HTCC1062_00452	Q4FNG9	91.3
OG0000172	IMCC9063_00102	F2I2Q7	98.5
OG0000173	HTCC1062_00639	Q4FMZ3	94.4
OG0000174	HTCC1062_00016	Q4FPM0	96.2
OG0000175	HTCC1062_00085	Q4FPI3	94.2
OG0000176	HTCC1062_00123	Q4FPE5	97
OG0000177	HTCC1062_00497	Q4FNC9	97.8
OG0000178	HTCC1062_00608	Q1V206	90.3
OG0000179	HTCC1062_00618	Q4FN13	96.2
OG0000180	HTCC1062_00352	Q4FNR6	95.3
OG0000181	HTCC1062_00685	Q4FMU6	95.1
OG0000182	HTCC1062_00102	Q4FPG6	97.2
OG0000183	HTCC1062_00478	Q4FNE5	95.1
OG0000184	HTCC1062_00515	Q4FNB1	96.9
OG0000185	HTCC1062_00330	Q1V186	90.8
OG0000186	HTCC1062_00436	Q4FNI4	97.6
OG0000187	HTCC1062_00456	Q4FNG5	93.7
OG0000188	HTCC1062_00470	Q1V1M7	95.2
OG0000189	HTCC1062_01207	Q4FLD8	97.8
OG0000190	HTCC1062_00185	Q1V0U0	94.9
OG0000191	HTCC1062_01256	Q4FL90	94.9
OG0000192	HTCC1062_00636	Q4FMZ6	98.6
OG0000193	HTCC1062_00159	Q4FPA9	98.3
OG0000194	HTCC1062_00512	Q4FNB4	94.6
OG0000195	HTCC1062_00589	Q4FN41	94.5
OG0000196	HTCC1062_00329	Q4FNT9	96.6
OG0000197	HTCC1062_00337	Q4FNT1	94.6
OG0000198	HTCC1062_00367	Q4FNQ1	94.3
OG0000199	HTCC1062_00375	Q1V1D2	93
OG0000200	HTCC1062_00413	Q4FNK5	94.1
OG0000201	HTCC1062_00445	Q4FNH5	97.3
OG0000202	HTCC1062_00293	Q4FNX4	95.6
OG0000203	HTCC1062_00310	Q4FNV7	92.6
OG0000204	HTCC1062_00226	Q1V0Y2	91.8
OG0000205	HTCC1062_00646	Q4FMY5	92.7
OG0000206	HTCC1062_00015	Q4FPM1	95.8
OG0000207	HTCC1062_00101	Q1V0K5	96.5
OG0000208	HTCC1062_00162	Q1V0R6	96.3
OG0000209	HTCC1062_00495	Q4FND1	95.6
OG0000210	HTCC1062_00332	Q1V188	96.1
OG0000211	HTCC1062_00411	Q1V1G8	92.9
OG0000212	HTCC1062_00412	Q4FNK6	94.7
OG0000213	HTCC1062_00421	Q4FNJ7	88.9
OG0000214	HTCC1062_00441	Q4FNH9	97.5
OG0000215	HTCC1062_00446	Q4FNH4	94
OG0000216	HTCC1062_00258	Q4FP09	93
OG0000217	HTCC1062_00642	Q4FMZ0	100
OG0000218	HTCC1062_00998	Q4FLY8	94.3
OG0000219	HTCC1062_00024	Q4FPK6	94.6
OG0000220	HTCC1062_00516	Q4FNB0	92.3
OG0000221	HTCC1062_00616	Q4FN15	94.1
OG0000222	HTCC1062_00354	Q4FNR4	93.3
OG0000223	HTCC1062_00368	Q4FNQ0	96.1
OG0000224	HTCC1062_00395	Q1V1F2	95
OG0000225	HTCC1062_00451	Q4FNH0	91.7
OG0000226	HTCC1062_00280	Q4FNY7	95
OG0000227	HTCC1062_00849	Q4FMD2	89.4
OG0000228	HTCC1062_00200	Q4FP67	93.6
OG0000229	HTCC1062_00308	Q1V165	92.2
OG0000230	HTCC1062_01335	Q4FL10	96.7
OG0000231	HTCC1062_00640	Q4FMZ2	99
OG0000232	HTCC1062_00739	Q4FMP2	94.5
OG0000233	HTCC1062_00129	Q4FPD9	98.1
OG0000234	HTCC1062_00131	Q1V0N5	94.7
OG0000235	HTCC1062_00620	Q4FN11	95
OG0000236	HTCC1062_00010	Q4FPM5	96.1
OG0000237	HTCC1062_00334	Q4FNT4	96
OG0000238	HTCC1062_00338	Q4FNT0	94.2
OG0000239	HTCC1062_00405	Q4FNL3	92.7
OG0000240	HTCC1062_00432	Q4FNI8	96.6
OG0000241	HTCC1062_00442	Q4FNH8	94.4
OG0000242	HTCC1062_01091	Q4FLP9	94.6
OG0000243	HTCC1062_01170	Q4FLH5	97.6
OG0000244	HTCC1062_00429	Q4FNJ0	95.3
OG0000245	HTCC1062_00191	Q4FP76	99.8
OG0000246	HTCC1062_00210	Q1V0W5	97
OG0000247	HTCC1062_00223	Q4FP44	94.3
OG0000248	HTCC1062_00227	Q1V0Y3	99.2
OG0000249	HTCC1062_00228	Q1V0Y4	90.7
OG0000250	HTCC1062_00229	Q1V0Y5	93.9
OG0000251	HTCC1062_00641	Q4FMZ1	97.5
OG0000252	HTCC1062_00734	Q4FMP7	93.4
OG0000253	HTCC1062_00634	Q1V231	96.6
OG0000254	HTCC1062_00019	Q4FPL1	94.3
OG0000255	HTCC1062_00626	Q1V223	96.2
OG0000256	HTCC1062_00410	Q1V1G7	92.4
OG0000257	HTCC1062_00443	Q1V1K3	91.4
OG0000258	HTCC1062_00286	Q4FNY1	94.2
OG0000259	HTCC1062_01208	Q4FLD7	89.1
OG0000260	HTCC1062_00208	Q1V0W3	90.1
OG0000261	HTCC1062_00209	Q4FP58	93.6
OG0000262	HTCC1062_00230	Q4FP37	91.4
OG0000263	HTCC1062_00742	Q4FMN9	90.8
OG0000264	HTCC1062_00041	Q4FPR0	94.7
OG0000265	HTCC1062_00080	Q4FPI8	94.8
OG0000266	HTCC1062_00110	Q4FPF8	93.3
OG0000267	HTCC1062_00479	Q4FNE4	92.4
OG0000268	HTCC1062_00520	Q4FNA6	94.1
OG0000269	HTCC1062_00612	Q4FN19	91.4
OG0000270	HTCC1062_00614	Q4FN17	92.6
OG0000271	HTCC1062_00374	Q4FNP4	90.3
OG0000272	HTCC1062_00392	Q4FNM6	92.8
OG0000273	HTCC1062_00397	Q4FNM1	100
OG0000274	HTCC1062_00444	Q1V1K4	92
OG0000275	HTCC1062_01103	Q1UZE8	92.1
OG0000276	HTCC1062_00256	Q4FP11	91.2
OG0000277	HTCC1062_00290	A0A0R2UYC2	86.9
OG0000278	HTCC1062_01211	Q4FLD4	99.9
OG0000279	HIMB114_00602	D0RP72	86.5
OG0000280	HTCC1062_00087	Q4FPI1	94.5
OG0000281	HTCC1062_00158	Q4FPB0	92.8
OG0000282	HTCC1062_00476	Q1V1N2	88.7
OG0000283	HTCC1062_00615	Q4FN16	94.1
OG0000284	HTCC1062_00319	Q4FNU8	94.5
OG0000285	HTCC1062_00346	Q1V1A2	98
OG0000286	HTCC1062_00359	Q4FNQ9	96
OG0000287	HTCC1062_00447	Q4FNH3	95.5
OG0000288	HTCC1062_00454	A0A6H1Q296	100
OG0000289	HTCC1062_00745	Q4FMN6	91.3
OG0000290	HTCC1062_00755	Q4FMM6	94.3
OG0000291	HTCC1062_00758	Q4FMM3	98.3
OG0000292	HTCC1062_00257	Q4FP10	95.3
OG0000293	HTCC1062_00216	Q4FP51	97.9
OG0000294	HTCC1062_00901	A0A9D7WIF4	98.9
OG0000295	HTCC1062_00933	Q4FM51	94.1
OG0000296	HTCC1062_00989	Q4FLZ7	95.7
OG0000297	HTCC1062_00023	Q4FPK7	94.3
OG0000298	HTCC1062_00034	Q4FPN3	94.9
OG0000299	HTCC1062_00624	Q1V221	92.5
OG0000300	HTCC1062_00347	Q4FNS1	98.4
OG0000301	HTCC1062_00349	Q1V1A5	92.7
OG0000302	HTCC1062_00415	Q4FNK3	93.9
OG0000303	HTCC1062_00453	Q4FNG8	96.7
OG0000304	HTCC1062_01099	Q1UZE4	94
OG0000305	HTCC1062_01086	Q1UZD1	95.1
OG0000306	HTCC1062_00287	Q4FNY0	99.5
OG0000307	HTCC1062_00313	Q4FNV4	94.4
OG0000308	HTCC1062_00710	Q4FMS1	96.6
OG0000309	HTCC1062_00218	Q4FP49	99.3
OG0000310	HTCC1062_00307	Q1V164	88.1
OG0000311	HTCC1062_00644	Q1V243	87.9
OG0000312	HTCC1062_00902	Q1V2T8	88.5
OG0000313	HTCC1062_00924	Q4FM60	94.4
OG0000314	HTCC1062_00944	A0A9E1SIP3	96
OG0000315	HTCC1062_00079	Q4FPI9	95
OG0000316	HTCC1062_00097	Q4FPH1	92.7
OG0000317	HTCC1062_00108	Q4FPG0	94.5
OG0000318	HTCC1062_00501	Q4FNC5	94.5
OG0000319	HTCC1062_00321	Q1V178	93.5
OG0000320	HTCC1062_00326	Q1V182	92
OG0000321	HTCC1062_00388	Q1V1E6	92.3
OG0000322	HTCC1062_00437	Q4FNI3	95.7
OG0000323	HTCC1062_00754	Q4FMM7	96
OG0000324	HTCC1062_00284	Q4FNY3	91.6
OG0000325	HTCC1062_00240	Q4FP27	96
OG0000326	HTCC1062_00252	Q1V108	96.4
OG0000327	HTCC1062_00650	Q4FMY1	100
OG0000328	HTCC1062_00231	Q4FP36	92.7
OG0000329	HTCC1062_00234	Q4FP33	93.8
OG0000330	HTCC1062_00909	Q4FM75	97.6
OG0000331	HTCC1062_00969	Q4FM17	93.5
OG0000332	HTCC1062_00735	Q4FMP6	100
OG0000333	HTCC1062_00633	Q4FMZ9	92.2
OG0000334	HTCC1062_00078	Q1V0I3	100
OG0000335	HTCC1062_00154	Q4FPB4	97.9
OG0000336	HTCC1062_00161	Q4FPA7	97.3
OG0000337	HTCC1062_00586	Q1V1Y5	90.3
OG0000338	HIMB114_00784	D0RPQ3	94.7
OG0000339	HTCC1062_00009	Q4FPM6	96.2
OG0000340	HTCC1062_00389	Q4FNM9	90.5
OG0000341	HTCC1062_01098	Q4FLP2	89.7
OG0000342	HTCC1062_00760	Q4FMM1	91.7
OG0000343	HTCC1062_00283	Q4FNY4	92.5
OG0000344	HTCC1062_00288	Q1V142	98.2
OG0000345	HTCC1062_00721	Q4FMR0	94.3
OG0000346	HTCC1062_01151	Q4FLJ4	96.7
OG0000347	HTCC1062_00212	Q4FP55	92.3
OG0000348	HTCC1062_00789	Q4FMJ2	97.6
OG0000349	HTCC1062_00987	Q4FLZ9	87.6
OG0000350	HTCC1062_01068	Q1UZB4	95.2
OG0000351	HTCC1062_00007	Q4FPM8	91.9
OG0000352	HTCC1062_00042	Q4FPQ9	90.1
OG0000353	HTCC1062_00099	Q4FPG9	95.4
OG0000354	HTCC1062_00156	Q4FPB2	92
OG0000355	HTCC1062_00487	Q4FND8	94.1
OG0000356	HTCC1062_00488	Q4FND7	91.3
OG0000357	HTCC1062_00509	Q1V1R2	94.5
OG0000358	HTCC1062_00008	Q4FPM7	92.2
OG0000359	HTCC1062_00340	Q1V196	97
OG0000360	HTCC1062_00370	Q1V1C7	86.5
OG0000361	HTCC1062_00727	Q4FMQ4	94.4
OG0000362	HTCC1062_00179	Q4FP88	97.3
OG0000363	HTCC1062_01212	Q4FLD3	97.1
OG0000364	HTCC1062_00213	Q4FP54	96.2
OG0000365	HTCC1062_00222	Q4FP45	93.1
OG0000366	HTCC1062_00225	Q4FP42	93.6
OG0000367	HTCC1062_01329	Q4FL16	100
OG0000368	HTCC1062_00647	Q1V246	94.3
OG0000369	HTCC1062_00929	Q4FM55	92.1
OG0000370	HTCC1062_00098	Q4FPH0	91.5
OG0000371	HTCC1062_00111	Q4FPF7	93.2
OG0000372	HTCC1062_00117	Q4FPF1	88.7
OG0000373	HTCC1062_00122	Q1V0M6	85.7
OG0000374	HTCC1062_00128	Q4FPE0	95.9
OG0000375	HTCC1062_00305	Q4FNW2	98.7
OG0000376	HTCC1062_00503	Q1V1Q6	91.4
OG0000377	HTCC1062_00506	Q4FNC0	90.6
OG0000378	HTCC1062_00594	Q4FN37	94
OG0000379	HTCC1062_00335	Q4FNT3	90.8
OG0000380	HTCC1062_00373	Q4FNP5	92.4
OG0000381	HTCC1062_01100	Q4FLP0	88.4
OG0000382	HTCC1062_01085	Q1UZD0	93.7
OG0000383	HTCC1062_00277	Q4FNZ0	96.9
OG0000384	HTCC1062_00281	Q4FNY6	93.8
OG0000385	HTCC1062_00285	Q4FNY2	89.2
OG0000386	HTCC1062_00289	Q4FNX8	94.6
OG0000387	HTCC1062_00241	Q4FP26	100
OG0000388	HTCC1062_01213	Q4FLD2	100
OG0000389	HTCC1062_00198	Q4FP69	90.5
OG0000390	HTCC1062_00220	A0A6H1Q3V4	94.6
OG0000391	HTCC1062_00928	Q4FM56	95.7
OG0000392	HTCC1062_00948	Q4FM35	97.7
OG0000393	HTCC1062_01055	Q4FLT4	96.8
OG0000394	HTCC1062_00033	Q4FPN4	90.5
OG0000395	HTCC1062_00036	Q1V0E2	95
OG0000396	HTCC1062_00037	Q4FPR2	92.5
OG0000397	HTCC1062_00106	Q4FPG2	91.9
OG0000398	HTCC1062_00139	Q4FPC9	94.3
OG0000399	HTCC1062_00588	Q4FN42	92
OG0000400	HTCC1062_00336	Q4FNT2	91.1
OG0000401	HTCC1062_00339	Q4FNS9	90.2
OG0000402	HTCC1062_00387	Q1V1E5	96
OG0000403	HTCC1062_00416	Q1V1H3	97.7
OG0000404	HTCC1062_01082	Q4FLQ8	93.9
OG0000405	HTCC1062_01226	Q1UZV1	94.1
OG0000406	HTCC1062_00197	Q1V0V2	95.1
OG0000407	HTCC1062_00203	Q4FP64	92.6
OG0000408	HTCC1062_00207	Q4FP60	91.1
OG0000409	HTCC1062_00219	Q4FP48	89.4
OG0000410	HTCC1062_00900	Q4FM84	92.2
OG0000411	HTCC1062_00930	Q4FM54	90.9
OG0000412	HTCC1062_00013	Q4FPM3	95
OG0000413	HTCC1062_00105	Q4FPG3	100
OG0000414	HTCC1062_00121	Q4FPE7	87.2
OG0000415	HTCC1062_00499	Q4FNC7	93.3
OG0000416	HTCC1062_00507	Q4FNB9	96.6
OG0000417	HTCC1062_01101	Q1UZE6	94.3
OG0000418	HTCC1062_00744	Q4FMN7	96.6
OG0000419	HTCC1062_00747	Q4FMN4	95.4
OG0000420	HTCC1062_00750	Q4FMN1	97.1
OG0000421	HTCC1062_00254	Q4FP13	97.8
OG0000422	HTCC1062_00711	Q4FMS0	91.2
OG0000423	HTCC1062_00712	Q4FMR9	90.6
OG0000424	HTCC1062_00214	Q4FP53	93.7
OG0000425	HTCC1062_00986	Q4FM00	90.9
OG0000426	HTCC1062_00994	Q4FLZ2	97.3
OG0000427	HTCC1062_01379	Q4FKW6	91
OG0000428	HTCC1062_01384	Q4FKW1	93.9
OG0000429	HTCC1062_00018	Q4FPL2	95
OG0000430	HTCC1062_00587	Q1V1Y6	88.4
OG0000431	HTCC1062_00592	Q1V1Z0	90.9
OG0000432	HTCC1062_00593	Q4FN38	99.2
OG0000433	HTCC1062_00598	Q4FN33	93.5
OG0000434	HTCC1062_00425	Q1V1I2	87.1
OG0000435	HTCC1062_00713	Q4FMR8	92.2
OG0000436	HTCC1062_01157	Q4FLI8	96
OG0000437	HTCC1062_01219	Q4FLC6	96.4
OG0000438	HTCC1062_00224	Q4FP43	95.5
OG0000439	HTCC1062_00990	Q4FLZ6	95
OG0000440	HTCC1062_01056	Q4FLT3	96.6
OG0000441	HTCC1062_00736	Q4FMP5	94.9
OG0000442	HTCC1062_00025	Q4FPK5	95.3
OG0000443	HTCC1062_00120	A0A2G2AET9	85.2
OG0000444	HTCC1062_00152	Q1V0Q6	95.3
OG0000445	HTCC1062_00595	Q4FN36	94.4
OG0000446	HTCC1062_00606	Q4FN25	96.1
OG0000447	HTCC1062_00622	Q4FN10	94.6
OG0000448	HTCC1062_00378	Q4FNP0	95
OG0000449	HTCC1062_00380	Q1V1D8	98.5
OG0000450	HTCC1062_00390	Q4FNM8	91.4
OG0000451	HTCC1062_00435	Q4FNI5	86.8
OG0000452	HTCC1062_01102	Q4FLN8	97.1
OG0000453	HTCC1062_01124	Q4FLL6	96.3
OG0000454	HTCC1062_00743	Q4FMN8	93.7
OG0000455	HTCC1062_00748	Q4FMN3	98.7
OG0000456	HTCC1062_00775	Q4FMK6	94.8
OG0000457	HTCC1062_01125	Q1UZH0	92.5
OG0000458	HTCC1062_00251	Q4FP16	96.5
OG0000459	HTCC1062_01306	Q4FL40	94.3
OG0000460	HTCC1062_00104	Q1V0K8	96.1
OG0000461	HTCC1062_00119	Q1V0M3	89.6
OG0000462	HTCC1062_00127	Q4FPE1	95.3
OG0000463	HTCC1062_00153	Q4FPB5	99.6
OG0000464	HTCC1062_00613	Q1V211	92
OG0000465	HTCC1062_00364	Q4FNQ4	95.2
OG0000466	HTCC1062_00377	Q4FNP1	93.8
OG0000467	HTCC1062_00391	Q4FNM7	89.9
OG0000468	HTCC1062_00728	Q4FMQ3	94.2
OG0000469	HTCC1062_01097	Q1UZE2	95.6
OG0000470	HTCC1062_01108	Q4FLN2	94.5
OG0000471	HTCC1062_01081	Q4FLQ9	95.1
OG0000472	HTCC1062_00839	Q4FME2	93.1
OG0000473	HTCC1062_00863	Q4FMB8	95
OG0000474	HTCC1062_01069	Q1UZB5	95.4
OG0000475	HTCC1062_01128	Q4FLL2	94.2
OG0000476	HTCC1062_00889	Q4FM93	94.8
OG0000477	HTCC1062_00896	Q4FM88	97.8
OG0000478	HTCC1062_00927	Q4FM57	92.7
OG0000479	HTCC1062_01035	Q4FLV4	92.4
OG0000480	HTCC1062_01036	Q1UZ82	96.9
OG0000481	HTCC1062_01380	Q4FKW5	96.4
OG0000482	HTCC1062_00084	Q4FPI4	94.8
OG0000483	HTCC1062_00160	Q4FPA8	94
OG0000484	HTCC1062_00597	Q4FN34	95.9
OG0000485	HTCC1062_00603	Q4FN28	95.7
OG0000486	HTCC1062_00627	Q4FN05	100
OG0000487	HTCC1062_00327	Q4FNU1	95.2
OG0000488	HTCC1062_00404	Q1V1G1	95.5
OG0000489	HTCC1062_00409	Q1V1G6	89
OG0000490	HTCC1062_00426	Q4FNJ3	100
OG0000491	HTCC1062_00463	Q4FNF8	99.9
OG0000492	HTCC1062_01104	Q4FLN6	89.5
OG0000493	HTCC1062_01105	Q1UZF0	93.1
OG0000494	HTCC1062_01107	Q1UZF2	93
OG0000495	HTCC1062_01116	Q4FLM4	95
OG0000496	HTCC1062_01117	Q4FLM3	89.5
OG0000497	HTCC1062_01080	Q4FLR0	96
OG0000498	HTCC1062_01088	Q1UZD3	91.9
OG0000499	HTCC1062_01127	Q1UZH2	95
OG0000500	HTCC1062_00282	Q4FNY5	97.6
OG0000501	HTCC1062_00253	Q4FP14	91
OG0000502	HIMB4_01032	A0A1X7GR95	86.4
OG0000503	HTCC1062_01153	Q4FLJ2	99.5
OG0000504	HTCC1062_00193	Q4FP74	99.2
OG0000505	HTCC1062_00199	Q4FP68	94.1
OG0000506	HTCC1062_00904	Q4FM80	94.1
