accession	orthogroup	match_type	gene_name	cog_gene	ko_name	pfam_names	gene_id	genome	ko_id	cog_id	pident
Q1V032	OG0000004	Close sequence match	DadA	DadA	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	DAO	HTCC1002_01358	HTCC1002		COG0665	100
Q4FL30	OG0000004	Close sequence match	DadA	DadA	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	DAO	HTCC1013_01148	HTCC1013		COG0665	100
A0A6H1PZW4	OG0000005	Close sequence match	MmsB	MmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	NAD_binding_2,NAD_binding_11,6PGD,Pyridox_oxase_2	NP1_00017	NP1	K00020	COG2084	100
A0A6H1Q1V8	OG0000005	Close sequence match	MmsB	MmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	NAD_binding_2,NAD_binding_11,6PGD,Pyridox_oxase_2	NP1_00339	NP1	K00020	COG2084	100
Q4FMB0	OG0000005	Close sequence match	MmsB	MmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	NAD_binding_2,NAD_binding_11,6PGD,Pyridox_oxase_2	HTCC1002_00419	HTCC1002	K00020	COG2084	100
A0A6H1Q3F5	OG0000006	Close sequence match	FimT	PilE	type IV pilus assembly protein PilA	N_methyl,ComP_DUS,T2SSG	NP1_01206	NP1		COG4970	100
Q1UZV2	OG0000006	Close sequence match	GspO/PilD	PilE	type IV pilus assembly protein PilA	N_methyl,ComP_DUS,T2SSG	HTCC1002_00030	HTCC1002		COG2165	100
Q1UZV4	OG0000006	Close sequence match	PilE	PilE	type IV pilus assembly protein PilA	N_methyl,ComP_DUS,T2SSG	HTCC1002_00028	HTCC1002		COG4968	100
Q4FLB3	OG0000006	Close sequence match	PilA	PilE	type IV pilus assembly protein PilA	N_methyl,ComP_DUS,T2SSG	HTCC1062_01232	HTCC1062		COG4969	100
Q4FPJ2	OG0000006	Close sequence match		PilE	type IV pilus assembly protein PilA	N_methyl,ComP_DUS,T2SSG	HTCC1062_00076	HTCC1062			100
Q4FL45	OG0000007	Close sequence match	FabG	FabG	L-xylulose reductase [EC:1.1.1.10]	adh_short_C2,adh_short,MaoC_dehydratas,Epimerase	HTCC1062_01301	HTCC1062		COG1028	100
Q4FMB7	OG0000007	Close sequence match	FabG	FabG	L-xylulose reductase [EC:1.1.1.10]	adh_short_C2,adh_short,MaoC_dehydratas,Epimerase	HTCC1002_00426	HTCC1002	K03331	COG1028	100
Q4FN87	OG0000007	Close sequence match	FabG	FabG	L-xylulose reductase [EC:1.1.1.10]	adh_short_C2,adh_short,MaoC_dehydratas,Epimerase	HTCC1002_00737	HTCC1002		COG1028	100
A0A6H1Q373	OG0000008	Close sequence match	UbiG	UbiG	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	Methyltransf_11,Methyltransf_23,Methyltransf_31,Methyltransf_25,Methyltransf_12,TPR_11,Methyltransf_14,MTS,TPR_2,Methyltransf_9,TPR_8,TPR_10	NP1_00686	NP1		COG2227	100
A0A6H1Q3V0	OG0000008	Close sequence match	UbiG	UbiG	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	Methyltransf_11,Methyltransf_23,Methyltransf_31,Methyltransf_25,Methyltransf_12,TPR_11,Methyltransf_14,MTS,TPR_2,Methyltransf_9,TPR_8,TPR_10	NP1_00661	NP1		COG2227	100
Q1V1S7	OG0000008	Close sequence match	UbiG	UbiG	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	Methyltransf_11,Methyltransf_23,Methyltransf_31,Methyltransf_25,Methyltransf_12,TPR_11,Methyltransf_14,MTS,TPR_2,Methyltransf_9,TPR_8,TPR_10	HTCC1002_00756	HTCC1002		COG2227	100
A0A6H1Q2S1	OG0000009	Close sequence match	AdhP	Qor	NADPH:quinone reductase [EC:1.6.5.5]	ADH_zinc_N,ADH_N,ADH_N_2,ADH_zinc_N_2,Glu_dehyd_C,Shikimate_DH	NP1_01010	NP1	K18382	COG1064	100
Q4FN89	OG0000009	Close sequence match	AdhP	Qor	NADPH:quinone reductase [EC:1.6.5.5]	ADH_zinc_N,ADH_N,ADH_N_2,ADH_zinc_N_2,Glu_dehyd_C,Shikimate_DH	HTCC1002_00739	HTCC1002		COG1064	100
A0A6H1Q2P0	OG0000010	Close sequence match	RfaB	RfaB	putative colanic acid biosynthesis glycosyltransferase WcaI	Glycos_transf_1,Glyco_transf_4,Glyco_trans_4_2,Glyco_tran_WecG,Glyco_trans_1_4	NP1_00839	NP1		COG0438	100
Q1V1K0	OG0000010	Close sequence match	RfaB	RfaB	putative colanic acid biosynthesis glycosyltransferase WcaI	Glycos_transf_1,Glyco_transf_4,Glyco_trans_4_2,Glyco_tran_WecG,Glyco_trans_1_4	HTCC1002_00838	HTCC1002		COG0438	100
Q4FNI0	OG0000010	Close sequence match	RfaB	RfaB	putative colanic acid biosynthesis glycosyltransferase WcaI	Glycos_transf_1,Glyco_transf_4,Glyco_trans_4_2,Glyco_tran_WecG,Glyco_trans_1_4	HTCC1062_00440	HTCC1062		COG0438	100
A0A6H1Q141	OG0000011	Close sequence match	SerA	SerA	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	2-Hacid_dh_C,2-Hacid_dh,ACT,PGDH_inter	NP1_00350	NP1		COG0111	100
A0A6H1Q399	OG0000011	Close sequence match	SerA	SerA	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	2-Hacid_dh_C,2-Hacid_dh,ACT,PGDH_inter	NP1_01305	NP1		COG0111	100
Q4FKW9	OG0000011	Close sequence match	SerA	SerA	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	2-Hacid_dh_C,2-Hacid_dh,ACT,PGDH_inter	HTCC1002_01294	HTCC1002		COG0111	100
A0A6H1Q085	OG0000012	Close sequence match	LeuA	LeuA	2-isopropylmalate synthase [EC:2.3.3.13]	LeuA_dimer,HMGL-like	NP1_00056	NP1	K01649	COG0119	100
Q1V0A5	OG0000012	Close sequence match	LeuA	LeuA	2-isopropylmalate synthase [EC:2.3.3.13]	LeuA_dimer,HMGL-like	HTCC1002_01286	HTCC1002	K01649	COG0119	100
Q4FLI8	OG0000012	Close sequence match	LeuA	LeuA	2-isopropylmalate synthase [EC:2.3.3.13]	LeuA_dimer,HMGL-like	HTCC1062_01157	HTCC1062	K01649	COG0119	100
A0A6H1Q1Y2	OG0000013	Close sequence match	MviM	MviM	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	GFO_IDH_MocA,GFO_IDH_MocA_C,Shikimate_DH,ADH_zinc_N	NP1_00697	NP1	K13020	COG0673	99.7
A0A6H1Q402	OG0000013	Close sequence match	MviM	MviM	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	GFO_IDH_MocA,GFO_IDH_MocA_C,Shikimate_DH,ADH_zinc_N	NP1_00712	NP1		COG0673	100
Q4FN57	OG0000013	Close sequence match	MviM	MviM	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	GFO_IDH_MocA,GFO_IDH_MocA_C,Shikimate_DH,ADH_zinc_N	HTCC1002_00707	HTCC1002		COG0673	100
A0A6H1Q151	OG0000014	Close sequence match	IlvB	IlvB	sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N	NP1_00360	NP1	K03852	COG0028	100
Q4FMC8	OG0000014	Close sequence match	IlvB	IlvB	sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N	HTCC1002_00437	HTCC1002	K03852	COG0028	100
A0A6H1Q3D6	OG0000015	Close sequence match			No Annotation	DUF1330	NP1_01098	NP1		COG5470	100
Q1V0T9	OG0000015	Close sequence match			No Annotation	DUF1330	HTCC1002_01099	HTCC1002		COG5470	100
Q4FP83	OG0000015	Close sequence match			No Annotation	DUF1330	HTCC1062_00184	HTCC1062		COG5470	100
A0A6H1Q108	OG0000016	Close sequence match	UgpA	UgpA	glucose/mannose transport system permease protein	BPD_transp_1	NP1_00449	NP1	K17316	COG1175	100
Q4FMK1	OG0000016	Close sequence match	UgpA	UgpA	glucose/mannose transport system permease protein	BPD_transp_1	HTCC1002_00507	HTCC1002	K17316	COG1175	100
A0A6H1Q5V4	OG0000017	Close sequence match	ProW	ProW	glycine betaine/proline transport system permease protein	BPD_transp_1,DUF2628	NP1_01376	NP1	K02001	COG4176	100
Q1V024	OG0000017	Close sequence match	ProW	ProW	glycine betaine/proline transport system permease protein	BPD_transp_1,DUF2628	HTCC1002_01366	HTCC1002	K02001	COG4176	100
Q4FL38	OG0000017	Close sequence match	ProW	ProW	glycine betaine/proline transport system permease protein	BPD_transp_1,DUF2628	HTCC1062_01308	HTCC1062	K02001	COG4176	100
A0A6H1Q150	OG0000018	Close sequence match	GlmS	GlmS	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	GATase_6,SIS,GATase_7	NP1_00052	NP1	K00820	COG0449	100
A0A6H1Q5U5	OG0000018	Close sequence match	PurF	GlmS	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	GATase_6,SIS,GATase_7	NP1_01366	NP1	K22081	COG0034	100
Q1UZK2	OG0000018	Close sequence match	GlmS	GlmS	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	GATase_6,SIS,GATase_7	HTCC1002_00126	HTCC1002	K00820	COG0449	100
Q4FLI4	OG0000018	Close sequence match	GlmS	GlmS	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	GATase_6,SIS,GATase_7	HTCC1062_01161	HTCC1062	K00820	COG0449	100
Q4FPK2	OG0000019	Close sequence match	Rfe	Rfe	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	Glycos_transf_4,MraY_sig1	HTCC1002_01256	HTCC1002	K01000	COG0472	100
A0A382A0H0	OG0000020	Close sequence match	RfbB	WcaG	GDP-L-fucose synthase [EC:1.1.1.271]	Epimerase,GDP_Man_Dehyd	ETNP2013_S02_SV82_300m_MAG_01_00227	ETNP2013_S02_SV82_300m_MAG_01	K12454	COG1088	97.1
A0A6H1Q265	OG0000020	Close sequence match	WcaG	WcaG	GDP-L-fucose synthase [EC:1.1.1.271]	Epimerase,GDP_Man_Dehyd	NP1_00658	NP1	K02377	COG0451	100
Q1V1Y2	OG0000020	Close sequence match	WcaG	WcaG	GDP-L-fucose synthase [EC:1.1.1.271]	Epimerase,GDP_Man_Dehyd	HTCC1002_00697	HTCC1002	K02377	COG0451	100
Q4FN47	OG0000020	Close sequence match	WcaG	WcaG	GDP-L-fucose synthase [EC:1.1.1.271]	Epimerase,GDP_Man_Dehyd	HTCC1062_00583	HTCC1062	K02377	COG0451	100
A0A6H1Q3L9	OG0000021	Close sequence match	LivH	AraH	branched-chain amino acid transport system permease protein	BPD_transp_2,ABC_tran	NP1_01323	NP1	K01997	COG0559	100
Q1V081	OG0000021	Close sequence match	LivH	AraH	branched-chain amino acid transport system permease protein	BPD_transp_2,ABC_tran	HTCC1002_01310	HTCC1002	K01997	COG0559	100
Q4FKY5	OG0000021	Close sequence match	LivH	AraH	branched-chain amino acid transport system permease protein	BPD_transp_2,ABC_tran	HTCC1062_01360	HTCC1062	K01997	COG0559	100
A0A6H1Q0G1	OG0000022	Close sequence match	GcvT	GcvT	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]	GCV_T,SO_alpha_A3,Fer2_4,GCV_T_C,Pyr_redox_2,FAD_oxidored,Pyr_redox_3,NAD_binding_8,FAD_binding_2	NP1_00142	NP1	K00302	COG0404	100
Q4FLR7	OG0000022	Close sequence match	GcvT	GcvT	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]	GCV_T,SO_alpha_A3,Fer2_4,GCV_T_C,Pyr_redox_2,FAD_oxidored,Pyr_redox_3,NAD_binding_8,FAD_binding_2	HTCC1002_00215	HTCC1002	K00302	COG0404	100
A0A6H1Q2P5	OG0000023	Close sequence match	GalE	Gmd	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	GDP_Man_Dehyd,Epimerase,Polysacc_synt_2,RmlD_sub_bind,PhyH	NP1_00364	NP1	K01784	COG1087	100
A0A6H1Q3G9	OG0000023	Close sequence match	Gmd	Gmd	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	GDP_Man_Dehyd,Epimerase,Polysacc_synt_2,RmlD_sub_bind,PhyH	NP1_00657	NP1	K01711	COG1089	100
Q4FN48	OG0000023	Close sequence match	Gmd	Gmd	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	GDP_Man_Dehyd,Epimerase,Polysacc_synt_2,RmlD_sub_bind,PhyH	HTCC1002_00698	HTCC1002	K01711	COG1089	100
A0A6H1Q231	OG0000024	Close sequence match	SoxD	SoxD	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]	SoxD	NP1_00143	NP1	K00304	COG4311	100
Q4FLR8	OG0000024	Close sequence match	SoxD	SoxD	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]	SoxD	HTCC1002_00216	HTCC1002	K00304	COG4311	100
A0A6H1Q4E7	OG0000025	Close sequence match	LdhA	LdhA	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	2-Hacid_dh_C,2-Hacid_dh,CTP_transf_3	NP1_01007	NP1		COG1052	100
Q1V128	OG0000025	Close sequence match	LdhA	LdhA	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	2-Hacid_dh_C,2-Hacid_dh,CTP_transf_3	HTCC1002_01011	HTCC1002		COG1052	100
Q4FNZ3	OG0000025	Close sequence match	LdhA	LdhA	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	2-Hacid_dh_C,2-Hacid_dh,CTP_transf_3	HTCC1062_00274	HTCC1062		COG1052	100
A0A6H1Q218	OG0000026	Close sequence match	AllD	AllD	delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]	Ldh_2	NP1_00400	NP1		COG2055	100
Q1V2K0	OG0000026	Close sequence match	AllD	AllD	delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]	Ldh_2	HTCC1002_00477	HTCC1002		COG2055	100
Q4FM14	OG0000026	Close sequence match	AllD	AllD	delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]	Ldh_2	HTCC1062_00972	HTCC1062	K13609	COG2055	100
Q4FMG7	OG0000026	Close sequence match	AllD	AllD	delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]	Ldh_2	HTCC1062_00814	HTCC1062		COG2055	100
A0A6H1Q4Q9	OG0000027	Close sequence match	AmtB	AmtB	ammonium transporter, Amt family	Ammonium_transp,SpoIIE	NP1_01228	NP1	K03320	COG0004	100
Q1V0F7	OG0000027	Close sequence match	AmtB	AmtB	ammonium transporter, Amt family	Ammonium_transp,SpoIIE	HTCC1002_01231	HTCC1002	K03320	COG0004	100
Q4FPP5	OG0000027	Close sequence match	AmtB	AmtB	ammonium transporter, Amt family	Ammonium_transp,SpoIIE	HTCC1062_00053	HTCC1062	K03320	COG0004	100
A0A6H1Q075	OG0000028	Close sequence match		TrmR	O-methyltransferase [EC:2.1.1.-]	Methyltransf_24,TylF,Methyltransf_31,FtsJ,RrnaAD,TPR_1,Methyltransf_3,CmcI,Methyltransf_11,TPR_12	NP1_00046	NP1			100
Q1UZK8	OG0000028	Close sequence match		TrmR	O-methyltransferase [EC:2.1.1.-]	Methyltransf_24,TylF,Methyltransf_31,FtsJ,RrnaAD,TPR_1,Methyltransf_3,CmcI,Methyltransf_11,TPR_12	HTCC1002_00120	HTCC1002			100
Q4FLH8	OG0000028	Close sequence match		TrmR	O-methyltransferase [EC:2.1.1.-]	Methyltransf_24,TylF,Methyltransf_31,FtsJ,RrnaAD,TPR_1,Methyltransf_3,CmcI,Methyltransf_11,TPR_12	HTCC1062_01167	HTCC1062			100
A0A6H1Q4P3	OG0000029	Close sequence match	GlnA	GlnA	glutamine synthetase [EC:6.3.1.2]	Gln-synt_C	NP1_01367	NP1	K01915	COG0174	100
Q1V033	OG0000029	Close sequence match	GlnA	GlnA	glutamine synthetase [EC:6.3.1.2]	Gln-synt_C	HTCC1002_01357	HTCC1002	K01915	COG0174	100
Q4FL29	OG0000029	Close sequence match	GlnA	GlnA	glutamine synthetase [EC:6.3.1.2]	Gln-synt_C	HTCC1062_01317	HTCC1062	K01915	COG0174	100
A0A6H1Q1T4	OG0000030	Close sequence match	YbjT	YbjT	oxidoreductase [EC:1.1.1.-]	NAD_binding_10,Epimerase,NmrA,RmlD_sub_bind,Sacchrp_dh_NADP	NP1_00749	NP1		COG0702	100
A0A6H1Q3R1	OG0000030	Close sequence match	YbjT	YbjT	oxidoreductase [EC:1.1.1.-]	NAD_binding_10,Epimerase,NmrA,RmlD_sub_bind,Sacchrp_dh_NADP	NP1_01201	NP1	K17290	COG0702	100
Q1V1R1	OG0000030	Close sequence match	YbjT	YbjT	oxidoreductase [EC:1.1.1.-]	NAD_binding_10,Epimerase,NmrA,RmlD_sub_bind,Sacchrp_dh_NADP	HTCC1002_00772	HTCC1002		COG0702	100
Q4FNB8	OG0000030	Close sequence match	YbjT	YbjT	oxidoreductase [EC:1.1.1.-]	NAD_binding_10,Epimerase,NmrA,RmlD_sub_bind,Sacchrp_dh_NADP	HTCC1062_00508	HTCC1062		COG0702	100
A0A6H1Q1N7	OG0000031	Close sequence match	Ugd	Ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	UDPG_MGDP_dh,UDPG_MGDP_dh_N,UDPG_MGDP_dh_C,adh_short,NAD_binding_2	NP1_00119	NP1	K00012	COG1004	100
A0A6H1Q1Z7	OG0000031	Close sequence match	Ugd	Ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	UDPG_MGDP_dh,UDPG_MGDP_dh_N,UDPG_MGDP_dh_C,adh_short,NAD_binding_2	NP1_00711	NP1		COG1004	100
Q1UZD7	OG0000031	Close sequence match	Ugd	Ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	UDPG_MGDP_dh,UDPG_MGDP_dh_N,UDPG_MGDP_dh_C,adh_short,NAD_binding_2	HTCC1002_00196	HTCC1002	K00012	COG1004	100
Q4FLP8	OG0000031	Close sequence match	Ugd	Ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	UDPG_MGDP_dh,UDPG_MGDP_dh_N,UDPG_MGDP_dh_C,adh_short,NAD_binding_2	HTCC1062_01092	HTCC1062	K00012	COG1004	100
A0A6H1Q2S0	OG0000032	Close sequence match	UbiE	UbiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	Ubie_methyltran,Methyltransf_25,Methyltransf_11,Methyltransf_23,Methyltransf_31	NP1_00873	NP1	K03183	COG2226	100
Q4FNL1	OG0000032	Close sequence match	UbiE	UbiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	Ubie_methyltran,Methyltransf_25,Methyltransf_11,Methyltransf_23,Methyltransf_31	HTCC1002_00875	HTCC1002	K03183	COG2226	100
A0A6H1Q4G5	OG0000033	Close sequence match	FcbT2	FcbT2	TRAP-type transport system small permease protein	DctQ	NP1_01017	NP1		COG4665	100
Q1V120	OG0000033	Close sequence match	FcbT2	FcbT2	TRAP-type transport system small permease protein	DctQ	HTCC1002_01019	HTCC1002		COG4665	100
Q1V0I7	OG0000034	Close sequence match	AspB	AspB	aspartate aminotransferase [EC:2.6.1.1]	Aminotran_1_2	HTCC1002_01201	HTCC1002	K00812	COG0436	100
Q1V1I7	OG0000034	Close sequence match	AspB	AspB	aspartate aminotransferase [EC:2.6.1.1]	Aminotran_1_2	HTCC1002_00852	HTCC1002		COG0436	100
Q4FPI5	OG0000034	Close sequence match	AspB	AspB	aspartate aminotransferase [EC:2.6.1.1]	Aminotran_1_2	HTCC1013_01300	HTCC1013	K00812	COG0436	100
A0A6H1Q2B8	OG0000035	Close sequence match	PurN	PurN	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	Formyl_trans_N,Formyl_trans_C,N_formyltrans_C,NTP_transferase,At2g31720-like,Acetyltransf_3	NP1_00506	NP1	K11175	COG0299	100
A0A6H1Q4V7	OG0000035	Close sequence match	Fmt	PurN	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	Formyl_trans_N,Formyl_trans_C,N_formyltrans_C,NTP_transferase,At2g31720-like,Acetyltransf_3	NP1_01286	NP1		COG0223	100
Q1V2C0	OG0000035	Close sequence match	PurN	PurN	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	Formyl_trans_N,Formyl_trans_C,N_formyltrans_C,NTP_transferase,At2g31720-like,Acetyltransf_3	HTCC1002_00557	HTCC1002	K11175	COG0299	100
Q4FMQ2	OG0000035	Close sequence match	PurN	PurN	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	Formyl_trans_N,Formyl_trans_C,N_formyltrans_C,NTP_transferase,At2g31720-like,Acetyltransf_3	HTCC1013_00208	HTCC1013	K11175	COG0299	100
A0A6H1Q2V8	OG0000036	Close sequence match	RbsK	RbsK	adenosine kinase [EC:2.7.1.20]	PfkB	NP1_00914	NP1	K00856	COG0524	100
Q1V1C2	OG0000036	Close sequence match	RbsK	RbsK	adenosine kinase [EC:2.7.1.20]	PfkB	HTCC1002_00916	HTCC1002	K00856	COG0524	100
Q4FNQ3	OG0000036	Close sequence match	RbsK	RbsK	adenosine kinase [EC:2.7.1.20]	PfkB	HTCC1062_00365	HTCC1062	K00856	COG0524	100
A0A6H1Q1Q5	OG0000037	Close sequence match	WcaG	WcaG	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]	Epimerase,RmlD_sub_bind,CBS,FdtA,GDP_Man_Dehyd,3Beta_HSD,Polysacc_synt_2,NAD_binding_10	NP1_00715	NP1		COG0451	100
Q1V1U9	OG0000037	Close sequence match	WcaG	WcaG	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]	Epimerase,RmlD_sub_bind,CBS,FdtA,GDP_Man_Dehyd,3Beta_HSD,Polysacc_synt_2,NAD_binding_10	HTCC1002_00730	HTCC1002		COG0451	100
A0A6H1Q3M1	OG0000038	Close sequence match	GuaB	GuaB	IMP dehydrogenase [EC:1.1.1.205]	IMPDH,NMO,CBS,FMN_dh,Glu_synthase	NP1_00577	NP1	K00088	COG0516	100
Q1V259	OG0000038	Close sequence match	GuaB	GuaB	IMP dehydrogenase [EC:1.1.1.205]	IMPDH,NMO,CBS,FMN_dh,Glu_synthase	HTCC1002_00617	HTCC1002	K00088	COG0516	100
Q1V145	OG0000039	Close sequence match	PdxI	PdxI	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]	Aldo_ket_red	HTCC1002_00994	HTCC1002		COG0667	100
Q4FNX6	OG0000039	Close sequence match	PdxI	PdxI	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]	Aldo_ket_red	HTCC1013_00645	HTCC1013		COG0667	100
A0A6H1Q3S4	OG0000040	Close sequence match	LeuB	LeuB	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	Iso_dh	NP1_01032	NP1	K00052	COG0473	100
Q4FP17	OG0000040	Close sequence match	LeuB	LeuB	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	Iso_dh	HTCC1002_01033	HTCC1002	K00052	COG0473	100
A0A6H1Q303	OG0000041	Close sequence match	Dxs	Dxs	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	Transket_pyr,Transketolase_C,DXP_synthase_N	NP1_00613	NP1	K01662	COG1154	100
Q1V222	OG0000041	Close sequence match	Dxs	Dxs	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	Transket_pyr,Transketolase_C,DXP_synthase_N	HTCC1002_00654	HTCC1002	K01662	COG1154	100
Q4FN07	OG0000041	Close sequence match	Dxs	Dxs	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	Transket_pyr,Transketolase_C,DXP_synthase_N	HTCC1062_00625	HTCC1062	K01662	COG1154	100
Q4FN82	OG0000041	Close sequence match	TktA2	Dxs	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	Transket_pyr,Transketolase_C,DXP_synthase_N	HTCC1002_00732	HTCC1002		COG3958	100
A0A6H1Q0Z0	OG0000042	Close sequence match	EmrE	EmrE	No Annotation	Multi_Drug_Res	NP1_00432	NP1		COG2076	100
Q1V2I6	OG0000042	Close sequence match	EmrE	EmrE	No Annotation	Multi_Drug_Res	HTCC1002_00491	HTCC1002		COG2076	100
Q4FMI4	OG0000042	Close sequence match	EmrE	EmrE	No Annotation	Multi_Drug_Res	HTCC1062_00797	HTCC1062		COG2076	100
A0A382Z041	OG0000043	Close sequence match	WcaA	WcaA	dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]	Glycos_transf_2,NTP_transferase	AG-390-G13_00357	AG-390-G13		COG0463	91.5
