Orthogroup	gene_id	genome	Accession_number	db_source	pident	qcovhsp	scovhsp	evalue	bitscore	afdb_available	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME
OG0000004	HTCC1013_01148	HTCC1013	Q4FL30	TrEMBL	100	100	100	0	916	TRUE	NA	NA	COG0665	DadA	Amino acid transport and metabolism
OG0000004	HTCC1002_01358	HTCC1002	Q1V032	TrEMBL	100	100	100	0	915	TRUE	NA	NA	COG0665	DadA	Amino acid transport and metabolism
OG0000005	NP1_00339	NP1	A0A6H1Q1V8	TrEMBL	100	100	100	1.01e-218	606	TRUE	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	COG2084	MmsB	Lipid transport and metabolism
OG0000005	HTCC1002_00419	HTCC1002	Q4FMB0	TrEMBL	100	100	100	1.44e-218	605	TRUE	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	COG2084	MmsB	Lipid transport and metabolism
OG0000005	NP1_00017	NP1	A0A6H1PZW4	TrEMBL	100	100	100	1.32e-209	581	TRUE	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	COG2084	MmsB	Lipid transport and metabolism
OG0000006	HTCC1002_00028	HTCC1002	Q1UZV4	TrEMBL	100	100	100	2.08e-184	514	TRUE	NA	NA	COG4968	PilE	Cell motility
OG0000006	NP1_01206	NP1	A0A6H1Q3F5	TrEMBL	100	100	100	1.16e-183	512	TRUE	NA	NA	COG4970	FimT	Cell motility
OG0000006	HTCC1062_01232	HTCC1062	Q4FLB3	TrEMBL	100	100	100	2.08e-183	512	TRUE	NA	NA	COG4969	PilA	Cell motility
OG0000006	HTCC1062_00076	HTCC1062	Q4FPJ2	TrEMBL	100	100	100	6.45e-177	494	TRUE	NA	NA	NA	NA	NA
OG0000006	HTCC1002_00030	HTCC1002	Q1UZV2	TrEMBL	100	100	100	2.09e-149	422	TRUE	NA	NA	COG2165	GspO/PilD	Cell motility
OG0000007	HTCC1002_00737	HTCC1002	Q4FN87	TrEMBL	100	100	100	1.98e-180	505	TRUE	NA	NA	COG1028	FabG	Lipid transport and metabolism
OG0000007	HTCC1062_01301	HTCC1062	Q4FL45	TrEMBL	100	100	100	1.63e-175	492	TRUE	NA	NA	COG1028	FabG	Lipid transport and metabolism
OG0000007	HTCC1002_00426	HTCC1002	Q4FMB7	TrEMBL	100	100	100	4.46e-169	476	TRUE	K03331	L-xylulose reductase [EC:1.1.1.10]	COG1028	FabG	Lipid transport and metabolism
OG0000008	NP1_00661	NP1	A0A6H1Q3V0	TrEMBL	100	100	100	2.21e-218	604	TRUE	NA	NA	COG2227	UbiG	Coenzyme transport and metabolism
OG0000008	NP1_00686	NP1	A0A6H1Q373	TrEMBL	100	100	100	9.5e-178	497	TRUE	NA	NA	COG2227	UbiG	Coenzyme transport and metabolism
OG0000008	HTCC1002_00756	HTCC1002	Q1V1S7	TrEMBL	100	100	100	2.62e-171	480	TRUE	NA	NA	COG2227	UbiG	Coenzyme transport and metabolism
OG0000009	NP1_01010	NP1	A0A6H1Q2S1	TrEMBL	100	100	100	3.71e-255	702	TRUE	K18382	NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]	COG1064	AdhP	Carbohydrate transport and metabolism
OG0000009	HTCC1002_00739	HTCC1002	Q4FN89	TrEMBL	100	100	100	2.58e-247	681	TRUE	NA	NA	COG1064	AdhP	Carbohydrate transport and metabolism
OG0000010	NP1_00839	NP1	A0A6H1Q2P0	TrEMBL	100	100	100	3.85e-275	755	TRUE	NA	NA	COG0438	RfaB	Cell wall/membrane/envelope biogenesis
OG0000010	HTCC1002_00838	HTCC1002	Q1V1K0	TrEMBL	100	100	100	2.6e-273	750	TRUE	NA	NA	COG0438	RfaB	Cell wall/membrane/envelope biogenesis
OG0000010	HTCC1062_00440	HTCC1062	Q4FNI0	TrEMBL	100	100	100	3.69e-273	750	TRUE	NA	NA	COG0438	RfaB	Cell wall/membrane/envelope biogenesis
OG0000011	NP1_00350	NP1	A0A6H1Q141	TrEMBL	100	100	100	1.06e-226	627	TRUE	NA	NA	COG0111	SerA	Coenzyme transport and metabolism
OG0000011	NP1_01305	NP1	A0A6H1Q399	TrEMBL	100	100	100	2.81e-225	623	TRUE	NA	NA	COG0111	SerA	Coenzyme transport and metabolism
OG0000011	HTCC1002_01294	HTCC1002	Q4FKW9	TrEMBL	100	100	100	3.7e-225	623	TRUE	NA	NA	COG0111	SerA	Coenzyme transport and metabolism
OG0000012	NP1_00056	NP1	A0A6H1Q085	TrEMBL	100	100	100	0	1057	TRUE	K01649	2-isopropylmalate synthase [EC:2.3.3.13]	COG0119	LeuA	Amino acid transport and metabolism
OG0000012	HTCC1062_01157	HTCC1062	Q4FLI8	TrEMBL	100	100	100	0	1055	TRUE	K01649	2-isopropylmalate synthase [EC:2.3.3.13]	COG0119	LeuA	Amino acid transport and metabolism
OG0000012	HTCC1002_01286	HTCC1002	Q1V0A5	TrEMBL	100	100	100	0	1011	TRUE	K01649	2-isopropylmalate synthase [EC:2.3.3.13]	COG0119	LeuA	Amino acid transport and metabolism
OG0000013	NP1_00712	NP1	A0A6H1Q402	TrEMBL	100	100	100	8.4e-225	621	TRUE	NA	NA	COG0673	MviM	General function prediction only
OG0000013	HTCC1002_00707	HTCC1002	Q4FN57	TrEMBL	100	100	100	5.06e-172	483	TRUE	NA	NA	COG0673	MviM	General function prediction only
OG0000013	NP1_00697	NP1	A0A6H1Q1Y2	TrEMBL	99.7	96.8	100	1.01e-234	649	TRUE	K13020	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	COG0673	MviM	General function prediction only
OG0000014	NP1_00360	NP1	A0A6H1Q151	TrEMBL	100	100	100	0	1198	TRUE	K03852	sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]	COG0028	IlvB	Amino acid transport and metabolism
OG0000014	HTCC1002_00437	HTCC1002	Q4FMC8	TrEMBL	100	100	100	0	1197	TRUE	K03852	sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]	COG0028	IlvB	Amino acid transport and metabolism
OG0000015	HTCC1002_01099	HTCC1002	Q1V0T9	TrEMBL	100	100	100	9.23e-69	209	TRUE	NA	NA	COG5470	NA	Function unknown
OG0000015	HTCC1062_00184	HTCC1062	Q4FP83	TrEMBL	100	100	100	1.31e-68	209	TRUE	NA	NA	COG5470	NA	Function unknown
OG0000015	NP1_01098	NP1	A0A6H1Q3D6	TrEMBL	100	100	100	2.65e-68	208	TRUE	NA	NA	COG5470	NA	Function unknown
OG0000016	NP1_00449	NP1	A0A6H1Q108	TrEMBL	100	100	100	7.29e-203	564	TRUE	K17316	glucose/mannose transport system permease protein	COG1175	UgpA	Carbohydrate transport and metabolism
OG0000016	HTCC1002_00507	HTCC1002	Q4FMK1	TrEMBL	100	100	100	2.44e-201	560	TRUE	K17316	glucose/mannose transport system permease protein	COG1175	UgpA	Carbohydrate transport and metabolism
OG0000017	HTCC1002_01366	HTCC1002	Q1V024	TrEMBL	100	100	100	0	1393	TRUE	K02001	glycine betaine/proline transport system permease protein	COG4176	ProW	Amino acid transport and metabolism
OG0000017	HTCC1062_01308	HTCC1062	Q4FL38	Swiss-Prot	100	100	100	0	1390	TRUE	K02001	glycine betaine/proline transport system permease protein	COG4176	ProW	Amino acid transport and metabolism
OG0000017	NP1_01376	NP1	A0A6H1Q5V4	TrEMBL	100	100	100	0	1389	TRUE	K02001	glycine betaine/proline transport system permease protein	COG4176	ProW	Amino acid transport and metabolism
OG0000018	NP1_00052	NP1	A0A6H1Q150	TrEMBL	100	100	100	0	1191	TRUE	K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	COG0449	GlmS	Cell wall/membrane/envelope biogenesis
OG0000018	HTCC1002_00126	HTCC1002	Q1UZK2	TrEMBL	100	100	100	0	1187	TRUE	K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	COG0449	GlmS	Cell wall/membrane/envelope biogenesis
OG0000018	HTCC1062_01161	HTCC1062	Q4FLI4	TrEMBL	100	100	100	0	1186	TRUE	K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	COG0449	GlmS	Cell wall/membrane/envelope biogenesis
OG0000018	NP1_01366	NP1	A0A6H1Q5U5	TrEMBL	100	100	100	1.34e-226	626	TRUE	K22081	methylamine---glutamate N-methyltransferase subunit A [EC:2.1.1.21]	COG0034	PurF	Nucleotide transport and metabolism
OG0000019	HTCC1002_01256	HTCC1002	Q4FPK2	Swiss-Prot	100	100	100	2.61e-255	696	TRUE	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	COG0472	Rfe	Cell wall/membrane/envelope biogenesis
OG0000020	HTCC1002_00697	HTCC1002	Q1V1Y2	TrEMBL	100	100	100	6.65e-226	624	TRUE	K02377	GDP-L-fucose synthase [EC:1.1.1.271]	COG0451	WcaG	Cell wall/membrane/envelope biogenesis
OG0000020	HTCC1062_00583	HTCC1062	Q4FN47	TrEMBL	100	100	100	1.34e-225	624	TRUE	K02377	GDP-L-fucose synthase [EC:1.1.1.271]	COG0451	WcaG	Cell wall/membrane/envelope biogenesis
OG0000020	NP1_00658	NP1	A0A6H1Q265	TrEMBL	100	100	100	1.9e-221	613	TRUE	K02377	GDP-L-fucose synthase [EC:1.1.1.271]	COG0451	WcaG	Cell wall/membrane/envelope biogenesis
OG0000020	ETNP2013_S02_SV82_300m_MAG_01_00227	ETNP2013_S02_SV82_300m_MAG_01	A0A382A0H0	TrEMBL	97.1	100	100	3.58e-256	704	TRUE	K12454	CDP-paratose 2-epimerase [EC:5.1.3.10]	COG1088	RfbB	Cell wall/membrane/envelope biogenesis
OG0000021	NP1_01323	NP1	A0A6H1Q3L9	TrEMBL	100	100	100	3.84e-228	632	TRUE	K01997	branched-chain amino acid transport system permease protein	COG0559	LivH	Amino acid transport and metabolism
OG0000021	HTCC1002_01310	HTCC1002	Q1V081	TrEMBL	100	100	100	1.1e-227	631	TRUE	K01997	branched-chain amino acid transport system permease protein	COG0559	LivH	Amino acid transport and metabolism
OG0000021	HTCC1062_01360	HTCC1062	Q4FKY5	TrEMBL	100	100	100	6.36e-227	629	TRUE	K01997	branched-chain amino acid transport system permease protein	COG0559	LivH	Amino acid transport and metabolism
OG0000022	NP1_00142	NP1	A0A6H1Q0G1	TrEMBL	100	100	100	0	2010	TRUE	K00302	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]	COG0404	GcvT	Amino acid transport and metabolism
OG0000022	HTCC1002_00215	HTCC1002	Q4FLR7	TrEMBL	100	100	100	0	2007	TRUE	K00302	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]	COG0404	GcvT	Amino acid transport and metabolism
OG0000023	HTCC1002_00698	HTCC1002	Q4FN48	TrEMBL	100	100	100	5.95e-258	708	TRUE	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	COG1089	Gmd	Cell wall/membrane/envelope biogenesis
OG0000023	NP1_00657	NP1	A0A6H1Q3G9	TrEMBL	100	100	100	2.77e-243	671	TRUE	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	COG1089	Gmd	Cell wall/membrane/envelope biogenesis
OG0000023	NP1_00364	NP1	A0A6H1Q2P5	TrEMBL	100	100	100	4.05e-234	646	TRUE	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]	COG1087	GalE	Cell wall/membrane/envelope biogenesis
OG0000024	NP1_00143	NP1	A0A6H1Q231	TrEMBL	100	100	100	1.26e-65	201	TRUE	K00304	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]	COG4311	SoxD	Amino acid transport and metabolism
OG0000024	HTCC1002_00216	HTCC1002	Q4FLR8	TrEMBL	100	100	100	1.79e-65	201	TRUE	K00304	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]	COG4311	SoxD	Amino acid transport and metabolism
OG0000025	NP1_01007	NP1	A0A6H1Q4E7	TrEMBL	100	100	100	3.83e-223	618	TRUE	NA	NA	COG1052	LdhA	Energy production and conversion
OG0000025	HTCC1002_01011	HTCC1002	Q1V128	TrEMBL	100	100	100	3.15e-222	615	TRUE	NA	NA	COG1052	LdhA	Energy production and conversion
OG0000025	HTCC1062_00274	HTCC1062	Q4FNZ3	TrEMBL	100	100	100	1.28e-221	614	TRUE	NA	NA	COG1052	LdhA	Energy production and conversion
OG0000026	NP1_00400	NP1	A0A6H1Q218	TrEMBL	100	100	100	1.94e-237	655	TRUE	NA	NA	COG2055	AllD	Energy production and conversion
OG0000026	HTCC1002_00477	HTCC1002	Q1V2K0	TrEMBL	100	100	100	7.88e-237	654	TRUE	NA	NA	COG2055	AllD	Energy production and conversion
OG0000026	HTCC1062_00814	HTCC1062	Q4FMG7	TrEMBL	100	100	100	4.56e-236	652	TRUE	NA	NA	COG2055	AllD	Energy production and conversion
OG0000026	HTCC1062_00972	HTCC1062	Q4FM14	TrEMBL	100	100	100	5.53e-235	649	TRUE	K13609	delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]	COG2055	AllD	Energy production and conversion
OG0000027	NP1_01228	NP1	A0A6H1Q4Q9	TrEMBL	100	100	100	0	1443	TRUE	K03320	ammonium transporter, Amt family	COG0004	AmtB	Inorganic ion transport and metabolism
OG0000027	HTCC1002_01231	HTCC1002	Q1V0F7	TrEMBL	100	100	100	0	1437	TRUE	K03320	ammonium transporter, Amt family	COG0004	AmtB	Inorganic ion transport and metabolism
OG0000027	HTCC1062_00053	HTCC1062	Q4FPP5	TrEMBL	100	100	100	0	1437	TRUE	K03320	ammonium transporter, Amt family	COG0004	AmtB	Inorganic ion transport and metabolism
OG0000028	HTCC1002_00120	HTCC1002	Q1UZK8	TrEMBL	100	100	100	2.36e-149	422	TRUE	NA	NA	NA	NA	NA
OG0000028	HTCC1062_01167	HTCC1062	Q4FLH8	TrEMBL	100	100	100	2.75e-148	419	TRUE	NA	NA	NA	NA	NA
OG0000028	NP1_00046	NP1	A0A6H1Q075	TrEMBL	100	100	100	3.91e-148	419	TRUE	NA	NA	NA	NA	NA
OG0000029	NP1_01367	NP1	A0A6H1Q4P3	TrEMBL	100	100	100	0	1039	TRUE	K01915	glutamine synthetase [EC:6.3.1.2]	COG0174	GlnA	Amino acid transport and metabolism
OG0000029	HTCC1062_01317	HTCC1062	Q4FL29	TrEMBL	100	100	100	0	1036	TRUE	K01915	glutamine synthetase [EC:6.3.1.2]	COG0174	GlnA	Amino acid transport and metabolism
OG0000029	HTCC1002_01357	HTCC1002	Q1V033	TrEMBL	100	100	100	0	1035	TRUE	K01915	glutamine synthetase [EC:6.3.1.2]	COG0174	GlnA	Amino acid transport and metabolism
OG0000030	HTCC1002_00772	HTCC1002	Q1V1R1	TrEMBL	100	100	100	2.84e-232	641	TRUE	NA	NA	COG0702	YbjT	General function prediction only
OG0000030	HTCC1062_00508	HTCC1062	Q4FNB8	TrEMBL	100	100	100	5.73e-232	640	TRUE	NA	NA	COG0702	YbjT	General function prediction only
OG0000030	NP1_00749	NP1	A0A6H1Q1T4	TrEMBL	100	100	100	1.92e-230	637	TRUE	NA	NA	COG0702	YbjT	General function prediction only
OG0000030	NP1_01201	NP1	A0A6H1Q3R1	TrEMBL	100	100	100	1.3e-151	429	TRUE	K17290	oxidoreductase [EC:1.1.1.-]	COG0702	YbjT	General function prediction only
OG0000031	HTCC1062_01092	HTCC1062	Q4FLP8	TrEMBL	100	100	100	1.97e-305	838	TRUE	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	COG1004	Ugd	Cell wall/membrane/envelope biogenesis
OG0000031	HTCC1002_00196	HTCC1002	Q1UZD7	TrEMBL	100	100	100	1.61e-305	836	TRUE	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	COG1004	Ugd	Cell wall/membrane/envelope biogenesis
OG0000031	NP1_00119	NP1	A0A6H1Q1N7	TrEMBL	100	100	100	5.4e-304	832	TRUE	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	COG1004	Ugd	Cell wall/membrane/envelope biogenesis
OG0000031	NP1_00711	NP1	A0A6H1Q1Z7	TrEMBL	100	100	100	3.04e-292	800	TRUE	NA	NA	COG1004	Ugd	Cell wall/membrane/envelope biogenesis
OG0000032	NP1_00873	NP1	A0A6H1Q2S0	TrEMBL	100	100	100	5.98e-174	486	TRUE	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	COG2226	UbiE	Coenzyme transport and metabolism
OG0000032	HTCC1002_00875	HTCC1002	Q4FNL1	TrEMBL	100	100	100	1.21e-173	486	TRUE	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	COG2226	UbiE	Coenzyme transport and metabolism
OG0000033	HTCC1002_01019	HTCC1002	Q1V120	TrEMBL	100	100	100	1.38e-137	391	TRUE	NA	NA	COG4665	FcbT2	Secondary metabolites biosynthesis, transport and catabolism
OG0000033	NP1_01017	NP1	A0A6H1Q4G5	TrEMBL	100	100	100	1.96e-137	391	TRUE	NA	NA	COG4665	FcbT2	Secondary metabolites biosynthesis, transport and catabolism
OG0000034	HTCC1002_00852	HTCC1002	Q1V1I7	TrEMBL	100	100	100	1.2e-297	814	TRUE	NA	NA	COG0436	AspB	Amino acid transport and metabolism
OG0000034	HTCC1002_01201	HTCC1002	Q1V0I7	TrEMBL	100	100	100	2.9e-289	792	TRUE	K00812	aspartate aminotransferase [EC:2.6.1.1]	COG0436	AspB	Amino acid transport and metabolism
OG0000034	HTCC1013_01300	HTCC1013	Q4FPI5	TrEMBL	100	100	100	4.12e-289	791	TRUE	K00812	aspartate aminotransferase [EC:2.6.1.1]	COG0436	AspB	Amino acid transport and metabolism
OG0000035	NP1_01286	NP1	A0A6H1Q4V7	TrEMBL	100	100	100	1.99e-176	494	TRUE	NA	NA	COG0223	Fmt	Translation, ribosomal structure and biogenesis
OG0000035	NP1_00506	NP1	A0A6H1Q2B8	TrEMBL	100	100	100	5.17e-127	364	TRUE	K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	COG0299	PurN	Nucleotide transport and metabolism
OG0000035	HTCC1002_00557	HTCC1002	Q1V2C0	TrEMBL	100	100	100	2.99e-126	362	TRUE	K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	COG0299	PurN	Nucleotide transport and metabolism
OG0000035	HTCC1013_00208	HTCC1013	Q4FMQ2	TrEMBL	100	100	100	3.49e-125	360	TRUE	K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	COG0299	PurN	Nucleotide transport and metabolism
OG0000036	NP1_00914	NP1	A0A6H1Q2V8	TrEMBL	100	100	100	4.27e-216	599	TRUE	K00856	adenosine kinase [EC:2.7.1.20]	COG0524	RbsK	Carbohydrate transport and metabolism
OG0000036	HTCC1062_00365	HTCC1062	Q4FNQ3	TrEMBL	100	100	100	2.03e-214	595	TRUE	K00856	adenosine kinase [EC:2.7.1.20]	COG0524	RbsK	Carbohydrate transport and metabolism
OG0000036	HTCC1002_00916	HTCC1002	Q1V1C2	TrEMBL	100	100	100	2.88e-214	595	TRUE	K00856	adenosine kinase [EC:2.7.1.20]	COG0524	RbsK	Carbohydrate transport and metabolism
OG0000037	NP1_00715	NP1	A0A6H1Q1Q5	TrEMBL	100	100	100	3.65e-245	675	TRUE	NA	NA	COG0451	WcaG	Cell wall/membrane/envelope biogenesis
OG0000037	HTCC1002_00730	HTCC1002	Q1V1U9	TrEMBL	100	100	100	4.13e-220	610	TRUE	NA	NA	COG0451	WcaG	Cell wall/membrane/envelope biogenesis
OG0000038	NP1_00577	NP1	A0A6H1Q3M1	TrEMBL	100	100	100	2.2e-245	677	TRUE	K00088	IMP dehydrogenase [EC:1.1.1.205]	COG0516	GuaB	Nucleotide transport and metabolism
OG0000038	HTCC1002_00617	HTCC1002	Q1V259	TrEMBL	100	100	100	1.27e-244	676	TRUE	K00088	IMP dehydrogenase [EC:1.1.1.205]	COG0516	GuaB	Nucleotide transport and metabolism
OG0000039	HTCC1002_00994	HTCC1002	Q1V145	TrEMBL	100	100	100	2.74e-262	719	TRUE	NA	NA	COG0667	PdxI	Coenzyme transport and metabolism
OG0000039	HTCC1013_00645	HTCC1013	Q4FNX6	TrEMBL	100	100	100	9.16e-261	715	TRUE	NA	NA	COG0667	PdxI	Coenzyme transport and metabolism
OG0000040	NP1_01032	NP1	A0A6H1Q3S4	TrEMBL	100	100	100	6.74e-261	717	TRUE	K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	COG0473	LeuB	Energy production and conversion
OG0000040	HTCC1002_01033	HTCC1002	Q4FP17	Swiss-Prot	100	100	100	7.58e-263	716	TRUE	K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	COG0473	LeuB	Energy production and conversion
OG0000041	HTCC1062_00625	HTCC1062	Q4FN07	Swiss-Prot	100	100	100	0	1243	TRUE	K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	COG1154	Dxs	Coenzyme transport and metabolism
OG0000041	NP1_00613	NP1	A0A6H1Q303	TrEMBL	100	100	100	0	1243	TRUE	K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	COG1154	Dxs	Coenzyme transport and metabolism
OG0000041	HTCC1002_00654	HTCC1002	Q1V222	TrEMBL	100	100	100	0	1240	TRUE	K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	COG1154	Dxs	Coenzyme transport and metabolism
OG0000041	HTCC1002_00732	HTCC1002	Q4FN82	TrEMBL	100	100	100	6.6e-220	609	TRUE	NA	NA	COG3958	TktA2	Carbohydrate transport and metabolism
OG0000042	NP1_00432	NP1	A0A6H1Q0Z0	TrEMBL	100	100	100	2.05e-69	212	TRUE	NA	NA	COG2076	EmrE	Defense mechanisms
OG0000042	HTCC1062_00797	HTCC1062	Q4FMI4	TrEMBL	100	100	100	4.84e-68	209	TRUE	NA	NA	COG2076	EmrE	Defense mechanisms
OG0000042	HTCC1002_00491	HTCC1002	Q1V2I6	TrEMBL	100	100	100	9.78e-68	208	TRUE	NA	NA	COG2076	EmrE	Defense mechanisms
OG0000043	NP1_01283	NP1	A0A6H1Q4G6	TrEMBL	100	100	100	1.58e-153	434	TRUE	NA	NA	COG0463	WcaA	Cell wall/membrane/envelope biogenesis
OG0000043	NP1_00662	NP1	A0A6H1Q2R9	TrEMBL	100	96.3	100	4.04e-159	449	TRUE	NA	NA	COG0463	WcaA	Cell wall/membrane/envelope biogenesis
OG0000043	AG-390-G13_00357	AG-390-G13	A0A382Z041	TrEMBL	91.5	100	100	7.92e-140	399	TRUE	NA	NA	COG0463	WcaA	Cell wall/membrane/envelope biogenesis
OG0000044	NP1_00456	NP1	A0A6H1Q1A5	TrEMBL	100	100	100	1.31e-237	655	TRUE	NA	NA	COG1995	PdxA	Coenzyme transport and metabolism
OG0000044	NP1_00513	NP1	A0A6H1Q167	TrEMBL	100	100	100	7.48e-227	627	TRUE	NA	NA	COG1995	PdxA	Coenzyme transport and metabolism
OG0000044	HTCC1016_00647	HTCC1016	Q4FMQ9	TrEMBL	100	100	100	2.92e-224	621	TRUE	NA	NA	COG1995	PdxA	Coenzyme transport and metabolism
OG0000045	NP1_00358	NP1	A0A6H1Q307	TrEMBL	100	100	100	1.63e-224	620	TRUE	NA	NA	COG2226	UbiE	Coenzyme transport and metabolism
OG0000045	NP1_01287	NP1	A0A6H1Q3I6	TrEMBL	100	100	100	1.35e-193	540	TRUE	NA	NA	NA	NA	NA
OG0000045	HTCC1002_00735	HTCC1002	Q4FN85	TrEMBL	100	100	100	2.32e-178	499	TRUE	NA	NA	NA	NA	NA
OG0000045	HTCC1062_01026	HTCC1062	Q4FLW3	TrEMBL	100	100	100	8.32e-172	483	TRUE	NA	NA	NA	NA	NA
OG0000046	NP1_00341	NP1	A0A6H1Q0P7	TrEMBL	100	100	100	4.03e-184	514	TRUE	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	COG1028	FabG	Lipid transport and metabolism
OG0000046	HTCC1002_00421	HTCC1002	Q4FMB2	TrEMBL	100	100	100	1.15e-183	513	TRUE	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	COG1028	FabG	Lipid transport and metabolism
OG0000046	NP1_00446	NP1	A0A6H1Q195	TrEMBL	100	100	100	8.79e-181	505	TRUE	K22185	D-xylose 1-dehydrogenase [EC:1.1.1.175]	COG1028	FabG	Lipid transport and metabolism
OG0000046	HTCC1002_00504	HTCC1002	Q4FMJ8	TrEMBL	100	100	100	7.22e-180	503	TRUE	K22185	D-xylose 1-dehydrogenase [EC:1.1.1.175]	COG1028	FabG	Lipid transport and metabolism
OG0000047	NP1_01344	NP1	A0A6H1Q3N6	TrEMBL	100	100	100	0	954	TRUE	NA	NA	COG1012	AdhE	Lipid transport and metabolism
OG0000047	HTCC1002_01331	HTCC1002	Q1V060	TrEMBL	100	100	100	0	952	TRUE	NA	NA	COG1012	AdhE	Lipid transport and metabolism
OG0000048	NP1_00828	NP1	A0A6H1Q3X7	TrEMBL	100	100	100	1.4e-175	492	TRUE	NA	NA	NA	NA	NA
OG0000048	NP1_00472	NP1	A0A6H1Q288	TrEMBL	100	100	100	3.36e-134	383	TRUE	NA	NA	NA	NA	NA
OG0000048	HTCC1002_00524	HTCC1002	Q1V2F3	TrEMBL	100	100	100	6.79e-134	382	TRUE	NA	NA	NA	NA	NA
