id	prokka_seq_name	COG_ID	COG_GENE_NAME	COG_NAME	COG_LETTER	KO	ko_definition
OG38	GDP-perosamine synthase	COG0399	WecE	"dTDP-4-amino-4,6-dideoxygalactose transaminase"	M	K13010	perosamine synthetase
OG39	Glutamate 5-kinase	COG0263	ProB	Glutamate 5-kinase	E	K00931	glutamate 5-kinase
OG40	Glutamyl-tRNA(Gln) amidotransferase subunit A	COG0154	GatA	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	J	K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A
OG41	sn-glycerol-3-phosphate import ATP-binding protein UgpC	COG3839	MalK	"ABC-type sugar transport system, ATPase component MalK"	G	K02052	putative spermidine/putrescine transport system ATP-binding protein
OG42	ATP-dependent protease ATPase subunit HslU	COG1220	HslU	"ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU"	O	K03667	ATP-dependent HslUV protease ATP-binding subunit HslU
OG43	Phosphopantetheine adenylyltransferase	COG1057	NadD	Nicotinate-nucleotide adenylyltransferase NadD	H	K00969	nicotinate-nucleotide adenylyltransferase
OG44	Phosphoglucosamine mutase	COG1109	ManB	Phosphomannomutase	G	K03431	phosphoglucosamine mutase
OG45	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	COG0766	MurA	UDP-N-acetylglucosamine enolpyruvyl transferase	M	K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
OG46	Farnesyl diphosphate synthase	COG0142	IspA	Geranylgeranyl pyrophosphate synthase	H	K02523	octaprenyl-diphosphate synthase
OG47	Peptide chain release factor RF2	COG0216	PrfA	Protein chain release factor RF1	J	K02835	peptide chain release factor 1
OG48	hypothetical protein	COG1225	Bcp	Peroxiredoxin	O	K03564	thioredoxin-dependent peroxiredoxin
OG49	hypothetical protein	COG0463	WcaA	Glycosyltransferase involved in cell wall bisynthesis	M	K00721	dolichol-phosphate mannosyltransferase
OG50	Aspartate carbamoyltransferase	COG0078	ArgF	Ornithine carbamoyltransferase	E	K00609	aspartate carbamoyltransferase catalytic subunit
OG51	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	COG0764	FabA	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase	I	K01716	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase
OG52	Diaminopimelate decarboxylase	COG0019	LysA	Diaminopimelate decarboxylase	E	K01586	diaminopimelate decarboxylase
OG53	Succinyl-diaminopimelate desuccinylase	COG0624	ArgE	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	E	K01439	succinyl-diaminopimelate desuccinylase
OG54	Aspartate-semialdehyde dehydrogenase 2	COG0136	Asd	Aspartate-semialdehyde dehydrogenase	E	K00133	aspartate-semialdehyde dehydrogenase
OG55	2-isopropylmalate synthase	COG0119	LeuA	Isopropylmalate/homocitrate/citramalate synthases	E	K01649	2-isopropylmalate synthase
OG56	"Peptidoglycan D,D-transpeptidase MrdA"	COG0768	FtsI	"Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)"	D	K05515	penicillin-binding protein 2
OG57	Ammonium transporter	COG0004	AmtB	Ammonia channel protein AmtB	P	K03320	"ammonium transporter, Amt family"
OG58	Branched-chain-amino-acid aminotransferase	COG0115	IlvE	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	E	K00826	branched-chain amino acid aminotransferase
OG59	Peptidoglycan glycosyltransferase MrdB	COG0772	FtsW	Peptodoglycan polymerase FtsW/RodA/SpoVE	D	K05837	rod shape determining protein RodA
OG60	Glutamate synthase [NADPH] small chain	COG0493	GltD	NADPH-dependent glutamate synthase beta chain or related oxidoreductase	E	K00266	glutamate synthase (NADPH) small chain
OG61	ATP-dependent zinc metalloprotease FtsH	COG0465	HflB	ATP-dependent Zn proteases	O	K03798	cell division protease FtsH
OG62	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	COG0508	AceF	"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component"	C	K00658	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
OG63	4-hydroxy-tetrahydrodipicolinate synthase	COG0329	DapA	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	E	K01714	4-hydroxy-tetrahydrodipicolinate synthase
OG64	hypothetical protein	COG0683	LivK	"ABC-type branched-chain amino acid transport system, periplasmic component"	E	K01999	branched-chain amino acid transport system substrate-binding protein
OG65	hypothetical protein	COG0271	BolA	"DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation"	K	K05527	"BolA family transcriptional regulator, general stress-responsive regulator"
OG66	Protoheme IX farnesyltransferase	COG0109	CyoE	Polyprenyltransferase (heme O synthase)	H	K02257	heme o synthase
OG67	Quinone oxidoreductase 1	COG0604	Qor	NADPH:quinone reductase or related Zn-dependent oxidoreductase	C	K00344	NADPH:quinone reductase
OG68	High-affinity branched-chain amino acid transport ATP-binding protein LivF	COG0410	LivF	"ABC-type branched-chain amino acid transport system, ATPase component LivF"	E	K01996	branched-chain amino acid transport system ATP-binding protein
OG69	Acetyl-coenzyme A synthetase	COG0365	Acs	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	I	K01895	acetyl-CoA synthetase
OG70	Iron-sulfur cluster insertion protein ErpA	COG0316	IscA	Fe-S cluster assembly iron-binding protein IscA	O	K13628	iron-sulfur cluster assembly protein
OG71	Isoleucine--tRNA ligase	COG0060	IleS	Isoleucyl-tRNA synthetase	J	K01870	isoleucyl-tRNA synthetase
OG72	4-methylaminobutanoate oxidase (formaldehyde-forming)	COG0404	GcvT	Glycine cleavage system protein T (aminomethyltransferase)	E	K00315	dimethylglycine dehydrogenase
OG73	hypothetical protein	COG4665	FcbT2	"TRAP-type mannitol/chloroaromatic compound transport system, small permease component"	Q	K11689	"C4-dicarboxylate transporter, DctQ subunit"
OG74	Hydroxyacylglutathione hydrolase GloB	COG0491	GloB	"Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II"	R	K01069	hydroxyacylglutathione hydrolase
OG75	Lipid A export ATP-binding/permease protein MsbA	COG1132	MdlB	"ABC-type multidrug transport system, ATPase and permease component"	V	K24846	"ATP-binding cassette, subfamily B, bacterial PglK"
OG76	Ferric uptake regulation protein	COG0735	Fur	Fe2+ or Zn2+ uptake regulation protein Fur/Zur	P	K09826	"Fur family transcriptional regulator, iron response regulator"
OG77	LexA repressor	COG1974	LexA	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	K	K01356	repressor LexA
OG78	hypothetical protein	COG2520	Trm5	tRNA G37 N-methylase Trm5	J	NA	NA
OG79	hypothetical protein	COG4176	ProW	"ABC-type proline/glycine betaine transport system, permease component"	E	K02001	glycine betaine/proline transport system permease protein
OG80	NAD(P) transhydrogenase subunit alpha part 1	COG3288	PntA	NAD/NADP transhydrogenase alpha subunit	C	K00324	H+-translocating NAD(P) transhydrogenase subunit alpha
OG81	Tuberculostearic acid methyltransferase UfaA1	COG2230	Cfa	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases	I	K00574	cyclopropane-fatty-acyl-phospholipid synthase
OG82	Glutamate synthase [NADPH] large chain	COG0069	GltB2	Glutamate synthase domain 2	E	K00265	glutamate synthase (NADPH) large chain
OG83	tRNA (cytidine(34)-2'-O)-methyltransferase	COG0219	TrmL	"tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain"	J	K03216	tRNA (cytidine/uridine-2'-O-)-methyltransferase
OG84	hypothetical protein	COG5285	PhyH	"Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family"	Q	K00477	phytanoyl-CoA hydroxylase
OG85	hypothetical protein	COG0346	GloA	"Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family"	Q	K01759	lactoylglutathione lyase
OG86	Quaternary ammonium compound-resistance protein QacC	COG2076	EmrE	Multidrug transporter EmrE and related cation transporters	V	K03297	small multidrug resistance pump
OG87	3-methylmercaptopropionyl-CoA dehydrogenase	COG1960	CaiA	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	I	K20035	3-(methylsulfanyl)propanoyl-CoA dehydrogenase
OG88	putative HIT-like protein	COG0537	HinT	"Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family"	F	K02503	histidine triad (HIT) family protein
OG89	Histidinol dehydrogenase	COG0141	HisD	Histidinol dehydrogenase	E	K15509	sulfopropanediol 3-dehydrogenase
OG90	Thiamine-phosphate synthase	COG0352	ThiE	Thiamine monophosphate synthase	H	K00788	thiamine-phosphate pyrophosphorylase
OG91	Cold shock-like protein CspLA	COG1278	CspC	"Cold shock protein, CspA family"	K	K03704	cold shock protein
OG92	hypothetical protein	COG5470	NA	"Uncharacterized conserved protein, DUF1330 family"	S	NA	NA
OG93	NADH-quinone oxidoreductase chain 3	COG1034	NuoG	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)	C	K00123	formate dehydrogenase major subunit
OG94	NADH-quinone oxidoreductase subunit F	COG1894	NuoF	"NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)"	C	K00335	NADH-quinone oxidoreductase subunit F
OG95	hypothetical protein	COG0463	WcaA	Glycosyltransferase involved in cell wall bisynthesis	M	K16698	teichuronic acid biosynthesis glycosyltransferase TuaG
OG96	hypothetical protein	COG2113	ProX	"ABC-type proline/glycine betaine transport system, periplasmic component"	E	K02002	glycine betaine/proline transport system substrate-binding protein
OG97	Anthranilate synthase component 1	COG0147	TrpE	Anthranilate/para-aminobenzoate synthases component I	E	K01657	anthranilate synthase component I
OG98	hypothetical protein	COG0697	RhaT	Permease of the drug/metabolite transporter (DMT) superfamily	G	NA	NA
OG99	Adaptive-response sensory-kinase SasA	COG0642	BaeS	Signal transduction histidine kinase	T	K14980	"two-component system, OmpR family, sensor histidine kinase ChvG"
OG100	hypothetical protein	COG0123	AcuC	Acetoin utilization deacetylase AcuC or a related deacetylase	Q	K11418	histone deacetylase 11
OG101	Guanidinobutyrase	COG0010	SpeB	Arginase/agmatinase family enzyme	E	K01480	agmatinase
OG102	Enoyl-CoA-hydratase	COG1024	CaiD	Enoyl-CoA hydratase/carnithine racemase	I	K15866	"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase"
OG103	hypothetical protein	COG0697	RhaT	Permease of the drug/metabolite transporter (DMT) superfamily	G	NA	NA
OG104	Peptide methionine sulfoxide reductase MsrA	COG0225	MsrA	Peptide methionine sulfoxide reductase MsrA	O	K07304	peptide-methionine (S)-S-oxide reductase
OG105	hypothetical protein	COG0861	TerC	Tellurite resistance membrane protein TerC	P	NA	NA
OG106	"GTP 3',8-cyclase"	COG0535	SkfB	"Radical SAM superfamily maturase, SkfB/NifB/PqqE family"	D	K03639	"GTP 3',8-cyclase"
OG107	1-deoxy-D-xylulose-5-phosphate synthase	COG1154	Dxs	Deoxyxylulose-5-phosphate synthase	H	K01662	1-deoxy-D-xylulose-5-phosphate synthase
OG108	Protein tas	COG0667	PdxI	"Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family"	H	K19265	L-glyceraldehyde 3-phosphate reductase
OG109	hypothetical protein	COG0395	UgpE	"ABC-type glycerol-3-phosphate transport system, permease component"	G	K02026	multiple sugar transport system permease protein
OG110	2-hydroxychromene-2-carboxylate isomerase	COG3917	NahD	2-hydroxychromene-2-carboxylate isomerase	Q	K14584	2-hydroxychromene-2-carboxylate isomerase
OG111	Lipoprotein-releasing system ATP-binding protein LolD	COG1136	LolD	"ABC-type lipoprotein export system, ATPase component"	M	K02003	putative ABC transport system ATP-binding protein
OG112	hypothetical protein	COG2227	UbiG	"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase"	H	NA	NA
OG113	Octopine-binding periplasmic protein	COG0834	HisJ	"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"	E	K10018	octopine/nopaline transport system substrate-binding protein
OG114	L-lactate dehydrogenase	COG1304	LldD	"FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase"	C	K00101	L-lactate dehydrogenase (cytochrome)
OG115	Cysteine desulfurase SufS	COG0520	CsdA	Selenocysteine lyase/Cysteine desulfurase	E	K11717	cysteine desulfurase / selenocysteine lyase
OG116	hypothetical protein	COG0415	PhrB	Deoxyribodipyrimidine photolyase	L	K01669	deoxyribodipyrimidine photo-lyase
OG117	Glycine betaine transport ATP-binding protein OpuAA	COG4175	ProV	"ABC-type proline/glycine betaine transport system, ATPase component"	E	K02000	glycine betaine/proline transport system ATP-binding protein
OG118	hypothetical protein	COG0702	YbjT	"Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains"	R	K17290	oxidoreductase
OG119	UDP-glucose 6-dehydrogenase	COG1004	Ugd	UDP-glucose 6-dehydrogenase	M	K00012	UDPglucose 6-dehydrogenase
OG120	"Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase"	COG2040	MHT1	Homocysteine/selenocysteine methylase (S-methylmethionine-dependent)	E	K00544	betaine-homocysteine S-methyltransferase
OG121	Sarcosine oxidase subunit delta	COG4311	SoxD	Sarcosine oxidase delta subunit	E	K00304	"sarcosine oxidase, subunit delta"
OG122	Ribokinase	COG0524	RbsK	"Sugar or nucleoside kinase, ribokinase family"	G	K00856	adenosine kinase
OG123	hypothetical protein	COG0652	PpiB	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	O	NA	NA
OG124	Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase	COG2055	AllD	"Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family"	C	K13609	delta1-piperideine-2-carboxylate reductase
OG125	Sarcosine oxidase subunit alpha	COG0404	GcvT	Glycine cleavage system protein T (aminomethyltransferase)	E	K00302	"sarcosine oxidase, subunit alpha"
OG126	(R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase	COG2175	TauD	"Taurine dioxygenase, alpha-ketoglutarate-dependent"	Q	K00471	gamma-butyrobetaine dioxygenase
OG127	Octopine transport system permease protein OccM	COG4160	ArtM	"ABC-type arginine/histidine transport system, permease component"	E	K02029	polar amino acid transport system permease protein
OG128	Melibiose/raffinose/stachyose import permease protein MelD	COG1175	UgpA	"ABC-type sugar transport system, permease component"	G	K17316	glucose/mannose transport system permease protein
OG129	Peptide methionine sulfoxide reductase MsrB	COG0229	MsrB	Peptide methionine sulfoxide reductase MsrB	O	K07305	peptide-methionine (R)-S-oxide reductase
OG130	RNA pyrophosphohydrolase	COG0494	MutT	"8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family"	V	K08311	putative (di)nucleoside polyphosphate hydrolase
OG131	Alcohol dehydrogenase [acceptor]	COG2303	BetA	Choline dehydrogenase or related flavoprotein	I	K00108	choline dehydrogenase
OG132	Arabinose 5-phosphate isomerase KdsD	COG0794	GutQ	D-arabinose 5-phosphate isomerase GutQ	G	K06041	arabinose-5-phosphate isomerase
OG133	Molybdenum cofactor biosynthesis protein B	COG0303	MoeA	Molybdopterin Mo-transferase (molybdopterin biosynthesis)	H	K03750	molybdopterin molybdotransferase
OG134	Transketolase 1	COG0021	TktA	Transketolase	G	K00615	transketolase
OG135	Succinate dehydrogenase flavoprotein subunit	COG1053	SdhA	"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"	C	K00239	succinate dehydrogenase flavoprotein subunit
OG136	hypothetical protein	COG4392	AzlD2	Branched-chain amino acid transport protein	E	NA	NA
OG137	NAD-dependent methanol dehydrogenase	COG1454	EutG	"Alcohol dehydrogenase, class IV"	C	K00217	hydroxyacid-oxoacid transhydrogenase
OG138	Succinate--CoA ligase [ADP-forming] subunit alpha	COG0074	SucD	"Succinyl-CoA synthetase, alpha subunit"	C	K01902	succinyl-CoA synthetase alpha subunit
OG139	3-deoxy-manno-octulosonate cytidylyltransferase	COG1212	KdsB	CMP-2-keto-3-deoxyoctulosonic acid synthetase	M	K00979	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)
OG140	Succinate--CoA ligase [ADP-forming] subunit beta	COG0045	SucC	"Succinyl-CoA synthetase, beta subunit"	C	K01903	succinyl-CoA synthetase beta subunit
OG141	D-threonate 4-phosphate dehydrogenase	COG1995	PdxA	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	H	K22024	4-phospho-D-threonate 3-dehydrogenase / 4-phospho-D-erythronate 3-dehydrogenase
OG142	hypothetical protein	COG0265	DegQ	"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain"	O	K04771	serine protease Do
OG143	putative 3-hydroxyacyl-CoA dehydrogenase	COG1250	FadB	3-hydroxyacyl-CoA dehydrogenase	I	K07516	3-hydroxyacyl-CoA dehydrogenase
OG144	Aldose sugar dehydrogenase YliI	COG2133	YliI	"Glucose/arabinose dehydrogenase, beta-propeller fold"	G	K21430	aldose sugar dehydrogenase
OG145	ATP-dependent protease subunit HslV	COG5405	HslV	"ATP-dependent protease HslVU (ClpYQ), peptidase subunit"	O	K01419	"ATP-dependent HslUV protease, peptidase subunit HslV"
OG146	3-oxoacyl-[acyl-carrier-protein] synthase 1	COG0304	FabB	3-oxoacyl-(acyl-carrier-protein) synthase	I	K09458	3-oxoacyl-[acyl-carrier-protein] synthase II
OG147	RNA polymerase sigma factor RpoH	COG0568	RpoD	"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)"	K	K03089	RNA polymerase sigma-32 factor
OG148	HTH-type transcriptional regulator PgrR	COG0583	LysR	"DNA-binding transcriptional regulator, LysR family"	K	K04761	"LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator"
OG149	"N,N'-diacetyllegionaminic acid synthase"	COG2089	SpsE	"Sialic acid synthase SpsE, contains C-terminal SAF domain"	M	K15898	pseudaminic acid synthase
OG150	Inner membrane transport permease YadH	COG0842	YadH	"ABC-type multidrug transport system, permease component"	V	K01992	ABC-2 type transport system permease protein
OG151	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	COG0621	MiaB	tRNA A37 methylthiotransferase MiaB	J	K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase
OG152	putative acrylyl-CoA reductase AcuI	COG0604	Qor	NADPH:quinone reductase or related Zn-dependent oxidoreductase	C	K19745	acrylyl-CoA reductase (NADPH)
OG153	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"	COG0588	GpmA	Phosphoglycerate mutase (BPG-dependent)	G	K01834	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
OG154	FMN-dependent NADH-azoreductase	COG2249	MdaB	Putative NADPH-quinone reductase (modulator of drug activity B)	R	K01118	FMN-dependent NADH-azoreductase
OG155	Ribonuclease D	COG0349	Rnd	Ribonuclease D	J	K03684	ribonuclease D
OG156	Efflux pump membrane transporter BepE	COG0841	AcrB	Multidrug efflux pump subunit AcrB	V	K01992	ABC-2 type transport system permease protein
OG157	Acetyl-CoA acetyltransferase	COG0183	PaaJ	Acetyl-CoA acetyltransferase	I	K00626	acetyl-CoA C-acetyltransferase
OG158	dTTP/UTP pyrophosphatase	COG0424	Maf	"7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily"	Q	K06287	nucleoside triphosphate pyrophosphatase
OG159	tRNA modification GTPase MnmE	COG0486	MnmE	tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE	J	K03650	tRNA modification GTPase
OG160	Peptide deformylase	COG0242	Def	Peptide deformylase	J	K01462	peptide deformylase
OG161	hypothetical protein	COG2165	PulG	"Type II secretory pathway, pseudopilin PulG"	N	K02650	type IV pilus assembly protein PilA
OG162	DNA gyrase subunit B	COG0187	GyrB	"DNA gyrase/topoisomerase IV, subunit B"	L	K02470	DNA gyrase subunit B
OG163	Dihydroxy-acid dehydratase	COG0129	IlvD	Dihydroxyacid dehydratase/phosphogluconate dehydratase	E	K01687	dihydroxy-acid dehydratase
OG164	3-methyl-2-oxobutanoate hydroxymethyltransferase	COG0413	PanB	Ketopantoate hydroxymethyltransferase	H	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase
OG165	hypothetical protein	COG3090	DctM	"TRAP-type C4-dicarboxylate transport system, small permease component YiaM"	G	K21394	TRAP-type transport system small permease protein
OG166	putative ABC transporter ATP-binding protein YadG	COG1131	CcmA	"ABC-type multidrug transport system, ATPase component"	V	K01990	ABC-2 type transport system ATP-binding protein
OG167	Thioredoxin	COG3118	CnoX	"Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family"	O	K03671	thioredoxin 1
OG168	Alanine--tRNA ligase	COG0013	AlaS	Alanyl-tRNA synthetase	J	K01872	alanyl-tRNA synthetase
OG169	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"	COG0769	MurE	UDP-N-acetylmuramyl tripeptide synthase	M	K15792	MurE/MurF fusion protein
OG170	Chromosome partitioning protein ParA	COG1192	ParA	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ	D	K03496	chromosome partitioning protein
