genome	Clade1	Clade2	Subclade	Subgroup	Family	Genus	Species	Order	reference	type_strain_Freel_2024	type	depth	latitude	longitude	depth_cat	latitude_cat	longhurst_code	description	habitat_type	waterbody_name	habitat_source	completeness	contamination	coding_density	checkm2_contig_n50	checkm2_average_gene_length	checkm2_genome_size	checkm2_total_coding_sequences	checkm2_total_contigs	checkm2_max_contig_length	N_ARSC	C_ARSC	S_ARSC	GC	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
Uisw_101	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.95	0	0.954	1448726	301.1329856584094	1448726	1534	1	1448726	0.33054	3.123956	0.032568	29.59	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_104	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	97.44	0.22	0.946	1441579	295.3788860103627	1441579	1544	1	1441579	0.331004	3.123922	0.032561	29.58	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_106	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	98.05	0.22	0.955	1376435	292.90339773484345	1376435	1501	1	1376435	0.333205	3.128424	0.032599	29.56	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_094	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	96.94	0.61	0.951	1369821	293.1008742434432	1369821	1487	1	1369821	0.329759	3.119712	0.033225	29.7	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_136	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.78	0.1	0.954	1394121	300.18703578663064	1394121	1481	1	1394121	0.329831	3.131209	0.032914	29.42	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_113	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.48	0.03	0.955	1355470	303.09103641456585	1355470	1428	1	1355470	0.33272	3.130935	0.032694	29.5	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_116	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.69	0.13	0.951	1301732	292.56325088339224	1301732	1415	1	1301732	0.332952	3.127276	0.03227	29.45	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_121	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	98.45	1.15	0.952	1352740	295.4393420150788	1352740	1459	1	1352740	0.329389	3.106274	0.031538	29.52	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_114	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	94.23	0.1	0.922	1385505	262.5509202453988	1385505	1630	1	1385505	0.328002	3.103263	0.032374	29.61	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_130	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.94	0.01	0.956	1423135	299.422646477946	1423135	1519	1	1423135	0.332473	3.142666	0.032485	29.4	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_092	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	97.7	0.15	0.953	1306717	288.4088704088704	1306717	1443	1	1306717	0.33323	3.13757	0.032869	29.38	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_090	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.37	1.35	0.949	1381496	288.4296052631579	1381496	1520	1	1381496	0.32951	3.114356	0.033361	29.9	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_127	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.93	0.11	0.956	1332340	299.1495786516854	1332340	1424	1	1332340	0.331927	3.142616	0.032582	29.53	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
Uisw_099_02	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.92	0.04	0.958	1288341	301.5643274853801	1288341	1368	1	1288341	0.332465	3.124046	0.032277	29.37	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	821	822	821	822	821	822	1	0.97	1	0.97	1	0.97	0.97	0.97	0.97	NA	NA	NA
HTCC9565	I	Ia	Ia.1.I	Ia.1.I	Pelagibacteraceae	Pelagibacter	yakuwasiensis	Pelagibacterales	Grote et al., (2012)	TRUE	isolate	NA	44.4	-128.5	NA	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	North Pacific Ocean	Grote et al., (2012); coordinate in table; Longhurst CCAL; inferred waterbody North Pacific Ocean	99.06	0.04	0.958	763172	301.33382352941175	1279674	1360	3	763172	0.337206	3.149799	0.032528	28.92	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uisw_134_02	I	Ia	NA	NA	Pelagibacteraceae	NA	NA	Pelagibacterales	Sadler et al., (2025)	NA	isolate	25	81.04	10.62	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard	99.73	0.01	0.96	1301899	298.7169406719085	1301899	1399	1	1301899	0.336553	3.142734	0.032347	29.02	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	821	551	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
AG-447-M05	I	Ia	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	21.2	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean	95.69	0.12	0.959	117422	302.84043272481404	1397586	1479	32	233852	0.33652	3.139693	0.03249	28.72	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC7211	I	Ia	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Pelagibacterales	Stingl et al., (2007)	TRUE	isolate	10	31.833333	-64.166667	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Stingl et al., (2007); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	99.91	0.08	0.963	1456888	303.82253886010363	1456888	1544	1	1456888	0.335994	3.125114	0.032528	29.03	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC7214	I	Ia	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	NA	Pelagibacterales	Stingl et al., (2007)	NA	isolate	10	31.833333	-64.166667	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Stingl et al., (2007); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	99.99	0.21	0.963	1375060	309.3046820405311	1375060	1431	1	1375060	0.332694	3.114788	0.03294	29.24	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTCC7217	I	Ia	Ia.3.I	Ia.3.I	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Pelagibacterales	Stingl et al., (2007)	NA	isolate	10	31.833333	-64.166667	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Stingl et al., (2007); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	99.86	0.02	0.963	1433611	307.90460306871245	1433611	1499	1	1433611	0.335055	3.138817	0.032341	28.8	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1412	I	Ia	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	kukahii	Pelagibacterales	Freel et al. (2024)	TRUE	isolate	2	21.4829	-157.7663	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al. (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.99	0.01	0.966	1297477	308.9108327192336	1297477	1357	1	1297477	0.334301	3.12424	0.031384	29.26	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1420	I	Ia	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.4829	-157.7663	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.99	0.01	0.967	707660	311.7881417208966	1333725	1383	2	707660	0.336776	3.137107	0.030987	28.78	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1427	I	Ia	Ia.3.II	Ia.3.II	Pelagibacteraceae	Coralipelagibacter	NA	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.4829	-157.7663	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.88	4.33	0.967	108405	308.0929752066116	1383662	1452	27	223602	0.336728	3.125889	0.031674	28.87	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
