OG_ID	Sequence_ID	Sequence_length	Gap_count	Identity_count	Difference_count	Percent_change
OG0000043	AG-447-K09_AG-447-K09_00745	229	78	93	112	69.706841
OG0000044	AG-917-M22_AG-917-M22_01080	61	5	46	9	30.303030
OG0000045	AG-390-M07_AG-390-M07_00561	236	134	59	162	84.054054
OG0000046	HIMB1492_HIMB1492_00705	38	14	18	15	65.384613
OG0000047	AH-321-P04_AH-321-P04_00997	386	11	344	24	13.350126
OG0000048	AG-447-N08_AG-447-N08_01275	107	17	71	30	42.741936
OG0000049	Uisw_114_Uisw_114_00628	161	2	145	9	11.042945
OG0000050	AG-896-K10_AG-896-K10_00912	442	2	409	25	7.882883
OG0000051	BACL5_MAG-121015-bin10_BACL5_MAG-121015-bin10_00662	101	27	40	47	68.750000
OG0000052	AG-390-J13_AG-390-J13_01146	110	5	63	35	45.217392
OG0000053	AG-447-P22_AG-447-P22_01187	127	41	100	21	40.476189
OG0000054	AG-917-F16_AG-917-F16_01012	55	0	46	6	16.363636
OG0000055	HIMB1602_HIMB1602_01169	43	1	37	5	15.909091
OG0000056	SAG-MED06_SAG-MED06_00609	51	3	21	23	61.111111
OG0000057	HIMB1602_HIMB1602_00920	228	84	76	139	75.641029
OG0000058	AH-324-J07_AH-324-J07_01326	87	31	74	8	37.288136
OG0000059	HIMB1835_HIMB1835_00350	139	26	64	63	61.212120
OG0000060	AG-422-D23_AG-422-D23_00114	208	145	199	6	43.626060
OG0000061	AG-426-M05_AG-426-M05_01288	170	5	155	11	11.428572
OG0000062	AG-447-M05_AG-447-M05_01019	243	102	178	47	48.405796
OG0000063	HIMB1507_HIMB1507_01285	572	23	539	25	9.411765
OG0000064	HIMB1492_HIMB1492_00649	355	48	311	33	22.828785
OG0000065	HIMB1492_HIMB1492_01344	104	1	99	2	5.714286
OG0000066	AG-325-L05_AG-325-L05_00046	294	51	241	34	30.144928
OG0000067	AG-414-O11_AG-414-O11_01060	400	10	326	45	20.487804
OG0000068	AG-917-P07_AG-917-P07_01240	226	0	163	51	27.876106
OG0000069	Uisw_090_Uisw_090_00154	140	0	125	7	10.714286
OG0000070	Uisw_116_Uisw_116_01063	296	276	102	152	82.167831
OG0000071	Uisw_114_Uisw_114_01123	247	3	216	15	13.600000
OG0000072	AH-321-L23_AH-321-L23_01013	283	32	259	17	17.777779
OG0000073	AG-447-M10_AG-447-M10_00659	256	40	193	45	34.797298
OG0000074	AG-422-G03_AG-422-G03_00725	328	5	306	11	8.108109
OG0000075	AG-896-L20_AG-896-L20_01036	224	96	163	43	49.062500
OG0000076	AG-422-N14_AG-422-N14_00039	197	32	154	29	32.751091
OG0000077	Uisw_134_02_Uisw_134_02_01370	34	3	16	12	56.756756
OG0000078	AG-892-J03_AG-892-J03_00398	385	108	292	62	40.770790
OG0000079	AG-916-D16_AG-916-D16_01045	92	1	73	12	21.505377
OG0000080	HIMB1483_HIMB1483_01094	814	9	633	123	23.086269
OG0000081	AG-430-E20_AG-430-E20_01040	293	37	274	12	16.969696
OG0000082	AG-410-K05_AG-410-K05_01055	143	5	127	8	14.189189
OG0000083	HIMB2304_HIMB2304_00666	54	3	48	4	15.789474
OG0000084	AG-447-L03_AG-447-L03_00798	320	169	131	158	73.210632
OG0000085	AG-426-M05_AG-426-M05_00139	179	0	168	8	6.145251
OG0000086	AH-321-L23_AH-321-L23_01073	296	57	131	147	62.889519
OG0000087	AG-325-G21_AG-325-G21_01077	98	22	77	11	35.833332
OG0000088	AG-447-P03_AG-447-P03_00921	214	91	157	45	48.524590
OG0000089	HIMB2304_HIMB2304_00202	132	1	99	20	25.563910
OG0000090	AG-891-A05_AG-891-A05_00368	291	10	277	8	7.973422
OG0000091	AG-894-L19_AG-894-L19_00719	31	3	16	8	52.941177
OG0000092	AG-913-F03_AG-913-F03_01082	117	0	115	1	1.709402
OG0000093	Uisw_116_Uisw_116_00645	204	41	77	100	68.571426
OG0000094	AG-913-A04_AG-913-A04_00222	57	0	51	2	10.526316
OG0000095	HIMB122_HIMB122_00330	158	51	137	9	34.449760
OG0000096	AG-349-L17_AG-349-L17_00232	442	8	390	30	13.333333
OG0000097	Uisw_137_Uisw_137_00936	162	0	156	4	3.703704
OG0000098	AH-287-B07_AH-287-B07_01284	81	0	66	14	18.518518
OG0000099	AG-447-P03_AG-447-P03_01220	134	29	104	19	36.196320
OG0000100	HIMB1602_HIMB1602_00244	151	16	146	2	12.574850
OG0000101	AG-422-E09_AG-422-E09_01204	158	8	155	0	6.626506
OG0000102	AG-359-F04_AG-359-F04_00081	147	16	129	10	20.858896
OG0000103	AG-891-G02_AG-891-G02_00516	687	5	637	28	7.947977
OG0000104	AG-390-M14_AG-390-M14_00460	311	23	273	28	18.263474
OG0000105	AG-422-B22_AG-422-B22_01017	114	31	103	4	28.965517
OG0000106	BACL5_MAG-120820-bin39_BACL5_MAG-120820-bin39_01184	57	55	51	3	54.464287
OG0000107	BACL5_MAG-120820-bin39_BACL5_MAG-120820-bin39_00681	62	3	49	6	24.615385
OG0000108	SAG-MED08_SAG-MED08_00834	204	10	190	6	11.214953
OG0000109	AG-903-K07_AG-903-K07_01175	63	6	54	5	21.739130
OG0000110	AG-457-B14_AG-457-B14_00812	122	0	64	43	47.540985
OG0000111	AG-349-L17_AG-349-L17_00917	115	0	101	6	12.173913
OG0000112	HIMB1492_HIMB1492_01330	88	8	85	1	11.458333
OG0000113	AG-893-I20_AG-893-I20_00339	298	101	170	105	57.393482
OG0000114	AG-426-C04_AG-426-C04_00520	69	0	67	0	2.898551
OG0000115	AG-447-B22_AG-447-B22_00658	252	66	219	22	31.132076
OG0000116	AG-914-B14_AG-914-B14_01264	323	38	289	19	19.944599
OG0000117	HIMB123_HIMB123_00121	405	50	380	12	16.483517
OG0000118	HIMB1485_HIMB1485_00236	195	2	165	23	16.243654
OG0000119	AG-905-O08_AG-905-O08_01252	297	18	274	11	13.015873
OG0000120	AG-359-B05_AG-359-B05_00812	191	26	167	16	23.041475
OG0000121	AG-439-E23_AG-439-E23_01158	235	1	212	8	10.169492
OG0000122	AG-891-I18_AG-891-I18_01296	203	48	175	21	30.278885
OG0000123	AG-916-E19_AG-916-E19_00323	90	0	56	21	37.777779
OG0000124	AG-390-I15_AG-390-I15_01142	274	48	251	16	22.049690
OG0000125	AG-426-M05_AG-426-M05_01207	144	0	103	34	28.472221
OG0000126	AG-422-E09_AG-422-E09_00204	445	3	421	12	6.026786
OG0000127	AG-912-C08_AG-912-C08_00587	270	25	220	26	25.423729
OG0000128	AG-359-C09_AG-359-C09_01208	119	10	105	7	18.604650
OG0000129	AG-390-M14_AG-390-M14_01063	859	3	798	29	7.424594
OG0000130	AG-899-J02_AG-899-J02_01314	64	66	38	23	70.769234
OG0000131	HTCC1040_HTCC1040_00675	46	4	33	10	34.000000
OG0000132	AG-447-C08_AG-447-C08_00771	356	0	351	3	1.404494
OG0000133	AG-404-O18_AG-404-O18_01034	302	15	290	8	8.517350
OG0000134	HIMB1490_HIMB1490_00332	293	36	281	8	14.589665
OG0000135	AG-917-K06_AG-917-K06_00572	270	33	242	21	20.132013
OG0000136	AG-892-C18_AG-892-C18_01137	183	4	173	4	7.486631
OG0000137	HIMB1573_HIMB1573_00558	299	242	244	37	54.898338
OG0000138	HIMB1492_HIMB1492_01321	244	0	224	9	8.196721
OG0000139	AAA795-A20_AAA795-A20_00781	544	23	528	12	6.878307
OG0000140	AG-896-K10_AG-896-K10_00255	374	11	335	28	12.987013
OG0000141	SAG-MED08_SAG-MED08_00849	79	1	68	5	15.000000
OG0000142	AG-892-C18_AG-892-C18_00394	132	2	117	10	12.686567
OG0000143	AG-410-K05_AG-410-K05_00413	94	2	89	4	7.291667
OG0000144	AG-894-L13_AG-894-L13_01041	285	54	222	40	34.513275
OG0000145	AG-390-M14_AG-390-M14_00053	264	160	193	39	54.481133
OG0000146	AG-919-O02_AG-919-O02_00793	202	10	174	17	17.924528
OG0000147	HIMB1492_HIMB1492_00901	79	1	68	4	15.000000
OG0000148	AG-894-E10_AG-894-E10_00910	161	7	114	32	32.142857
OG0000149	AG-333-A04_AG-333-A04_00845	194	24	184	3	15.596331
OG0000150	AG-447-P22_AG-447-P22_01150	127	1	121	3	5.468750
OG0000151	AG-892-A22_AG-892-A22_00580	374	18	363	4	7.397959
OG0000152	HIMB122_HIMB122_00413	281	11	273	5	6.506849
OG0000153	AG-919-L02_AG-919-L02_01230	51	2	50	0	5.660378
OG0000154	Uisw_092_Uisw_092_01447	126	5	104	14	20.610687
OG0000155	AG-915-K13_AG-915-K13_01320	54	7	50	2	18.032787
OG0000156	HIMB2304_HIMB2304_00234	157	9	133	15	19.879519
OG0000157	AG-898-C07_AG-898-C07_00474	172	9	146	19	19.337017
OG0000158	AG-913-O18_AG-913-O18_00834	178	4	148	22	18.681318
OG0000159	AG-897-G15_AG-897-G15_01029	41	1	36	1	14.285714
OG0000160	AH-287-O09_AH-287-O09_00882	97	0	90	1	7.216495
OG0000161	HIMB1492_HIMB1492_01255	30	0	24	2	20.000000
OG0000162	AG-915-K13_AG-915-K13_00021	643	7	562	49	13.538462
OG0000163	AG-447-F10_AG-447-F10_00899	220	41	176	30	32.567051
OG0000164	HIMB1602_HIMB1602_01120	105	2	86	12	19.626167
OG0000165	AG-390-G13_AG-390-G13_00956	40	0	34	2	15.000000
OG0000166	AG-447-N18_AG-447-N18_01014	226	2	219	6	3.947368
OG0000167	AG-464-P13_AG-464-P13_00378	153	29	92	49	49.450550
OG0000168	HIMB2250_HIMB2250_01118	262	28	247	8	14.827586
OG0000169	AG-333-A04_AG-333-A04_00676	105	12	93	8	20.512821
OG0000170	AG-410-O02_AG-410-O02_00366	81	16	70	6	27.835052
OG0000171	AG-422-E09_AG-422-E09_01138	76	1	70	4	9.090909
OG0000172	AG-892-F02_AG-892-F02_00270	175	75	162	7	35.200001
OG0000173	AG-430-E20_AG-430-E20_00766	603	10	577	19	5.872757
OG0000174	AG-349-L17_AG-349-L17_00888	189	28	179	6	17.511520
OG0000175	HIMB1602_HIMB1602_01117	72	4	67	3	11.842105
OG0000176	AG-390-I15_AG-390-I15_01123	538	0	508	15	5.576208
OG0000177	AG-390-C17_AG-390-C17_00809	105	3	100	2	7.407407
OG0000178	HIMB2304_HIMB2304_00703	315	0	298	8	5.396825
OG0000179	AG-426-M05_AG-426-M05_00759	201	2	161	31	20.689655
OG0000180	AG-426-C04_AG-426-C04_00295	233	2	227	2	3.404255
OG0000181	HIMB122_HIMB122_00612	421	52	336	51	28.964060
OG0000182	HIMB2304_HIMB2304_00539	66	0	52	7	21.212122
OG0000183	HIMB1492_HIMB1492_01066	123	11	100	15	25.373135
OG0000184	AG-892-K05_AG-892-K05_01048	106	0	98	2	7.547170
OG0000185	AG-912-F16_AG-912-F16_01232	175	1	171	3	2.840909
OG0000186	AG-333-K06_AG-333-K06_00968	240	43	210	12	25.795053
OG0000187	HIMB2304_HIMB2304_00863	95	0	78	10	17.894737
OG0000188	SAG-MED47_SAG-MED47_01039	197	0	171	7	13.197969
OG0000189	AG-892-L17_AG-892-L17_01025	160	0	150	7	6.250000
OG0000190	AG-898-C07_AG-898-C07_00731	554	0	537	9	3.068592
OG0000191	AH-287-B07_AH-287-B07_01151	151	3	136	12	11.688312
OG0000192	AG-390-C17_AG-390-C17_00442	216	4	182	26	17.272728
OG0000193	AG-337-D17_AG-337-D17_01074	339	3	306	15	10.526316
OG0000194	HIMB1492_HIMB1492_01119	169	6	157	6	10.285714
OG0000195	HIMB1490_HIMB1490_01450	596	5	481	69	19.966722
OG0000196	AG-892-F02_AG-892-F02_00272	266	18	235	23	17.253521
OG0000197	SAG-MED49_SAG-MED49_00256	267	13	229	26	18.214285
OG0000198	AG-430-A11_AG-430-A11_00711	224	6	201	11	12.608696
OG0000199	HIMB1685_HIMB1685_00672	678	4	624	30	8.504399
OG0000200	AG-447-K11_AG-447-K11_00232	177	4	159	16	12.154696
OG0000201	AG-447-C08_AG-447-C08_01052	395	2	377	12	5.037783
OG0000202	AG-447-M10_AG-447-M10_00590	169	7	157	11	10.795455
OG0000203	HIMB122_HIMB122_00556	479	2	446	18	7.276507
OG0000204	AG-447-E19_AG-447-E19_00167	297	12	267	14	13.592233
OG0000205	AG-410-O02_AG-410-O02_01217	326	3	312	7	5.167173
OG0000206	AG-390-M14_AG-390-M14_00064	87	0	83	3	4.597701
OG0000207	AG-894-O09_AG-894-O09_01029	180	0	168	8	6.666667
OG0000208	HIMB1623_HIMB1623_01316	211	1	193	11	8.962264
OG0000209	HIMB1602_HIMB1602_00961	301	1	250	34	17.218542
OG0000210	AG-470-D02_AG-470-D02_00676	184	14	150	25	24.242424
OG0000211	AG-916-N14_AG-916-N14_00162	309	16	282	16	13.230769
OG0000212	HIMB1838_HIMB1838_00509	276	7	247	19	12.720848
OG0000213	AG-430-E20_AG-430-E20_01131	430	0	408	9	5.116279
OG0000214	AG-414-B08_AG-414-B08_00248	90	17	83	3	22.429907
OG0000215	AG-447-L14_AG-447-L14_01150	112	2	108	0	5.263158
OG0000216	SAG-MED22_SAG-MED22_00001	112	0	103	7	8.035714
OG0000217	AG-430-E20_AG-430-E20_00794	92	2	87	4	7.446808
OG0000218	AG-349-O05_AG-349-O05_01022	274	15	258	12	10.726644
OG0000219	SAG-MED49_SAG-MED49_00855	98	4	83	7	18.627451
OG0000220	AG-422-C13_AG-422-C13_00933	143	19	132	5	18.518518
OG0000221	AG-911-E04_AG-911-E04_01127	51	0	50	0	1.960784
OG0000222	AG-897-G15_AG-897-G15_00895	121	3	115	5	7.258065
OG0000223	AG-894-O09_AG-894-O09_01109	370	11	352	6	7.611548
OG0000224	AG-913-M13_AG-913-M13_00602	233	2	196	30	16.595745
OG0000225	AG-447-M05_AG-447-M05_01286	160	9	112	34	33.727810
OG0000226	AG-390-I15_AG-390-I15_01181	118	3	90	18	25.619835
OG0000227	AH-324-F03_AH-324-F03_00180	404	36	333	43	24.318182
OG0000228	HTCC9022_HTCC9022_00619	420	7	408	8	4.449649
OG0000229	AG-390-M14_AG-390-M14_00311	330	2	261	41	21.385542
OG0000230	AH-321-A17_AH-321-A17_01241	324	18	297	10	13.157895
OG0000231	AG-414-L04_AG-414-L04_01276	96	2	96	0	2.040816
OG0000232	AG-325-L05_AG-325-L05_01146	87	0	80	4	8.045977
OG0000233	AG-349-O05_AG-349-O05_00231	802	1	656	106	18.306351
OG0000234	HIMB1507_HIMB1507_00589	426	25	352	44	21.951220
OG0000235	AG-918-K13_AG-918-K13_01366	51	0	48	1	5.882353
OG0000236	AG-337-G11_AG-337-G11_01169	176	1	164	4	7.344633
OG0000237	AG-891-G02_AG-891-G02_00576	261	1	258	0	1.526718
OG0000238	AG-430-E20_AG-430-E20_00267	167	12	152	7	15.083798
OG0000239	AG-337-G11_AG-337-G11_00782	200	50	180	13	28.000000
OG0000240	AG-333-A04_AG-333-A04_00411	359	6	322	25	11.780822
OG0000241	AG-447-C08_AG-447-C08_00729	342	0	315	16	7.894737
OG0000242	AG-913-M13_AG-913-M13_01040	313	5	265	31	16.666666
OG0000243	AG-447-L10_AG-447-L10_00403	443	5	396	34	11.607142
OG0000244	AH-324-F03_AH-324-F03_00172	401	14	337	42	18.795181
OG0000245	HIMB1430_HIMB1430_01549	558	1	514	23	8.050090
OG0000246	AG-895-F17_AG-895-F17_00842	810	11	780	13	4.993910
OG0000247	HIMB1492_HIMB1492_00238	357	11	338	11	8.152174
OG0000248	AG-893-M22_AG-893-M22_01405	52	4	46	3	17.857143
OG0000249	AG-414-B08_AG-414-B08_00193	103	0	93	4	9.708738
OG0000250	RIS-SAG-41_RIS-SAG-41_01139	93	42	73	11	45.925926
OG0000251	BACL5_MAG-121015-bin10_BACL5_MAG-121015-bin10_00449	53	0	49	1	7.547170
OG0000252	SAG-MED22_SAG-MED22_00357	547	20	448	69	20.987654
OG0000253	Uisw_121_Uisw_121_01414	70	3	47	16	35.616440
OG0000254	AG-913-F03_AG-913-F03_00861	254	3	235	10	8.560311
OG0000255	AG-905-G04_AG-905-G04_01037	111	3	94	10	17.543859
OG0000256	AG-914-L04_AG-914-L04_01129	136	0	126	5	7.352941
OG0000257	AG-899-J02_AG-899-J02_00076	196	4	187	4	6.500000
OG0000258	FZCC0015_FZCC0015_00514	690	0	671	13	2.753623
OG0000259	AG-390-D02_AG-390-D02_00375	114	0	105	6	7.894737
OG0000260	AG-911-G03_AG-911-G03_01258	798	1	739	28	7.509387
OG0000261	AG-918-L21_AG-918-L21_00955	117	9	99	12	21.428572
OG0000262	Uisw_104_Uisw_104_01102	336	0	312	14	7.142857
OG0000263	AH-324-N03_AH-324-N03_01177	281	0	249	22	11.387900
OG0000264	HIMB1490_HIMB1490_01326	162	13	140	11	20.000000
OG0000265	AG-422-C20_AG-422-C20_00291	465	8	395	44	16.490486
OG0000266	AG-390-G13_AG-390-G13_00607	140	9	117	14	21.476511
OG0000267	HIMB1402_HIMB1402_00572	153	16	134	11	20.710060
OG0000268	AG-908-C18_AG-908-C18_00780	520	0	472	28	9.230769
OG0000269	AG-893-I20_AG-893-I20_00736	148	4	131	9	13.815789
OG0000270	AG-894-P23_AG-894-P23_01256	115	0	101	7	12.173913
OG0000271	HIMB2304_HIMB2304_00041	115	19	92	10	31.343283
OG0000272	AG-349-O05_AG-349-O05_00235	181	0	177	2	2.209945
OG0000273	AG-891-G02_AG-891-G02_00316	235	3	218	11	8.403361
OG0000274	MED602_MED602_00744	30	1	15	12	51.612904
OG0000275	HIMB1409_HIMB1409_01350	375	52	349	12	18.266979
OG0000276	BACL5_MAG-120820-bin39_BACL5_MAG-120820-bin39_01201	75	0	71	3	5.333333
OG0000277	HTCC7214_HTCC7214_00309	130	4	119	6	11.194030
OG0000278	AG-325-E08_AG-325-E08_00019	472	0	462	5	2.118644
OG0000279	AG-898-C07_AG-898-C07_01010	360	1	338	13	6.371191
OG0000280	AG-917-D03_AG-917-D03_00590	67	0	62	2	7.462687
OG0000281	AAA795-A20_AAA795-A20_00117	178	85	153	19	41.825096
OG0000282	HIMB1321_HIMB1321_01390	101	0	95	5	5.940594
OG0000283	AG-918-L21_AG-918-L21_01173	105	0	84	12	20.000000
OG0000284	HIMB2304_HIMB2304_00995	174	6	165	5	8.333333
OG0000285	AAA795-A20_AAA795-A20_00676	532	3	475	34	11.214953
OG0000286	AG-325-E08_AG-325-E08_00313	457	22	357	56	25.469728
OG0000287	HIMB1507_HIMB1507_00656	364	25	318	27	18.251928
OG0000288	AG-899-N21_AG-899-N21_01309	46	3	42	3	14.285714
OG0000289	HIMB2304_HIMB2304_00366	225	3	195	18	14.473684
OG0000290	AG-907-C04_AG-907-C04_01008	108	0	82	14	24.074074
OG0000291	HIMB2304_HIMB2304_00940	126	100	81	34	64.159294
OG0000292	HIMB1485_HIMB1485_00292	166	0	157	4	5.421687
OG0000293	AG-359-P18_AG-359-P18_01043	68	1	66	2	4.347826
OG0000294	HIMB123_HIMB123_00027	152	0	145	4	4.605263
OG0000295	AH-324-J07_AH-324-J07_01240	452	8	432	11	6.086957
OG0000296	AG-892-L17_AG-892-L17_01133	99	0	92	3	7.070707
OG0000297	HIMB123_HIMB123_00779	270	39	209	46	32.362461
OG0000298	AG-907-F09_AG-907-F09_00968	56	0	56	0	0.000000
OG0000299	AG-917-D23_AG-917-D23_01224	91	0	80	5	12.087913
OG0000300	Baikal-G1_Baikal-G1_01157	306	32	250	39	26.035503
OG0000301	AG-892-K05_AG-892-K05_00228	314	0	303	2	3.503185
OG0000302	AG-447-L10_AG-447-L10_01180	126	2	97	14	24.218750
OG0000303	HIMB1602_HIMB1602_00580	183	1	148	22	19.565218
OG0000304	AG-349-O05_AG-349-O05_00298	199	10	172	17	17.703350
OG0000305	AG-893-I20_AG-893-I20_00602	103	0	100	0	2.912621
OG0000306	AG-390-G11_AG-390-G11_00827	66	14	59	5	26.250000
OG0000307	Uisw_114_Uisw_114_00256	379	0	345	16	8.970976
OG0000308	HTCC9022_HTCC9022_00245	463	0	416	26	10.151188
OG0000309	AG-337-G11_AG-337-G11_00824	118	0	117	0	0.847458
OG0000310	AG-333-A04_AG-333-A04_00714	324	34	312	4	12.849162
OG0000311	AG-390-I15_AG-390-I15_00280	177	2	165	7	7.821229
OG0000312	AG-915-K13_AG-915-K13_00304	274	21	222	38	24.745762
OG0000313	AG-390-C17_AG-390-C17_00305	106	2	104	1	3.703704
OG0000314	AG-912-L11_AG-912-L11_00002	182	11	146	20	24.352331
OG0000315	AG-359-F04_AG-359-F04_00709	106	6	98	5	12.500000
OG0000316	AG-410-O02_AG-410-O02_00642	220	0	209	2	5.000000
OG0000317	SAG-MED08_SAG-MED08_00891	245	0	217	19	11.428572
OG0000318	AG-894-O09_AG-894-O09_00606	342	0	310	23	9.356725
OG0000319	AG-447-L03_AG-447-L03_00847	484	1	441	25	9.072165
OG0000320	AG-447-M05_AG-447-M05_00451	167	15	102	48	43.956043
OG0000321	AH-324-N03_AH-324-N03_01281	283	17	223	45	25.666666
OG0000322	BACL5_MAG-121015-bin10_BACL5_MAG-121015-bin10_00855	186	2	181	0	3.723404
OG0000323	SAG-MED08_SAG-MED08_00453	68	0	60	4	11.764706
OG0000324	AG-892-L17_AG-892-L17_00784	150	0	143	6	4.666667
OG0000325	AG-390-E04_AG-390-E04_00706	151	0	140	9	7.284768
OG0000326	HIMB1492_HIMB1492_01302	70	3	64	4	12.328767
OG0000327	AG-911-G03_AG-911-G03_01194	343	2	330	6	4.347826
OG0000328	AG-919-A21_AG-919-A21_01087	206	0	198	4	3.883495
OG0000329	BACL5_MAG-121015-bin10_BACL5_MAG-121015-bin10_00628	251	4	241	7	5.490196
OG0000330	AG-447-M10_AG-447-M10_00637	301	24	241	40	25.846153
OG0000331	HIMB1492_HIMB1492_01311	69	2	60	5	15.492958
OG0000332	AG-422-D23_AG-422-D23_00096	422	2	419	1	1.179245
OG0000333	AG-895-K10_AG-895-K10_00283	96	0	94	1	2.083333
OG0000334	HIMB122_HIMB122_01331	210	8	187	17	14.220183
OG0000335	HIMB1765_HIMB1765_00255	538	0	496	27	7.806692
OG0000336	AG-337-D17_AG-337-D17_00647	124	0	119	2	4.032258
OG0000337	AG-390-M02_AG-390-M02_00515	40	0	26	11	35.000000
OG0000338	AG-891-G02_AG-891-G02_00249	333	36	279	30	24.390244
OG0000339	AG-894-P23_AG-894-P23_01182	108	0	100	3	7.407407
OG0000340	HIMB083_HIMB083_01398	99	1	92	4	8.000000
OG0000341	AG-903-F09_AG-903-F09_01046	137	0	124	10	9.489051
OG0000342	AG-325-E08_AG-325-E08_01050	69	0	67	1	2.898551
OG0000343	AG-414-O09_AG-414-O09_01253	77	6	53	17	36.144577
OG0000344	AG-896-K10_AG-896-K10_01169	206	1	167	25	19.323671
OG0000345	HIMB140_HIMB140_00155	291	38	270	9	17.933130
OG0000346	AG-913-M13_AG-913-M13_00579	517	0	503	9	2.707930
OG0000347	HIMB1492_HIMB1492_01151	71	0	71	0	0.000000
OG0000348	AG-422-G03_AG-422-G03_00712	183	4	160	11	14.438502
OG0000349	AG-894-O09_AG-894-O09_00905	511	0	500	6	2.152642
OG0000350	HIMB1602_HIMB1602_00608	246	0	238	3	3.252033
OG0000351	HIMB2304_HIMB2304_00558	55	0	46	4	16.363636
OG0000352	SAG-MED11_SAG-MED11_00597	234	3	217	4	8.438819
OG0000353	HIMB1835_HIMB1835_00483	150	12	123	17	24.074074
OG0000354	AG-422-D23_AG-422-D23_00170	473	3	391	60	17.857143
OG0000355	AH-287-E17_AH-287-E17_00324	139	10	127	9	14.765100
OG0000356	SAG-MED47_SAG-MED47_00328	113	0	110	0	2.654867
OG0000357	AG-359-P18_AG-359-P18_00866	73	1	72	1	2.702703
OG0000358	HIMB1507_HIMB1507_00197	221	22	200	12	17.695473
OG0000359	AG-891-I18_AG-891-I18_00382	272	56	223	26	32.012196
OG0000360	AG-894-B07_AG-894-B07_00572	40	3	37	1	13.953488
OG0000361	AG-422-B22_AG-422-B22_01220	91	2	82	2	11.827957
OG0000362	HIMB123_HIMB123_01063	220	12	197	12	15.086206
OG0000363	HIMB1485_HIMB1485_00336	1501	1	1399	56	6.857523
OG0000364	AG-897-G09_AG-897-G09_01361	169	0	147	13	13.017752
OG0000365	AG-390-G11_AG-390-G11_01233	82	1	70	8	15.662651
OG0000366	AG-457-B14_AG-457-B14_01061	122	0	114	3	6.557377
